selected_candidate,preprocessing_strategy,model,selected_candidate,accuracy,balanced_accuracy,specificity,precision,recall,f1,roc_auc,pr_auc,far,miss_rate,tn,fp,fn,tp
magnitude_features + neural_network (mlp_wide),magnitude_features,neural_network,mlp_wide,0.9767047024914124,0.975938680931056,0.9784731065429628,0.9603617686467172,0.973404255319149,0.9668390287769784,0.997350462283514,0.9954527925470904,0.0215268934570371,0.026595744680851,16136,355,235,8601
magnitude_features + xgboost (xgb_deep),magnitude_features,xgboost,xgb_deep,0.9769810873771074,0.9749163631484355,0.9817476199138924,0.96600790513834,0.9680851063829788,0.9670453903114578,0.9969799706104696,0.9950677449577956,0.0182523800861075,0.0319148936170212,16190,301,282,8554
zscore + neural_network (mlp_wide),zscore,neural_network,mlp_wide,0.961977336439373,0.9622391738210004,0.9613728700503305,0.9303596807696513,0.9631054775916704,0.9464494244564312,0.9930685164046432,0.9882671341327444,0.0386271299496695,0.0368945224083295,15854,637,326,8510
zscore + xgboost (xgb_deep),zscore,xgboost,xgb_deep,0.960674379121096,0.9565893473754796,0.9701049057061428,0.9441423068207568,0.9430737890448166,0.9436077454421924,0.9915982506775786,0.9863039035990968,0.0298950942938572,0.0569262109551833,15998,493,503,8333
magnitude_features + knn (knn_k5),magnitude_features,knn,knn_k5,0.9586212342559324,0.9571403667539524,0.962039900551816,0.9307522123893806,0.9522408329560887,0.9413739091519356,0.9840395027052768,0.9660474163365692,0.0379600994481838,0.0477591670439112,15865,626,422,8414
robust_clip + xgboost (xgb_deep),robust_clip,xgboost,xgb_deep,0.9232439688869586,0.9160787257677816,0.9397853374567946,0.8881504843433206,0.8923721140787687,0.8902562944563622,0.9761574409394986,0.9593211133517322,0.0602146625432053,0.1076278859212313,15498,993,951,7885
zscore + knn (knn_k5),zscore,knn,knn_k5,0.9401429304694596,0.9371720418498434,0.9470013947001394,0.903617115130128,0.9273426889995472,0.91532618409294,0.9741557077692132,0.9457556451928074,0.0529986052998605,0.0726573110004527,15617,874,642,8194
client_zscore + neural_network (mlp_wide),client_zscore,neural_network,mlp_wide,0.8441584080230584,0.8559790415058006,0.8168698077739373,0.7236709671516149,0.8950882752376641,0.8003035669112066,0.9405634070289628,0.9032319508378104,0.1831301922260627,0.1049117247623359,13471,3020,927,7909
client_zscore + xgboost (xgb_deep),client_zscore,xgboost,xgb_deep,0.8607415011647649,0.8304945968443108,0.9305681887089928,0.8493222792472693,0.7304210049796288,0.7853970185579556,0.9379828947125336,0.9001277980502196,0.0694318112910072,0.2695789950203712,15346,1145,2382,6454
robust_clip + knn (knn_k11),robust_clip,knn,knn_k11,0.8696253010621077,0.8617974579272412,0.8876963192044145,0.7995237064299632,0.8358985966500679,0.8173066283058538,0.9384737793656136,0.8759902961731393,0.1123036807955854,0.1641014033499321,14639,1852,1450,7386
robust_clip + neural_network (mlp_wide),robust_clip,neural_network,mlp_wide,0.8620444584830418,0.8704230182319017,0.8427020799223819,0.753656220322887,0.8981439565414214,0.8195807084581225,0.935935291013914,0.8661238066061593,0.1572979200776181,0.1018560434585785,13897,2594,900,7936
client_zscore + knn (knn_k11),client_zscore,knn,knn_k11,0.8562008923283453,0.8379349694810005,0.898368807228185,0.8038848584132927,0.7775011317338162,0.7904729030031067,0.9225654663164696,0.8487919065422393,0.1016311927718149,0.2224988682661837,14815,1676,1966,6870
magnitude_features + logistic_regression (logreg_C10.0),magnitude_features,logistic_regression,logreg_C10.0,0.8466063884392151,0.8680504982909178,0.7971014492753623,0.712617023104011,0.9389995473064736,0.8102934713609063,0.9189886665755844,0.7926434142803891,0.2028985507246377,0.0610004526935264,13145,3346,539,8297
magnitude_only + xgboost (xgb_deep),magnitude_only,xgboost,xgb_deep,0.7627828009633988,0.7018444207286585,0.9034624946940756,0.7351962741184298,0.5002263467632413,0.5953663793103449,0.814755206613789,0.7374218884800384,0.0965375053059244,0.4997736532367587,14899,1592,4416,4420
zscore + logistic_regression (logreg_C1.0),zscore,logistic_regression,logreg_C1.0,0.8117029257314329,0.8387526233152017,0.749257170577891,0.6648293750506606,0.9282480760525124,0.7747603079393567,0.8904297813211092,0.7367620749591751,0.250742829422109,0.0717519239474875,12356,4135,634,8202
magnitude_only + knn (knn_k21),magnitude_only,knn,knn_k21,0.7589923796738658,0.7066300090870862,0.8798738705960827,0.7040633403047505,0.5333861475780897,0.6069542820347714,0.8030833429343013,0.7251253342511583,0.1201261294039172,0.4666138524219104,14510,1981,4123,4713
magnitude_only + neural_network (mlp_wide),magnitude_only,neural_network,mlp_wide,0.7306037035574683,0.7118591086310464,0.7738766599963617,0.6062717770034843,0.6498415572657311,0.6273010323919812,0.7999572430950512,0.717685822657283,0.2261233400036383,0.3501584427342689,12762,3729,3094,5742
robust_clip + logistic_regression (logreg_C0.1),robust_clip,logistic_regression,logreg_C0.1,0.760058435661547,0.8041904498218831,0.6581771875568492,0.5983039977196608,0.9502037120869172,0.7342690979054616,0.857345926975711,0.7118099194195269,0.3418228124431508,0.0497962879130828,10854,5637,440,8396
client_zscore + logistic_regression (logreg_C0.01),client_zscore,logistic_regression,logreg_C0.01,0.7242073676313815,0.6889806267429462,0.8055302892486811,0.611978221415608,0.5724309642372114,0.5915443541313373,0.7606668948938196,0.6816740342328846,0.1944697107513189,0.4275690357627886,13284,3207,3778,5058
