client_id,dataset,client,cluster_id,evaluation_split,model_source,train_examples,accuracy,balanced_accuracy,specificity,precision,recall,f1,roc_auc,pr_auc,far,miss_rate
KFall::SA20,KFall,SA20,1,local_val,last_round_local_fit,414,0.9948600799543118,0.9948380643459502,0.9955654101995566,0.9952830188679245,0.9941107184923439,0.99469652327637,0.999810655029133,0.9997955120292817,0.004434589800443459,0.005889281507656066
KFall::SA37,KFall,SA37,1,local_val,last_round_local_fit,430,0.9933510638297872,0.9932049044256196,0.9950678175092479,0.9942112879884226,0.9913419913419913,0.9927745664739884,0.9995480612003425,0.9995223252995599,0.004932182490752158,0.008658008658008658
KFall::SA22,KFall,SA22,1,local_val,last_round_local_fit,537,0.9906487434248977,0.9903185367858611,0.9966666666666667,0.9962546816479401,0.9839704069050554,0.9900744416873449,0.9993067543499109,0.999331880872474,0.0033333333333333335,0.016029593094944512
KFall::SA35,KFall,SA35,1,local_val,last_round_local_fit,460,0.9868348875479978,0.9867953241740299,0.9871541501976284,0.984009840098401,0.9864364981504316,0.9852216748768473,0.9989411890848656,0.9986866237879595,0.012845849802371542,0.013563501849568433
KFall::SA15,KFall,SA15,1,local_val,last_round_local_fit,506,0.9887323943661972,0.9887085187245087,0.9889112903225806,0.9859872611464968,0.9885057471264368,0.9872448979591837,0.9988863655090018,0.9985986393677205,0.011088709677419355,0.011494252873563218
KFall::SA12,KFall,SA12,1,local_val,last_round_local_fit,334,0.98,0.9794745484400657,0.9827586206896551,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9984541769293924,0.9978257145879423,0.017241379310344827,0.023809523809523808
SisFall::SA10,SisFall,SA10,0,local_val,last_round_local_fit,1037,0.9883921956038528,0.98853803622612,0.9875962360992301,0.9831591173054588,0.98947983635301,0.9863093504223711,0.9984472484437488,0.9977714599902311,0.01240376390076989,0.010520163646990065
KFall::SA24,KFall,SA24,1,local_val,last_round_local_fit,484,0.9821941412981046,0.982633452620592,0.9779411764705882,0.97375,0.9873257287705957,0.9804908747640025,0.9984017371207038,0.9977175967090633,0.022058823529411766,0.012674271229404309
SisFall::SA17,SisFall,SA17,0,local_val,last_round_local_fit,887,0.9756567847674138,0.9767592219240555,0.970467596390484,0.9589509692132269,0.9830508474576272,0.9708513708513709,0.9978892069794972,0.9970859578179718,0.029532403609515995,0.01694915254237288
SisFall::SA20,SisFall,SA20,0,local_val,last_round_local_fit,844,0.9801762114537445,0.9788341910337625,0.9853777416734363,0.9777089783281734,0.9722906403940886,0.9749922815683854,0.9976527453750205,0.9964159691544362,0.01462225832656377,0.02770935960591133
SisFall::SA18,SisFall,SA18,0,local_val,last_round_local_fit,899,0.9837592548363984,0.985636003707115,0.9767166535122336,0.9653552554315913,0.9945553539019963,0.9797377830750894,0.9978129262955445,0.9963869068972699,0.023283346487766376,0.0054446460980036296
KFall::SA18,KFall,SA18,1,local_val,last_round_local_fit,514,0.9929185634800203,0.993421052631579,0.9868421052631579,0.9848975188781014,1.0,0.9923913043478261,0.9979890512151135,0.9963600023764629,0.013157894736842105,0.0
KFall::SA19,KFall,SA19,1,local_val,last_round_local_fit,535,0.9773546062789501,0.9798021576906878,0.9619909502262444,0.9521640091116174,0.9976133651551312,0.9743589743589743,0.9978401494616572,0.9962898003401205,0.03800904977375565,0.002386634844868735
SisFall::SA21,SisFall,SA21,0,local_val,last_round_local_fit,1083,0.9747689233075194,0.9730357424027711,0.9863013698630136,0.9817754262198707,0.9597701149425287,0.970648067422261,0.9963993478293995,0.9955905964551034,0.0136986301369863,0.040229885057471264
KFall::SA38,KFall,SA38,1,local_val,last_round_local_fit,399,0.9639121338912134,0.966347524931561,0.9457436856875585,0.9348314606741573,0.9869513641755635,0.9601846508944027,0.9965722224626512,0.9954448990592526,0.05425631431244153,0.013048635824436536
SisFall::SA23,SisFall,SA23,0,local_val,last_round_local_fit,907,0.9736779133764059,0.972920289547723,0.977449774497745,0.9683908045977011,0.9683908045977011,0.9683908045977011,0.9965854198771872,0.9950384916526744,0.022550225502255022,0.031609195402298854
KFall::SA23,KFall,SA23,1,local_val,last_round_local_fit,382,0.9769403824521935,0.978047764006668,0.9706457925636007,0.9612903225806452,0.9854497354497355,0.9732201175702155,0.9969273858706345,0.9947235042679724,0.029354207436399216,0.01455026455026455
