client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,403,1776
KFall::SA07,KFall,SA07,1,551,1790
KFall::SA08,KFall,SA08,1,493,1819
KFall::SA09,KFall,SA09,1,398,1803
KFall::SA10,KFall,SA10,1,491,1852
KFall::SA12,KFall,SA12,1,345,1589
KFall::SA13,KFall,SA13,1,448,1962
KFall::SA14,KFall,SA14,1,489,1822
KFall::SA15,KFall,SA15,1,475,1806
KFall::SA18,KFall,SA18,1,515,1976
KFall::SA19,KFall,SA19,1,511,1967
KFall::SA20,KFall,SA20,1,450,1715
KFall::SA22,KFall,SA22,1,448,1800
KFall::SA23,KFall,SA23,1,420,1740
KFall::SA24,KFall,SA24,1,414,1811
KFall::SA25,KFall,SA25,1,423,1956
KFall::SA26,KFall,SA26,1,467,1984
KFall::SA27,KFall,SA27,1,505,1869
KFall::SA28,KFall,SA28,1,420,1895
KFall::SA29,KFall,SA29,1,509,1871
KFall::SA30,KFall,SA30,1,390,1788
KFall::SA33,KFall,SA33,1,367,1768
KFall::SA35,KFall,SA35,1,426,1857
KFall::SA36,KFall,SA36,1,408,1683
KFall::SA37,KFall,SA37,1,462,1472
KFall::SA38,KFall,SA38,1,392,1919
SisFall::SA01,SisFall,SA01,0,887,4199
SisFall::SA02,SisFall,SA02,0,1023,4063
SisFall::SA03,SisFall,SA03,0,1037,4049
SisFall::SA04,SisFall,SA04,0,881,4205
SisFall::SA05,SisFall,SA05,0,1215,3871
SisFall::SA06,SisFall,SA06,0,1119,3967
SisFall::SA07,SisFall,SA07,0,881,4205
SisFall::SA08,SisFall,SA08,0,899,4187
SisFall::SA09,SisFall,SA09,0,899,4187
SisFall::SA10,SisFall,SA10,0,879,4207
SisFall::SA11,SisFall,SA11,0,1083,4003
SisFall::SA13,SisFall,SA13,0,1057,4029
SisFall::SA14,SisFall,SA14,0,907,4178
SisFall::SA17,SisFall,SA17,0,900,4136
SisFall::SA18,SisFall,SA18,0,895,4191
SisFall::SA19,SisFall,SA19,0,881,4205
SisFall::SA20,SisFall,SA20,0,1000,3930
SisFall::SA21,SisFall,SA21,0,875,4211
SisFall::SA22,SisFall,SA22,0,878,4207
SisFall::SA23,SisFall,SA23,0,861,4225
SisFall::SE01,SisFall,SE01,2,1294,1599
SisFall::SE02,SisFall,SE02,2,448,1358
SisFall::SE04,SisFall,SE04,2,510,1737
SisFall::SE07,SisFall,SE07,2,328,1993
SisFall::SE09,SisFall,SE09,2,354,1967
SisFall::SE11,SisFall,SE11,2,758,1563
SisFall::SE12,SisFall,SE12,2,302,2019
SisFall::SE13,SisFall,SE13,2,556,1765
SisFall::SE14,SisFall,SE14,2,302,2019
SisFall::SE15,SisFall,SE15,2,605,1272
UpFall::S01,UpFall,S01,0,512,1427
UpFall::S03,UpFall,S03,0,331,1610
UpFall::S04,UpFall,S04,0,333,1607
UpFall::S05,UpFall,S05,2,529,1408
UpFall::S06,UpFall,S06,2,272,1670
UpFall::S08,UpFall,S08,2,253,1448
UpFall::S09,UpFall,S09,2,473,1467
UpFall::S10,UpFall,S10,0,373,1569
UpFall::S11,UpFall,S11,2,273,1669
UpFall::S12,UpFall,S12,2,531,1409
UpFall::S13,UpFall,S13,0,431,1508
UpFall::S16,UpFall,S16,0,372,1566
UpFall::S17,UpFall,S17,0,433,1511
