round,metric,value
1,cluster_id,0.6401211308629419
1,num_examples,757.3241868744076
1,participating_clients,69.0
1,total_examples,43259.0
1,val_accuracy,0.9392979888739411
1,val_balanced_accuracy,0.936129418324671
1,val_f1,0.7748140823717145
1,val_far,0.06018429384059366
1,val_miss_rate,0.06755686951006398
1,val_pr_auc,0.9254358669666853
1,val_precision,0.7582042367337718
1,val_recall,0.8001931940605224
1,val_roc_auc,0.9651079031960937
1,val_specificity,0.9398157061594062
2,cluster_id,0.6401211308629419
2,num_examples,757.3241868744076
2,participating_clients,69.0
2,total_examples,43259.0
2,val_accuracy,0.9447446233905484
2,val_balanced_accuracy,0.9433157263335101
2,val_f1,0.7830237737886868
2,val_far,0.0575949613652804
2,val_miss_rate,0.05577358596769809
2,val_pr_auc,0.9320346433381252
2,val_precision,0.7635533127828287
2,val_recall,0.8119764776028886
2,val_roc_auc,0.9731632177690533
2,val_specificity,0.9424050386347195
3,cluster_id,0.6401211308629419
3,num_examples,757.3241868744076
3,participating_clients,69.0
3,total_examples,43259.0
3,val_accuracy,0.9479673542946073
3,val_balanced_accuracy,0.9473986127177986
3,val_f1,0.7869727068031898
3,val_far,0.054313253524104294
3,val_miss_rate,0.05088952104029877
3,val_pr_auc,0.9389208813475158
3,val_precision,0.7683898270091001
3,val_recall,0.8168605425302876
3,val_roc_auc,0.9770350635326508
3,val_specificity,0.9456867464758957
4,cluster_id,0.6401211308629419
4,num_examples,757.3241868744076
4,participating_clients,69.0
4,total_examples,43259.0
4,val_accuracy,0.9509701349599347
4,val_balanced_accuracy,0.9498370204585923
4,val_f1,0.7902931273699526
4,val_far,0.0510975622746015
4,val_miss_rate,0.049228396808213566
4,val_pr_auc,0.9389424543475946
4,val_precision,0.7726051676088093
4,val_recall,0.818521666762373
4,val_roc_auc,0.9777247411778035
4,val_specificity,0.948902437725398
5,cluster_id,0.6401211308629419
5,num_examples,757.3241868744076
5,participating_clients,69.0
5,total_examples,43259.0
5,val_accuracy,0.952891544601726
5,val_balanced_accuracy,0.9511416117001416
5,val_f1,0.792050815090374
5,val_far,0.04794498527012413
5,val_miss_rate,0.049771791329592925
5,val_pr_auc,0.9421995084788739
5,val_precision,0.7765477881443261
5,val_recall,0.8179782722409935
5,val_roc_auc,0.9789999583470999
5,val_specificity,0.952055014729876
6,cluster_id,0.6401211308629419
6,num_examples,757.3241868744076
6,participating_clients,69.0
6,total_examples,43259.0
6,val_accuracy,0.9546170968728744
6,val_balanced_accuracy,0.9525431168939641
6,val_f1,0.7944054211200126
6,val_far,0.046876306951042515
6,val_miss_rate,0.04803745926102937
6,val_pr_auc,0.9423970563254144
6,val_precision,0.7786282448634736
6,val_recall,0.8197126043095568
6,val_roc_auc,0.9791965735489432
6,val_specificity,0.953123693048957
7,cluster_id,0.6401211308629419
7,num_examples,757.3241868744076
7,participating_clients,69.0
7,total_examples,43259.0
7,val_accuracy,0.9545383624766097
7,val_balanced_accuracy,0.9527615519707967
7,val_f1,0.7939685245238576
7,val_far,0.047276033911697365
7,val_miss_rate,0.047200862146708954
7,val_pr_auc,0.941176159501679
7,val_precision,0.7772773364864659
7,val_recall,0.8205492014238779
7,val_roc_auc,0.9792560962946665
7,val_specificity,0.9527239660883025
8,cluster_id,0.6401211308629419
8,num_examples,757.3241868744076
8,participating_clients,69.0
8,total_examples,43259.0
8,val_accuracy,0.9563036761326342
8,val_balanced_accuracy,0.9532842182664598
8,val_f1,0.7957956073233956
8,val_far,0.04546980263190284
8,val_miss_rate,0.04796176083517802
8,val_pr_auc,0.9412846850244113
8,val_precision,0.779816971235771
8,val_recall,0.8197883027354084
8,val_roc_auc,0.9797043769586172
8,val_specificity,0.9545301973680971
9,cluster_id,0.6401211308629419
9,num_examples,757.3241868744076
9,participating_clients,69.0
9,total_examples,43259.0
9,val_accuracy,0.957086930117619
9,val_balanced_accuracy,0.9537372933541362
9,val_f1,0.7968249890808622
9,val_far,0.042972858390970585
9,val_miss_rate,0.049552554900757335
9,val_pr_auc,0.9421625012542432
9,val_precision,0.7831393320372184
9,val_recall,0.8181975086698293
9,val_roc_auc,0.9801770359713847
9,val_specificity,0.9570271416090297
10,cluster_id,0.6401211308629419
10,num_examples,757.3241868744076
10,participating_clients,69.0
10,total_examples,43259.0
10,val_accuracy,0.9580038275010015
10,val_balanced_accuracy,0.9542050697500366
10,val_f1,0.7974374333676612
10,val_far,0.04282866963239858
10,val_miss_rate,0.04876119086752841
10,val_pr_auc,0.942484686787545
10,val_precision,0.7832938947276521
10,val_recall,0.8189888727030582
10,val_roc_auc,0.9804660274131706
10,val_specificity,0.9571713303676016
11,cluster_id,0.6401211308629419
11,num_examples,757.3241868744076
11,participating_clients,69.0
11,total_examples,43259.0
11,val_accuracy,0.9581562304901754
11,val_balanced_accuracy,0.954768960866426
11,val_f1,0.7981209013728309
11,val_far,0.042348335211960686
11,val_miss_rate,0.04811374305518732
11,val_pr_auc,0.9426094973601308
11,val_precision,0.7837697869062791
11,val_recall,0.819636320515399
11,val_roc_auc,0.9807088321620304
11,val_specificity,0.9576516647880395
12,cluster_id,0.6401211308629419
12,num_examples,757.3241868744076
12,participating_clients,69.0
12,total_examples,43259.0
12,val_accuracy,0.9579034056482246
12,val_balanced_accuracy,0.954389633170521
12,val_f1,0.7971509862633579
12,val_far,0.04195169148848152
12,val_miss_rate,0.049269042170476174
12,val_pr_auc,0.9409271961354535
12,val_precision,0.7840456441656165
12,val_recall,0.8184810214001101
12,val_roc_auc,0.9801747271396128
12,val_specificity,0.9580483085115187
13,cluster_id,0.6401211308629419
13,num_examples,757.3241868744076
13,participating_clients,69.0
13,total_examples,43259.0
