round,metric,value
1,client,
1,client_id,
1,cluster_id,1.104508936631161
1,dataset,
1,num_examples,783.0383643256905
1,participating_clients,69.0
1,total_examples,44312.0
1,val_accuracy,0.5098860515973006
1,val_balanced_accuracy,0.5918265272235879
1,val_f1,0.530541364389094
1,val_far,0.7751109846181684
1,val_miss_rate,0.009641811492878788
1,val_pr_auc,0.6884733496235205
1,val_precision,0.3922902180164532
1,val_recall,0.878402059241911
1,val_roc_auc,0.7982550736356112
1,val_specificity,0.22488901538183156
