client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,463,1716
KFall::SA07,KFall,SA07,0,572,1769
KFall::SA08,KFall,SA08,0,469,1843
KFall::SA09,KFall,SA09,0,385,1816
KFall::SA10,KFall,SA10,0,538,1805
KFall::SA12,KFall,SA12,0,441,1493
KFall::SA13,KFall,SA13,0,481,1929
KFall::SA14,KFall,SA14,0,454,1857
KFall::SA15,KFall,SA15,0,480,1801
KFall::SA18,KFall,SA18,0,482,2009
KFall::SA19,KFall,SA19,0,456,2022
KFall::SA20,KFall,SA20,0,376,1789
KFall::SA22,KFall,SA22,0,411,1837
KFall::SA23,KFall,SA23,0,475,1685
KFall::SA24,KFall,SA24,0,448,1777
KFall::SA25,KFall,SA25,0,477,1902
KFall::SA26,KFall,SA26,0,520,1931
KFall::SA27,KFall,SA27,0,417,1957
KFall::SA28,KFall,SA28,0,485,1830
KFall::SA29,KFall,SA29,0,460,1920
KFall::SA30,KFall,SA30,0,402,1776
KFall::SA33,KFall,SA33,0,447,1688
KFall::SA35,KFall,SA35,0,413,1870
KFall::SA36,KFall,SA36,0,389,1702
KFall::SA37,KFall,SA37,0,455,1479
KFall::SA38,KFall,SA38,0,473,1838
SisFall::SA01,SisFall,SA01,1,887,4199
SisFall::SA02,SisFall,SA02,1,887,4199
SisFall::SA03,SisFall,SA03,1,1037,4049
SisFall::SA04,SisFall,SA04,1,999,4087
SisFall::SA05,SisFall,SA05,1,1075,4011
SisFall::SA06,SisFall,SA06,1,1421,3665
SisFall::SA07,SisFall,SA07,1,1037,4049
SisFall::SA08,SisFall,SA08,1,853,4233
SisFall::SA09,SisFall,SA09,1,1043,4043
SisFall::SA10,SisFall,SA10,1,1179,3907
SisFall::SA11,SisFall,SA11,1,1019,4067
SisFall::SA13,SisFall,SA13,1,993,4093
SisFall::SA14,SisFall,SA14,1,1071,4014
SisFall::SA17,SisFall,SA17,1,1258,3778
SisFall::SA18,SisFall,SA18,1,973,4113
SisFall::SA19,SisFall,SA19,1,905,4181
SisFall::SA20,SisFall,SA20,1,890,4040
SisFall::SA21,SisFall,SA21,1,1001,4085
SisFall::SA22,SisFall,SA22,1,851,4234
SisFall::SA23,SisFall,SA23,1,1083,4003
SisFall::SE01,SisFall,SE01,2,390,2503
SisFall::SE02,SisFall,SE02,2,250,1556
SisFall::SE04,SisFall,SE04,2,500,1747
SisFall::SE07,SisFall,SE07,2,354,1967
SisFall::SE09,SisFall,SE09,2,328,1993
SisFall::SE11,SisFall,SE11,2,530,1791
SisFall::SE12,SisFall,SE12,2,328,1993
SisFall::SE13,SisFall,SE13,2,406,1915
SisFall::SE14,SisFall,SE14,2,302,2019
SisFall::SE15,SisFall,SE15,2,253,1624
UpFall::S01,UpFall,S01,1,430,1509
UpFall::S03,UpFall,S03,1,533,1408
UpFall::S04,UpFall,S04,1,232,1708
UpFall::S05,UpFall,S05,2,429,1508
UpFall::S06,UpFall,S06,2,232,1710
UpFall::S08,UpFall,S08,2,452,1249
UpFall::S09,UpFall,S09,2,532,1408
UpFall::S10,UpFall,S10,1,333,1609
UpFall::S11,UpFall,S11,2,472,1470
UpFall::S12,UpFall,S12,2,372,1568
UpFall::S13,UpFall,S13,1,273,1666
UpFall::S16,UpFall,S16,1,631,1307
UpFall::S17,UpFall,S17,1,671,1273
