client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,389,1790
KFall::SA07,KFall,SA07,1,436,1905
KFall::SA08,KFall,SA08,1,424,1888
KFall::SA09,KFall,SA09,1,432,1769
KFall::SA10,KFall,SA10,1,470,1873
KFall::SA12,KFall,SA12,1,357,1577
KFall::SA13,KFall,SA13,1,492,1918
KFall::SA14,KFall,SA14,1,521,1790
KFall::SA15,KFall,SA15,1,434,1847
KFall::SA18,KFall,SA18,1,463,2028
KFall::SA19,KFall,SA19,1,465,2013
KFall::SA20,KFall,SA20,1,507,1658
KFall::SA22,KFall,SA22,1,419,1829
KFall::SA23,KFall,SA23,1,398,1762
KFall::SA24,KFall,SA24,1,488,1737
KFall::SA25,KFall,SA25,1,464,1915
KFall::SA26,KFall,SA26,1,491,1960
KFall::SA27,KFall,SA27,1,422,1952
KFall::SA28,KFall,SA28,1,488,1827
KFall::SA29,KFall,SA29,1,506,1874
KFall::SA30,KFall,SA30,1,450,1728
KFall::SA33,KFall,SA33,1,403,1732
KFall::SA35,KFall,SA35,1,520,1763
KFall::SA36,KFall,SA36,1,400,1691
KFall::SA37,KFall,SA37,1,474,1460
KFall::SA38,KFall,SA38,1,416,1895
SisFall::SA01,SisFall,SA01,0,1421,3665
SisFall::SA02,SisFall,SA02,0,1037,4049
SisFall::SA03,SisFall,SA03,0,853,4233
SisFall::SA04,SisFall,SA04,0,1043,4043
SisFall::SA05,SisFall,SA05,0,1179,3907
SisFall::SA06,SisFall,SA06,0,1019,4067
SisFall::SA07,SisFall,SA07,0,993,4093
SisFall::SA08,SisFall,SA08,0,1071,4015
SisFall::SA09,SisFall,SA09,0,1285,3801
SisFall::SA10,SisFall,SA10,0,973,4113
SisFall::SA11,SisFall,SA11,0,905,4181
SisFall::SA13,SisFall,SA13,0,919,4167
SisFall::SA14,SisFall,SA14,0,1001,4084
SisFall::SA17,SisFall,SA17,0,882,4154
SisFall::SA18,SisFall,SA18,0,1083,4003
SisFall::SA19,SisFall,SA19,0,859,4227
SisFall::SA20,SisFall,SA20,0,1182,3748
SisFall::SA21,SisFall,SA21,0,1077,4009
SisFall::SA22,SisFall,SA22,0,926,4159
SisFall::SA23,SisFall,SA23,0,835,4251
SisFall::SE01,SisFall,SE01,2,682,2211
SisFall::SE02,SisFall,SE02,2,250,1556
SisFall::SE04,SisFall,SE04,2,386,1861
SisFall::SE07,SisFall,SE07,2,302,2019
SisFall::SE09,SisFall,SE09,2,328,1993
SisFall::SE11,SisFall,SE11,2,328,1993
SisFall::SE12,SisFall,SE12,2,680,1641
SisFall::SE13,SisFall,SE13,2,328,1993
SisFall::SE14,SisFall,SE14,2,680,1641
SisFall::SE15,SisFall,SE15,2,279,1598
UpFall::S01,UpFall,S01,0,471,1468
UpFall::S03,UpFall,S03,0,532,1409
UpFall::S04,UpFall,S04,0,330,1610
UpFall::S05,UpFall,S05,2,470,1467
UpFall::S06,UpFall,S06,2,372,1570
UpFall::S08,UpFall,S08,2,252,1449
UpFall::S09,UpFall,S09,2,632,1308
UpFall::S10,UpFall,S10,0,673,1269
UpFall::S11,UpFall,S11,2,672,1270
UpFall::S12,UpFall,S12,2,332,1608
UpFall::S13,UpFall,S13,0,312,1627
UpFall::S16,UpFall,S16,0,373,1565
UpFall::S17,UpFall,S17,0,632,1312
