client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,387,1792
KFall::SA07,KFall,SA07,1,463,1878
KFall::SA08,KFall,SA08,1,534,1778
KFall::SA09,KFall,SA09,1,452,1749
KFall::SA10,KFall,SA10,1,430,1913
KFall::SA12,KFall,SA12,1,390,1544
KFall::SA13,KFall,SA13,1,467,1943
KFall::SA14,KFall,SA14,1,431,1880
KFall::SA15,KFall,SA15,1,445,1836
KFall::SA18,KFall,SA18,1,455,2036
KFall::SA19,KFall,SA19,1,514,1964
KFall::SA20,KFall,SA20,1,432,1733
KFall::SA22,KFall,SA22,1,486,1762
KFall::SA23,KFall,SA23,1,411,1749
KFall::SA24,KFall,SA24,1,388,1837
KFall::SA25,KFall,SA25,1,450,1929
KFall::SA26,KFall,SA26,1,457,1994
KFall::SA27,KFall,SA27,1,438,1936
KFall::SA28,KFall,SA28,1,487,1828
KFall::SA29,KFall,SA29,1,439,1941
KFall::SA30,KFall,SA30,1,448,1730
KFall::SA33,KFall,SA33,1,472,1663
KFall::SA35,KFall,SA35,1,409,1874
KFall::SA36,KFall,SA36,1,407,1684
KFall::SA37,KFall,SA37,1,425,1509
KFall::SA38,KFall,SA38,1,491,1820
SisFall::SA01,SisFall,SA01,0,999,4087
SisFall::SA02,SisFall,SA02,0,1075,4011
SisFall::SA03,SisFall,SA03,0,1421,3665
SisFall::SA04,SisFall,SA04,0,1037,4049
SisFall::SA05,SisFall,SA05,0,853,4233
SisFall::SA06,SisFall,SA06,0,1043,4043
SisFall::SA07,SisFall,SA07,0,1179,3907
SisFall::SA08,SisFall,SA08,0,1019,4067
SisFall::SA09,SisFall,SA09,0,993,4093
SisFall::SA10,SisFall,SA10,0,1071,4015
SisFall::SA11,SisFall,SA11,0,1285,3801
SisFall::SA13,SisFall,SA13,0,973,4113
SisFall::SA14,SisFall,SA14,0,904,4181
SisFall::SA17,SisFall,SA17,0,945,4091
SisFall::SA18,SisFall,SA18,0,1001,4085
SisFall::SA19,SisFall,SA19,0,851,4235
SisFall::SA20,SisFall,SA20,0,1028,3902
SisFall::SA21,SisFall,SA21,0,859,4227
SisFall::SA22,SisFall,SA22,0,1233,3852
SisFall::SA23,SisFall,SA23,0,1077,4009
SisFall::SE01,SisFall,SE01,2,350,2543
SisFall::SE02,SisFall,SE02,2,294,1512
SisFall::SE04,SisFall,SE04,2,512,1735
SisFall::SE07,SisFall,SE07,2,328,1993
SisFall::SE09,SisFall,SE09,2,406,1915
SisFall::SE11,SisFall,SE11,2,302,2019
SisFall::SE12,SisFall,SE12,2,328,1993
SisFall::SE13,SisFall,SE13,2,328,1993
SisFall::SE14,SisFall,SE14,2,680,1641
SisFall::SE15,SisFall,SE15,2,253,1624
UpFall::S01,UpFall,S01,0,430,1509
UpFall::S03,UpFall,S03,0,231,1710
UpFall::S04,UpFall,S04,0,470,1470
UpFall::S05,UpFall,S05,2,531,1406
UpFall::S06,UpFall,S06,2,332,1610
UpFall::S08,UpFall,S08,2,411,1290
UpFall::S09,UpFall,S09,2,371,1569
UpFall::S10,UpFall,S10,0,272,1670
UpFall::S11,UpFall,S11,2,632,1310
UpFall::S12,UpFall,S12,2,670,1270
UpFall::S13,UpFall,S13,0,670,1269
UpFall::S16,UpFall,S16,0,332,1606
UpFall::S17,UpFall,S17,0,311,1633
