client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,474,1705
KFall::SA07,KFall,SA07,0,458,1883
KFall::SA08,KFall,SA08,0,472,1840
KFall::SA09,KFall,SA09,0,460,1741
KFall::SA10,KFall,SA10,0,489,1854
KFall::SA12,KFall,SA12,0,361,1573
KFall::SA13,KFall,SA13,0,452,1958
KFall::SA14,KFall,SA14,0,525,1786
KFall::SA15,KFall,SA15,0,488,1793
KFall::SA18,KFall,SA18,0,470,2021
KFall::SA19,KFall,SA19,0,501,1977
KFall::SA20,KFall,SA20,0,391,1774
KFall::SA22,KFall,SA22,0,441,1807
KFall::SA23,KFall,SA23,0,439,1721
KFall::SA24,KFall,SA24,0,510,1715
KFall::SA25,KFall,SA25,0,506,1873
KFall::SA26,KFall,SA26,0,465,1986
KFall::SA27,KFall,SA27,0,436,1938
KFall::SA28,KFall,SA28,0,424,1891
KFall::SA29,KFall,SA29,0,519,1861
KFall::SA30,KFall,SA30,0,429,1749
KFall::SA33,KFall,SA33,0,367,1768
KFall::SA35,KFall,SA35,0,429,1854
KFall::SA36,KFall,SA36,0,513,1578
KFall::SA37,KFall,SA37,0,362,1572
KFall::SA38,KFall,SA38,0,444,1867
SisFall::SA01,SisFall,SA01,1,887,4199
SisFall::SA02,SisFall,SA02,1,1037,4049
SisFall::SA03,SisFall,SA03,1,999,4087
SisFall::SA04,SisFall,SA04,1,1075,4011
SisFall::SA05,SisFall,SA05,1,1421,3665
SisFall::SA06,SisFall,SA06,1,1037,4049
SisFall::SA07,SisFall,SA07,1,853,4233
SisFall::SA08,SisFall,SA08,1,1043,4043
SisFall::SA09,SisFall,SA09,1,1179,3907
SisFall::SA10,SisFall,SA10,1,1019,4067
SisFall::SA11,SisFall,SA11,1,993,4093
SisFall::SA13,SisFall,SA13,1,1071,4015
SisFall::SA14,SisFall,SA14,1,1285,3800
SisFall::SA17,SisFall,SA17,1,979,4057
SisFall::SA18,SisFall,SA18,1,905,4181
SisFall::SA19,SisFall,SA19,1,919,4167
SisFall::SA20,SisFall,SA20,1,990,3940
SisFall::SA21,SisFall,SA21,1,851,4235
SisFall::SA22,SisFall,SA22,1,1083,4002
SisFall::SA23,SisFall,SA23,1,859,4227
SisFall::SE01,SisFall,SE01,2,282,2611
SisFall::SE02,SisFall,SE02,2,264,1542
SisFall::SE04,SisFall,SE04,2,354,1893
SisFall::SE07,SisFall,SE07,2,328,1993
SisFall::SE09,SisFall,SE09,2,530,1791
SisFall::SE11,SisFall,SE11,2,328,1993
SisFall::SE12,SisFall,SE12,2,406,1915
SisFall::SE13,SisFall,SE13,2,302,2019
SisFall::SE14,SisFall,SE14,2,328,1993
SisFall::SE15,SisFall,SE15,2,279,1598
UpFall::S01,UpFall,S01,1,533,1406
UpFall::S03,UpFall,S03,1,232,1709
UpFall::S04,UpFall,S04,1,432,1508
UpFall::S05,UpFall,S05,2,232,1705
UpFall::S06,UpFall,S06,2,471,1471
UpFall::S08,UpFall,S08,2,352,1349
UpFall::S09,UpFall,S09,2,331,1609
UpFall::S10,UpFall,S10,1,473,1469
UpFall::S11,UpFall,S11,2,373,1569
UpFall::S12,UpFall,S12,2,273,1667
UpFall::S13,UpFall,S13,1,631,1308
UpFall::S16,UpFall,S16,1,672,1266
UpFall::S17,UpFall,S17,1,672,1272
