client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,397,1404
KFall::SA07,KFall,SA07,0,398,1671
KFall::SA08,KFall,SA08,0,400,1553
KFall::SA09,KFall,SA09,0,351,1466
KFall::SA10,KFall,SA10,0,352,1615
KFall::SA11,KFall,SA11,0,438,1580
KFall::SA12,KFall,SA12,0,430,1267
KFall::SA13,KFall,SA13,0,389,1641
KFall::SA14,KFall,SA14,0,375,1551
KFall::SA15,KFall,SA15,0,380,1509
KFall::SA16,KFall,SA16,0,363,1707
KFall::SA17,KFall,SA17,0,462,1839
KFall::SA18,KFall,SA18,0,406,1635
KFall::SA19,KFall,SA19,0,443,1755
KFall::SA20,KFall,SA20,0,313,1463
KFall::SA21,KFall,SA21,0,384,1627
KFall::SA22,KFall,SA22,0,382,1509
KFall::SA23,KFall,SA23,0,371,1501
KFall::SA24,KFall,SA24,0,348,1535
KFall::SA25,KFall,SA25,0,457,1567
KFall::SA26,KFall,SA26,0,373,1556
KFall::SA27,KFall,SA27,0,458,1504
KFall::SA28,KFall,SA28,0,401,1421
KFall::SA29,KFall,SA29,0,393,1636
KFall::SA30,KFall,SA30,0,326,1466
KFall::SA31,KFall,SA31,0,389,1447
KFall::SA32,KFall,SA32,0,371,1559
KFall::SA33,KFall,SA33,0,488,1488
KFall::SA35,KFall,SA35,0,446,1519
KFall::SA36,KFall,SA36,0,383,1430
KFall::SA37,KFall,SA37,0,302,1424
KFall::SA38,KFall,SA38,0,397,1713
SisFall::SA01,SisFall,SA01,1,661,3518
SisFall::SA02,SisFall,SA02,1,907,3394
SisFall::SA03,SisFall,SA03,1,942,3322
SisFall::SA04,SisFall,SA04,1,895,3469
SisFall::SA05,SisFall,SA05,1,912,3380
SisFall::SA06,SisFall,SA06,1,1106,3102
SisFall::SA07,SisFall,SA07,1,1042,3414
SisFall::SA08,SisFall,SA08,1,700,3690
SisFall::SA09,SisFall,SA09,1,697,3606
SisFall::SA10,SisFall,SA10,1,700,3708
SisFall::SA11,SisFall,SA11,1,771,3304
SisFall::SA12,SisFall,SA12,1,930,3448
SisFall::SA13,SisFall,SA13,1,734,3558
SisFall::SA14,SisFall,SA14,1,1120,3413
SisFall::SA15,SisFall,SA15,1,928,3349
SisFall::SA16,SisFall,SA16,1,754,3466
SisFall::SA17,SisFall,SA17,1,681,3359
SisFall::SA18,SisFall,SA18,1,942,3471
SisFall::SA19,SisFall,SA19,1,1235,3088
SisFall::SA20,SisFall,SA20,1,742,3616
SisFall::SA21,SisFall,SA21,1,878,3396
SisFall::SA22,SisFall,SA22,1,1074,3300
SisFall::SA23,SisFall,SA23,1,817,3596
SisFall::SE01,SisFall,SE01,2,610,1372
SisFall::SE02,SisFall,SE02,2,204,1392
SisFall::SE03,SisFall,SE03,2,652,1488
SisFall::SE04,SisFall,SE04,2,230,1398
SisFall::SE05,SisFall,SE05,2,507,1619
SisFall::SE06,SisFall,SE06,1,938,3301
SisFall::SE07,SisFall,SE07,2,634,1480
SisFall::SE08,SisFall,SE08,2,279,1875
SisFall::SE09,SisFall,SE09,2,484,1607
SisFall::SE10,SisFall,SE10,2,279,1970
SisFall::SE11,SisFall,SE11,2,481,1497
SisFall::SE12,SisFall,SE12,2,458,1584
SisFall::SE13,SisFall,SE13,2,282,1604
SisFall::SE14,SisFall,SE14,2,305,1722
SisFall::SE15,SisFall,SE15,2,337,1330
