client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,2,362,1817
KFall::SA07,KFall,SA07,2,478,1863
KFall::SA08,KFall,SA08,2,399,1913
KFall::SA09,KFall,SA09,2,401,1800
KFall::SA10,KFall,SA10,2,464,1879
KFall::SA12,KFall,SA12,2,435,1499
KFall::SA13,KFall,SA13,2,483,1927
KFall::SA14,KFall,SA14,2,438,1873
KFall::SA15,KFall,SA15,2,486,1795
KFall::SA18,KFall,SA18,2,472,2019
KFall::SA19,KFall,SA19,2,454,2024
KFall::SA20,KFall,SA20,2,443,1722
KFall::SA22,KFall,SA22,2,399,1849
KFall::SA23,KFall,SA23,2,417,1743
KFall::SA24,KFall,SA24,2,522,1703
KFall::SA25,KFall,SA25,2,493,1886
KFall::SA26,KFall,SA26,2,507,1944
KFall::SA27,KFall,SA27,2,508,1866
KFall::SA28,KFall,SA28,2,442,1873
KFall::SA29,KFall,SA29,2,489,1891
KFall::SA30,KFall,SA30,2,486,1692
KFall::SA33,KFall,SA33,2,463,1672
KFall::SA35,KFall,SA35,2,580,1703
KFall::SA36,KFall,SA36,2,426,1665
KFall::SA37,KFall,SA37,2,382,1552
KFall::SA38,KFall,SA38,2,571,1740
SisFall::SA01,SisFall,SA01,1,853,4233
SisFall::SA02,SisFall,SA02,1,1043,4043
SisFall::SA03,SisFall,SA03,1,1179,3907
SisFall::SA04,SisFall,SA04,1,1019,4067
SisFall::SA05,SisFall,SA05,1,993,4093
SisFall::SA06,SisFall,SA06,1,1071,4015
SisFall::SA07,SisFall,SA07,1,1285,3801
SisFall::SA08,SisFall,SA08,1,973,4113
SisFall::SA09,SisFall,SA09,1,905,4181
SisFall::SA10,SisFall,SA10,1,919,4167
SisFall::SA11,SisFall,SA11,1,1001,4085
SisFall::SA13,SisFall,SA13,1,851,4235
SisFall::SA14,SisFall,SA14,1,1083,4002
SisFall::SA17,SisFall,SA17,1,885,4151
SisFall::SA18,SisFall,SA18,1,1233,3853
SisFall::SA19,SisFall,SA19,1,1077,4009
SisFall::SA20,SisFall,SA20,1,864,4066
SisFall::SA21,SisFall,SA21,1,835,4251
SisFall::SA22,SisFall,SA22,1,1260,3825
SisFall::SA23,SisFall,SA23,1,991,4095
SisFall::SE01,SisFall,SE01,0,402,2491
SisFall::SE02,SisFall,SE02,0,432,1374
SisFall::SE04,SisFall,SE04,0,320,1927
SisFall::SE07,SisFall,SE07,0,328,1993
SisFall::SE09,SisFall,SE09,0,680,1641
SisFall::SE11,SisFall,SE11,0,328,1993
SisFall::SE12,SisFall,SE12,0,680,1641
SisFall::SE13,SisFall,SE13,0,354,1967
SisFall::SE14,SisFall,SE14,0,354,1967
SisFall::SE15,SisFall,SE15,0,305,1572
UpFall::S01,UpFall,S01,1,331,1608
UpFall::S03,UpFall,S03,1,472,1469
UpFall::S04,UpFall,S04,1,371,1569
UpFall::S05,UpFall,S05,0,271,1666
UpFall::S06,UpFall,S06,0,632,1310
UpFall::S08,UpFall,S08,0,352,1349
UpFall::S09,UpFall,S09,0,672,1268
UpFall::S10,UpFall,S10,1,332,1610
UpFall::S11,UpFall,S11,0,310,1632
UpFall::S12,UpFall,S12,0,372,1568
UpFall::S13,UpFall,S13,1,633,1306
UpFall::S16,UpFall,S16,1,270,1668
UpFall::S17,UpFall,S17,1,273,1671
