client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,440,1739
KFall::SA07,KFall,SA07,0,482,1859
KFall::SA08,KFall,SA08,0,563,1749
KFall::SA09,KFall,SA09,0,423,1778
KFall::SA10,KFall,SA10,0,441,1902
KFall::SA12,KFall,SA12,0,361,1573
KFall::SA13,KFall,SA13,0,450,1960
KFall::SA14,KFall,SA14,0,405,1906
KFall::SA15,KFall,SA15,0,466,1815
KFall::SA18,KFall,SA18,0,467,2024
KFall::SA19,KFall,SA19,0,471,2007
KFall::SA20,KFall,SA20,0,350,1815
KFall::SA22,KFall,SA22,0,414,1834
KFall::SA23,KFall,SA23,0,404,1756
KFall::SA24,KFall,SA24,0,422,1803
KFall::SA25,KFall,SA25,0,500,1879
KFall::SA26,KFall,SA26,0,497,1954
KFall::SA27,KFall,SA27,0,440,1934
KFall::SA28,KFall,SA28,0,520,1795
KFall::SA29,KFall,SA29,0,476,1904
KFall::SA30,KFall,SA30,0,416,1762
KFall::SA33,KFall,SA33,0,469,1666
KFall::SA35,KFall,SA35,0,436,1847
KFall::SA36,KFall,SA36,0,527,1564
KFall::SA37,KFall,SA37,0,451,1483
KFall::SA38,KFall,SA38,0,514,1797
SisFall::SA01,SisFall,SA01,1,1037,4049
SisFall::SA02,SisFall,SA02,1,853,4233
SisFall::SA03,SisFall,SA03,1,1043,4043
SisFall::SA04,SisFall,SA04,1,1179,3907
SisFall::SA05,SisFall,SA05,1,1019,4067
SisFall::SA06,SisFall,SA06,1,993,4093
SisFall::SA07,SisFall,SA07,1,1071,4015
SisFall::SA08,SisFall,SA08,1,1285,3801
SisFall::SA09,SisFall,SA09,1,973,4113
SisFall::SA10,SisFall,SA10,1,905,4181
SisFall::SA11,SisFall,SA11,1,919,4167
SisFall::SA13,SisFall,SA13,1,1001,4085
SisFall::SA14,SisFall,SA14,1,851,4234
SisFall::SA17,SisFall,SA17,1,1082,3954
SisFall::SA18,SisFall,SA18,1,859,4227
SisFall::SA19,SisFall,SA19,1,1233,3853
SisFall::SA20,SisFall,SA20,1,1074,3856
SisFall::SA21,SisFall,SA21,1,927,4159
SisFall::SA22,SisFall,SA22,1,835,4250
SisFall::SA23,SisFall,SA23,1,1261,3825
SisFall::SE01,SisFall,SE01,2,304,2589
SisFall::SE02,SisFall,SE02,2,298,1508
SisFall::SE04,SisFall,SE04,2,302,1945
SisFall::SE07,SisFall,SE07,2,328,1993
SisFall::SE09,SisFall,SE09,2,328,1993
SisFall::SE11,SisFall,SE11,2,680,1641
SisFall::SE12,SisFall,SE12,2,328,1993
SisFall::SE13,SisFall,SE13,2,680,1641
SisFall::SE14,SisFall,SE14,2,354,1967
SisFall::SE15,SisFall,SE15,2,507,1370
UpFall::S01,UpFall,S01,1,532,1407
UpFall::S03,UpFall,S03,1,332,1609
UpFall::S04,UpFall,S04,1,472,1468
UpFall::S05,UpFall,S05,2,372,1565
UpFall::S06,UpFall,S06,2,272,1670
UpFall::S08,UpFall,S08,2,413,1288
UpFall::S09,UpFall,S09,2,671,1269
UpFall::S10,UpFall,S10,1,673,1269
UpFall::S11,UpFall,S11,2,332,1610
UpFall::S12,UpFall,S12,2,312,1628
UpFall::S13,UpFall,S13,1,371,1568
UpFall::S16,UpFall,S16,1,630,1308
UpFall::S17,UpFall,S17,1,270,1674
