client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,391,1788
KFall::SA07,KFall,SA07,0,434,1907
KFall::SA08,KFall,SA08,0,497,1815
KFall::SA09,KFall,SA09,0,407,1794
KFall::SA10,KFall,SA10,0,470,1873
KFall::SA12,KFall,SA12,0,380,1554
KFall::SA13,KFall,SA13,0,477,1933
KFall::SA14,KFall,SA14,0,516,1795
KFall::SA15,KFall,SA15,0,459,1822
KFall::SA18,KFall,SA18,0,492,1999
KFall::SA19,KFall,SA19,0,616,1862
KFall::SA20,KFall,SA20,0,438,1727
KFall::SA22,KFall,SA22,0,499,1749
KFall::SA23,KFall,SA23,0,426,1734
KFall::SA24,KFall,SA24,0,472,1753
KFall::SA25,KFall,SA25,0,538,1841
KFall::SA26,KFall,SA26,0,462,1989
KFall::SA27,KFall,SA27,0,480,1894
KFall::SA28,KFall,SA28,0,452,1863
KFall::SA29,KFall,SA29,0,537,1843
KFall::SA30,KFall,SA30,0,385,1793
KFall::SA33,KFall,SA33,0,436,1699
KFall::SA35,KFall,SA35,0,486,1797
KFall::SA36,KFall,SA36,0,383,1708
KFall::SA37,KFall,SA37,0,422,1512
KFall::SA38,KFall,SA38,0,414,1897
SisFall::SA01,SisFall,SA01,1,1285,3801
SisFall::SA02,SisFall,SA02,1,849,4237
SisFall::SA03,SisFall,SA03,1,1207,3879
SisFall::SA04,SisFall,SA04,1,1397,3689
SisFall::SA05,SisFall,SA05,1,887,4199
SisFall::SA06,SisFall,SA06,1,887,4199
SisFall::SA07,SisFall,SA07,1,1023,4063
SisFall::SA08,SisFall,SA08,1,1037,4049
SisFall::SA09,SisFall,SA09,1,881,4205
SisFall::SA10,SisFall,SA10,1,1215,3871
SisFall::SA11,SisFall,SA11,1,1119,3967
SisFall::SA13,SisFall,SA13,1,881,4205
SisFall::SA14,SisFall,SA14,1,898,4187
SisFall::SA17,SisFall,SA17,1,887,4149
SisFall::SA18,SisFall,SA18,1,879,4207
SisFall::SA19,SisFall,SA19,1,1083,4003
SisFall::SA20,SisFall,SA20,1,1190,3740
SisFall::SA21,SisFall,SA21,1,907,4179
SisFall::SA22,SisFall,SA22,1,959,4126
SisFall::SA23,SisFall,SA23,1,895,4191
SisFall::SE01,SisFall,SE01,2,304,2589
SisFall::SE02,SisFall,SE02,2,616,1190
SisFall::SE04,SisFall,SE04,2,310,1937
SisFall::SE07,SisFall,SE07,2,452,1869
SisFall::SE09,SisFall,SE09,2,478,1843
SisFall::SE11,SisFall,SE11,2,830,1491
SisFall::SE12,SisFall,SE12,2,732,1589
SisFall::SE13,SisFall,SE13,2,530,1791
SisFall::SE14,SisFall,SE14,2,328,1993
SisFall::SE15,SisFall,SE15,2,455,1422
UpFall::S01,UpFall,S01,1,332,1607
UpFall::S03,UpFall,S03,1,471,1470
UpFall::S04,UpFall,S04,1,270,1670
UpFall::S05,UpFall,S05,2,232,1705
UpFall::S06,UpFall,S06,2,430,1512
UpFall::S08,UpFall,S08,2,352,1349
UpFall::S09,UpFall,S09,2,331,1609
UpFall::S10,UpFall,S10,1,332,1610
UpFall::S11,UpFall,S11,2,532,1410
UpFall::S12,UpFall,S12,2,272,1668
UpFall::S13,UpFall,S13,1,470,1469
UpFall::S16,UpFall,S16,1,471,1467
UpFall::S17,UpFall,S17,1,372,1572
