round,metric,value
1,cluster_id,0.6449932471541578
1,num_examples,733.8385105151457
1,participating_clients,69.0
1,total_examples,41464.0
1,val_accuracy,0.9332872634443765
1,val_balanced_accuracy,0.9266432267184197
1,val_f1,0.7747121194944553
1,val_far,0.048984207502229156
1,val_miss_rate,0.09772933906093101
1,val_pr_auc,0.9196993427827965
1,val_precision,0.7803936633083348
1,val_recall,0.7819494184154341
1,val_roc_auc,0.9667428235665066
1,val_specificity,0.9510157924977708
2,cluster_id,0.6449932471541578
2,num_examples,733.8385105151457
2,participating_clients,69.0
2,total_examples,41464.0
2,val_accuracy,0.9470624176598601
2,val_balanced_accuracy,0.944054994743738
2,val_f1,0.7947315382369762
2,val_far,0.04700635726686506
2,val_miss_rate,0.06488365324565876
2,val_pr_auc,0.936144080318474
2,val_precision,0.7862923880901089
2,val_recall,0.8147951042307062
2,val_roc_auc,0.9774414618943258
2,val_specificity,0.9529936427331349
3,cluster_id,0.6449932471541578
3,num_examples,733.8385105151457
3,participating_clients,69.0
3,total_examples,41464.0
3,val_accuracy,0.9498695453732342
3,val_balanced_accuracy,0.946781354080081
3,val_f1,0.7980804103113012
3,val_far,0.0454801030322189
3,val_miss_rate,0.060957188807618974
3,val_pr_auc,0.9373242325108602
3,val_precision,0.7877591379205482
3,val_recall,0.818721568668746
3,val_roc_auc,0.978215940689976
3,val_specificity,0.9545198969677812
4,cluster_id,0.6449932471541578
4,num_examples,733.8385105151457
4,participating_clients,69.0
4,total_examples,41464.0
4,val_accuracy,0.9505340465629725
4,val_balanced_accuracy,0.9469131817024942
4,val_f1,0.7980019600060783
4,val_far,0.045070712822455845
4,val_miss_rate,0.0610496252606729
4,val_pr_auc,0.9352089591028377
4,val_precision,0.7877220477653366
4,val_recall,0.8186291322156926
4,val_roc_auc,0.9780074769214239
4,val_specificity,0.954929287177544
5,cluster_id,0.6449932471541578
5,num_examples,733.8385105151457
5,participating_clients,69.0
5,total_examples,41464.0
5,val_accuracy,0.9480041495842885
5,val_balanced_accuracy,0.9449816758016407
5,val_f1,0.796600611225554
5,val_far,0.04872046265058626
5,val_miss_rate,0.059627165201099765
5,val_pr_auc,0.9327254761142032
5,val_precision,0.7839937036878456
5,val_recall,0.8200515922752654
5,val_roc_auc,0.9775091167108176
5,val_specificity,0.9512795373494135
6,cluster_id,0.6449932471541578
6,num_examples,733.8385105151457
6,participating_clients,69.0
6,total_examples,41464.0
6,val_accuracy,0.9448246402722505
6,val_balanced_accuracy,0.9423863591398614
6,val_f1,0.7956382744430418
6,val_far,0.05291661806744406
6,val_miss_rate,0.05869322122488593
6,val_pr_auc,0.9348246376522782
6,val_precision,0.7816259323551018
6,val_recall,0.8209855362514791
6,val_roc_auc,0.9779911661281955
6,val_specificity,0.9470833819325556
7,cluster_id,0.6449932471541578
7,num_examples,733.8385105151457
7,participating_clients,69.0
7,total_examples,41464.0
7,val_accuracy,0.9435168595422517
7,val_balanced_accuracy,0.9423161058072616
7,val_f1,0.795386812531576
7,val_far,0.0550905068222632
7,val_miss_rate,0.05622956449247403
7,val_pr_auc,0.9316407021526535
7,val_precision,0.7800279766081257
7,val_recall,0.8234491929838911
7,val_roc_auc,0.9771805792805839
7,val_specificity,0.9449094931777364
8,cluster_id,0.6449932471541578
8,num_examples,733.8385105151457
8,participating_clients,69.0
8,total_examples,41464.0
8,val_accuracy,0.9432421115492662
8,val_balanced_accuracy,0.9401292903251703
8,val_f1,0.7946683335749434
8,val_far,0.05524549559476738
8,val_miss_rate,0.05934097582584988
8,val_pr_auc,0.9306683629826069
8,val_precision,0.7797530054972788
8,val_recall,0.8203377816505152
8,val_roc_auc,0.9772552096811337
8,val_specificity,0.9447545044052323
9,cluster_id,0.6449932471541578
9,num_examples,733.8385105151457
9,participating_clients,69.0
9,total_examples,41464.0
9,val_accuracy,0.9416871145153705
9,val_balanced_accuracy,0.9397590627769925
9,val_f1,0.7937670853454719
9,val_far,0.05733224275365196
9,val_miss_rate,0.057777749064331356
9,val_pr_auc,0.9304515161010424
9,val_precision,0.7777568714394429
9,val_recall,0.8219010084120337
9,val_roc_auc,0.9763786585267086
9,val_specificity,0.9426677572463483
10,cluster_id,0.6449932471541578
10,num_examples,733.8385105151457
10,participating_clients,69.0
10,total_examples,41464.0
10,val_accuracy,0.9407139443573641
10,val_balanced_accuracy,0.9383788276256622
10,val_f1,0.793183354389744
10,val_far,0.058554501701103406
10,val_miss_rate,0.058600819737925885
10,val_pr_auc,0.9298668468373854
10,val_precision,0.777400184776988
10,val_recall,0.8210779377384392
10,val_roc_auc,0.976351066954279
10,val_specificity,0.9414454982988963
11,cluster_id,0.6449932471541578
11,num_examples,733.8385105151457
11,participating_clients,69.0
11,total_examples,41464.0
11,val_accuracy,0.9407029793436225
11,val_balanced_accuracy,0.9388645595867807
11,val_f1,0.7936108928807142
11,val_far,0.05932720897218563
11,val_miss_rate,0.056645121750877984
11,val_pr_auc,0.9292904298995022
11,val_precision,0.776030899014128
11,val_recall,0.8230336357254873
11,val_roc_auc,0.9761415030315866
11,val_specificity,0.9406727910278143
12,cluster_id,0.6449932471541578
12,num_examples,733.8385105151457
12,participating_clients,69.0
12,total_examples,41464.0
12,val_accuracy,0.940851639172405
12,val_balanced_accuracy,0.9394345042756539
12,val_f1,0.7940170960327488
12,val_far,0.05977347070974735
12,val_miss_rate,0.055147905557945874
12,val_pr_auc,0.9314053131298916
12,val_precision,0.7763154999680322
12,val_recall,0.824530851918419
12,val_roc_auc,0.9767354807440546
12,val_specificity,0.9402265292902526
13,cluster_id,0.6449932471541578
13,num_examples,733.8385105151457
13,participating_clients,69.0
13,total_examples,41464.0
13,val_accuracy,0.9409127136945263
13,val_balanced_accuracy,0.9384214239639443
13,val_f1,0.7933963818513516
13,val_far,0.05966769889790577
13,val_miss_rate,0.05700920202291834
13,val_pr_auc,0.929065743923515
13,val_precision,0.7757486307550964
13,val_recall,0.822669555453447
13,val_roc_auc,0.9763361119768058
13,val_specificity,0.9403323011020948
14,cluster_id,0.6449932471541578
14,num_examples,733.8385105151457
14,participating_clients,69.0
14,total_examples,41464.0
14,val_accuracy,0.940664559424062
14,val_balanced_accuracy,0.9394020635559392
14,val_f1,0.7939709395107711
14,val_far,0.061323184262362926
14,val_miss_rate,0.05335887407182913
14,val_pr_auc,0.9285900324316703
14,val_precision,0.7740000917337514
14,val_recall,0.8263198834045358
14,val_roc_auc,0.97632691977712
14,val_specificity,0.9386768157376371
15,cluster_id,0.6449932471541578
15,num_examples,733.8385105151457
15,participating_clients,69.0
15,total_examples,41464.0
15,val_accuracy,0.9404113211770726
15,val_balanced_accuracy,0.9388853143924136
15,val_f1,0.7933069974390085
15,val_far,0.060982329191851765
15,val_miss_rate,0.054613654851984356
15,val_pr_auc,0.9288347966467887
15,val_precision,0.7738122667829543
15,val_recall,0.8250651026243806
15,val_roc_auc,0.9763985631747213
15,val_specificity,0.9390176708081487
16,cluster_id,0.6449932471541578
16,num_examples,733.8385105151457
16,participating_clients,69.0
16,total_examples,41464.0
16,val_accuracy,0.9402550240586747
16,val_balanced_accuracy,0.9389312236005213
16,val_f1,0.7935522665014897
16,val_far,0.0616880014496202
16,val_miss_rate,0.053541816533505794
16,val_pr_auc,0.9296039886971229
16,val_precision,0.7734283486932443
16,val_recall,0.8261369409428593
16,val_roc_auc,0.9762560790329915
16,val_specificity,0.9383119985503797
17,cluster_id,0.6449932471541578
17,num_examples,733.8385105151457
17,participating_clients,69.0
17,total_examples,41464.0
17,val_accuracy,0.940783114084174
17,val_balanced_accuracy,0.9395634360772323
17,val_f1,0.7940492627228071
17,val_far,0.061279343524129073
17,val_miss_rate,0.05289765167106606
17,val_pr_auc,0.9290787674854022
17,val_precision,0.7735199548426006
17,val_recall,0.8267811058052988
17,val_roc_auc,0.9765396916629729
17,val_specificity,0.9387206564758707
18,cluster_id,0.6449932471541578
18,num_examples,733.8385105151457
18,participating_clients,69.0
18,total_examples,41464.0
18,val_accuracy,0.9407670193599131
18,val_balanced_accuracy,0.938768656711449
18,val_f1,0.7935814603990587
18,val_far,0.060650805244847505
18,val_miss_rate,0.05501716526628952
18,val_pr_auc,0.927945253890172
18,val_precision,0.774005456712792
18,val_recall,0.8246615922100757
18,val_roc_auc,0.9760429386221906
18,val_specificity,0.9393491947551524
19,cluster_id,0.6449932471541578
19,num_examples,733.8385105151457
19,participating_clients,69.0
19,total_examples,41464.0
19,val_accuracy,0.9404570010142963
19,val_balanced_accuracy,0.9390698104114634
19,val_f1,0.7934493190481224
19,val_far,0.06204734430190748
19,val_miss_rate,0.05323943881925235
19,val_pr_auc,0.9278832851991743
19,val_precision,0.7725583394393173
19,val_recall,0.826439318657113
19,val_roc_auc,0.9760507187644675
19,val_specificity,0.9379526556980927
20,cluster_id,0.6449932471541578
20,num_examples,733.8385105151457
20,participating_clients,69.0
20,total_examples,41464.0
20,val_accuracy,0.9405892976212069
20,val_balanced_accuracy,0.9386056389273224
20,val_f1,0.793258358978507
20,val_far,0.06191856562856337
20,val_miss_rate,0.054329672384946015
20,val_pr_auc,0.9280839318844246
20,val_precision,0.7727001391603102
20,val_recall,0.8253490850914187
20,val_roc_auc,0.9759912082271766
20,val_specificity,0.9380814343714362
21,cluster_id,0.6449932471541578
21,num_examples,733.8385105151457
21,participating_clients,69.0
21,total_examples,41464.0
21,val_accuracy,0.9403735011114543
21,val_balanced_accuracy,0.9386095307223814
21,val_f1,0.7933272659521486
21,val_far,0.06167672869815121
21,val_miss_rate,0.054364300268050544
21,val_pr_auc,0.9282569989773918
21,val_precision,0.7733616297567172
21,val_recall,0.8253144572083143
21,val_roc_auc,0.976157899616651
21,val_specificity,0.9383232713018486
22,cluster_id,0.6449932471541578
22,num_examples,733.8385105151457
22,participating_clients,69.0
22,total_examples,41464.0
22,val_accuracy,0.9407298365799425
22,val_balanced_accuracy,0.9387295296954633
22,val_f1,0.7938217110180495
22,val_far,0.06112454602991512
22,val_miss_rate,0.054500918721906655
22,val_pr_auc,0.9273639924686522
22,val_precision,0.7740181924948746
22,val_recall,0.8251778387544585
22,val_roc_auc,0.9762133576372497
22,val_specificity,0.9388754539700848
23,cluster_id,0.6449932471541578
23,num_examples,733.8385105151457
23,participating_clients,69.0
23,total_examples,41464.0
23,val_accuracy,0.940595273178669
23,val_balanced_accuracy,0.9388450839316614
23,val_f1,0.7936360822904581
23,val_far,0.06157832221759553
23,val_miss_rate,0.0539208192109033
23,val_pr_auc,0.9292043868225849
23,val_precision,0.7735368337809684
23,val_recall,0.8257579382654616
23,val_roc_auc,0.9765462060926213
23,val_specificity,0.9384216777824048
24,cluster_id,0.6449932471541578
24,num_examples,733.8385105151457
24,participating_clients,69.0
24,total_examples,41464.0
24,val_accuracy,0.9402429369391392
24,val_balanced_accuracy,0.9383537127325011
24,val_f1,0.7932023199586664
24,val_far,0.062396576989412325
24,val_miss_rate,0.05415126595722264
24,val_pr_auc,0.927065614692524
24,val_precision,0.7723636914994793
24,val_recall,0.8255274915191423
24,val_roc_auc,0.9759021004399999
24,val_specificity,0.937603423010588
25,cluster_id,0.6449932471541578
25,num_examples,733.8385105151457
25,participating_clients,69.0
25,total_examples,41464.0
25,val_accuracy,0.940556641454428
25,val_balanced_accuracy,0.9395489074435228
25,val_f1,0.7934599132933763
25,val_far,0.062438947134957595
25,val_miss_rate,0.052134696884999394
25,val_pr_auc,0.9281597888464095
25,val_precision,0.7716570171629754
25,val_recall,0.8275440605913659
25,val_roc_auc,0.9762481838835015
25,val_specificity,0.9375610528650425
