client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,2,404,1775
KFall::SA07,KFall,SA07,2,434,1907
KFall::SA08,KFall,SA08,2,479,1833
KFall::SA09,KFall,SA09,2,471,1730
KFall::SA10,KFall,SA10,2,465,1878
KFall::SA12,KFall,SA12,2,396,1538
KFall::SA13,KFall,SA13,2,443,1967
KFall::SA14,KFall,SA14,2,526,1785
KFall::SA15,KFall,SA15,2,519,1762
KFall::SA18,KFall,SA18,2,505,1986
KFall::SA19,KFall,SA19,2,488,1990
KFall::SA20,KFall,SA20,2,398,1767
KFall::SA22,KFall,SA22,2,429,1819
KFall::SA23,KFall,SA23,2,462,1698
KFall::SA24,KFall,SA24,2,477,1748
KFall::SA25,KFall,SA25,2,438,1941
KFall::SA26,KFall,SA26,2,489,1962
KFall::SA27,KFall,SA27,2,482,1892
KFall::SA28,KFall,SA28,2,426,1889
KFall::SA29,KFall,SA29,2,479,1901
KFall::SA30,KFall,SA30,2,406,1772
KFall::SA33,KFall,SA33,2,451,1684
KFall::SA35,KFall,SA35,2,411,1872
KFall::SA36,KFall,SA36,2,417,1674
KFall::SA37,KFall,SA37,2,327,1607
KFall::SA38,KFall,SA38,2,396,1915
SisFall::SA01,SisFall,SA01,1,913,4173
SisFall::SA02,SisFall,SA02,1,1241,3845
SisFall::SA03,SisFall,SA03,1,1415,3671
SisFall::SA04,SisFall,SA04,1,1201,3885
SisFall::SA05,SisFall,SA05,1,1037,4049
SisFall::SA06,SisFall,SA06,1,1091,3995
SisFall::SA07,SisFall,SA07,1,885,4201
SisFall::SA08,SisFall,SA08,1,1091,3995
SisFall::SA09,SisFall,SA09,1,1043,4043
SisFall::SA10,SisFall,SA10,1,939,4147
SisFall::SA11,SisFall,SA11,1,1423,3663
SisFall::SA13,SisFall,SA13,1,869,4217
SisFall::SA14,SisFall,SA14,1,898,4187
SisFall::SA17,SisFall,SA17,1,1043,3993
SisFall::SA18,SisFall,SA18,1,1075,4011
SisFall::SA19,SisFall,SA19,1,939,4147
SisFall::SA20,SisFall,SA20,1,1342,3588
SisFall::SA21,SisFall,SA21,1,1083,4003
SisFall::SA22,SisFall,SA22,1,1079,4006
SisFall::SA23,SisFall,SA23,1,1057,4029
SisFall::SE01,SisFall,SE01,0,674,2219
SisFall::SE02,SisFall,SE02,0,414,1392
SisFall::SE04,SisFall,SE04,0,492,1755
SisFall::SE07,SisFall,SE07,0,504,1817
SisFall::SE09,SisFall,SE09,0,478,1843
SisFall::SE11,SisFall,SE11,0,328,1993
SisFall::SE12,SisFall,SE12,0,478,1843
SisFall::SE13,SisFall,SE13,0,354,1967
SisFall::SE14,SisFall,SE14,0,654,1667
SisFall::SE15,SisFall,SE15,0,279,1598
UpFall::S01,UpFall,S01,1,369,1570
UpFall::S03,UpFall,S03,1,371,1570
UpFall::S04,UpFall,S04,1,312,1628
UpFall::S05,UpFall,S05,0,430,1507
UpFall::S06,UpFall,S06,0,433,1509
UpFall::S08,UpFall,S08,0,251,1450
UpFall::S09,UpFall,S09,0,572,1368
UpFall::S10,UpFall,S10,1,432,1510
UpFall::S11,UpFall,S11,0,473,1469
UpFall::S12,UpFall,S12,0,473,1467
UpFall::S13,UpFall,S13,1,431,1508
UpFall::S16,UpFall,S16,1,432,1506
UpFall::S17,UpFall,S17,1,133,1811
