client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,396,1783
KFall::SA07,KFall,SA07,0,415,1926
KFall::SA08,KFall,SA08,0,530,1782
KFall::SA09,KFall,SA09,0,462,1739
KFall::SA10,KFall,SA10,0,399,1944
KFall::SA12,KFall,SA12,0,355,1579
KFall::SA13,KFall,SA13,0,441,1969
KFall::SA14,KFall,SA14,0,465,1846
KFall::SA15,KFall,SA15,0,499,1782
KFall::SA18,KFall,SA18,0,514,1977
KFall::SA19,KFall,SA19,0,487,1991
KFall::SA20,KFall,SA20,0,540,1625
KFall::SA22,KFall,SA22,0,412,1836
KFall::SA23,KFall,SA23,0,553,1607
KFall::SA24,KFall,SA24,0,494,1731
KFall::SA25,KFall,SA25,0,597,1782
KFall::SA26,KFall,SA26,0,471,1980
KFall::SA27,KFall,SA27,0,437,1937
KFall::SA28,KFall,SA28,0,520,1795
KFall::SA29,KFall,SA29,0,494,1886
KFall::SA30,KFall,SA30,0,457,1721
KFall::SA33,KFall,SA33,0,524,1611
KFall::SA35,KFall,SA35,0,470,1813
KFall::SA36,KFall,SA36,0,416,1675
KFall::SA37,KFall,SA37,0,412,1522
KFall::SA38,KFall,SA38,0,401,1910
SisFall::SA01,SisFall,SA01,1,817,4269
SisFall::SA02,SisFall,SA02,1,1083,4003
SisFall::SA03,SisFall,SA03,1,853,4233
SisFall::SA04,SisFall,SA04,1,893,4193
SisFall::SA05,SisFall,SA05,1,829,4257
SisFall::SA06,SisFall,SA06,1,871,4215
SisFall::SA07,SisFall,SA07,1,1073,4013
SisFall::SA08,SisFall,SA08,1,1377,3709
SisFall::SA09,SisFall,SA09,1,885,4201
SisFall::SA10,SisFall,SA10,1,895,4191
SisFall::SA11,SisFall,SA11,1,1103,3983
SisFall::SA13,SisFall,SA13,1,1059,4027
SisFall::SA14,SisFall,SA14,1,1247,3838
SisFall::SA17,SisFall,SA17,1,1024,4012
SisFall::SA18,SisFall,SA18,1,843,4243
SisFall::SA19,SisFall,SA19,1,875,4211
SisFall::SA20,SisFall,SA20,1,1040,3890
SisFall::SA21,SisFall,SA21,1,1089,3997
SisFall::SA22,SisFall,SA22,1,1273,3812
SisFall::SA23,SisFall,SA23,1,985,4101
SisFall::SE01,SisFall,SE01,2,312,2581
SisFall::SE02,SisFall,SE02,2,610,1196
SisFall::SE04,SisFall,SE04,2,284,1963
SisFall::SE07,SisFall,SE07,2,328,1993
SisFall::SE09,SisFall,SE09,2,530,1791
SisFall::SE11,SisFall,SE11,2,530,1791
SisFall::SE12,SisFall,SE12,2,504,1817
SisFall::SE13,SisFall,SE13,2,556,1765
SisFall::SE14,SisFall,SE14,2,478,1843
SisFall::SE15,SisFall,SE15,2,331,1546
UpFall::S01,UpFall,S01,1,371,1568
UpFall::S03,UpFall,S03,1,272,1669
UpFall::S04,UpFall,S04,1,530,1410
UpFall::S05,UpFall,S05,2,531,1406
UpFall::S06,UpFall,S06,2,271,1671
UpFall::S08,UpFall,S08,2,352,1349
UpFall::S09,UpFall,S09,2,331,1609
UpFall::S10,UpFall,S10,1,432,1510
UpFall::S11,UpFall,S11,2,531,1411
UpFall::S12,UpFall,S12,2,132,1808
UpFall::S13,UpFall,S13,1,531,1408
UpFall::S16,UpFall,S16,1,471,1467
UpFall::S17,UpFall,S17,1,473,1471
