client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,453,1726
KFall::SA07,KFall,SA07,1,424,1917
KFall::SA08,KFall,SA08,1,467,1845
KFall::SA09,KFall,SA09,1,464,1737
KFall::SA10,KFall,SA10,1,411,1932
KFall::SA12,KFall,SA12,1,353,1581
KFall::SA13,KFall,SA13,1,432,1978
KFall::SA14,KFall,SA14,1,500,1811
KFall::SA15,KFall,SA15,1,410,1871
KFall::SA18,KFall,SA18,1,449,2042
KFall::SA19,KFall,SA19,1,523,1955
KFall::SA20,KFall,SA20,1,373,1792
KFall::SA22,KFall,SA22,1,395,1853
KFall::SA23,KFall,SA23,1,434,1726
KFall::SA24,KFall,SA24,1,440,1785
KFall::SA25,KFall,SA25,1,550,1829
KFall::SA26,KFall,SA26,1,491,1960
KFall::SA27,KFall,SA27,1,492,1882
KFall::SA28,KFall,SA28,1,526,1789
KFall::SA29,KFall,SA29,1,520,1860
KFall::SA30,KFall,SA30,1,396,1782
KFall::SA33,KFall,SA33,1,455,1680
KFall::SA35,KFall,SA35,1,495,1788
KFall::SA36,KFall,SA36,1,438,1653
KFall::SA37,KFall,SA37,1,365,1569
KFall::SA38,KFall,SA38,1,460,1851
SisFall::SA01,SisFall,SA01,0,909,4177
SisFall::SA02,SisFall,SA02,0,1461,3625
SisFall::SA03,SisFall,SA03,0,855,4231
SisFall::SA04,SisFall,SA04,0,1077,4009
SisFall::SA05,SisFall,SA05,0,1121,3965
SisFall::SA06,SisFall,SA06,0,1037,4049
SisFall::SA07,SisFall,SA07,0,1063,4023
SisFall::SA08,SisFall,SA08,0,1207,3879
SisFall::SA09,SisFall,SA09,0,1081,4005
SisFall::SA10,SisFall,SA10,0,1037,4049
SisFall::SA11,SisFall,SA11,0,1231,3855
SisFall::SA13,SisFall,SA13,0,1063,4023
SisFall::SA14,SisFall,SA14,0,1095,3990
SisFall::SA17,SisFall,SA17,0,1129,3907
SisFall::SA18,SisFall,SA18,0,873,4213
SisFall::SA19,SisFall,SA19,0,907,4179
SisFall::SA20,SisFall,SA20,0,1028,3902
SisFall::SA21,SisFall,SA21,0,1025,4061
SisFall::SA22,SisFall,SA22,0,985,4100
SisFall::SA23,SisFall,SA23,0,1077,4009
SisFall::SE01,SisFall,SE01,2,294,2599
SisFall::SE02,SisFall,SE02,2,440,1366
SisFall::SE04,SisFall,SE04,2,486,1761
SisFall::SE07,SisFall,SE07,2,556,1765
SisFall::SE09,SisFall,SE09,2,452,1869
SisFall::SE11,SisFall,SE11,2,478,1843
SisFall::SE12,SisFall,SE12,2,530,1791
SisFall::SE13,SisFall,SE13,2,328,1993
SisFall::SE14,SisFall,SE14,2,478,1843
SisFall::SE15,SisFall,SE15,2,455,1422
UpFall::S01,UpFall,S01,0,369,1570
UpFall::S03,UpFall,S03,0,432,1509
UpFall::S04,UpFall,S04,0,272,1668
UpFall::S05,UpFall,S05,2,370,1567
UpFall::S06,UpFall,S06,2,373,1569
UpFall::S08,UpFall,S08,2,293,1408
UpFall::S09,UpFall,S09,2,411,1529
UpFall::S10,UpFall,S10,0,272,1670
UpFall::S11,UpFall,S11,2,413,1529
UpFall::S12,UpFall,S12,2,173,1767
UpFall::S13,UpFall,S13,0,411,1528
UpFall::S16,UpFall,S16,0,571,1367
UpFall::S17,UpFall,S17,0,232,1712
