client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,464,1715
KFall::SA07,KFall,SA07,1,411,1930
KFall::SA08,KFall,SA08,1,592,1720
KFall::SA09,KFall,SA09,1,432,1769
KFall::SA10,KFall,SA10,1,449,1894
KFall::SA12,KFall,SA12,1,335,1599
KFall::SA13,KFall,SA13,1,438,1972
KFall::SA14,KFall,SA14,1,509,1802
KFall::SA15,KFall,SA15,1,439,1842
KFall::SA18,KFall,SA18,1,459,2032
KFall::SA19,KFall,SA19,1,476,2002
KFall::SA20,KFall,SA20,1,382,1783
KFall::SA22,KFall,SA22,1,547,1701
KFall::SA23,KFall,SA23,1,455,1705
KFall::SA24,KFall,SA24,1,450,1775
KFall::SA25,KFall,SA25,1,514,1865
KFall::SA26,KFall,SA26,1,615,1836
KFall::SA27,KFall,SA27,1,501,1873
KFall::SA28,KFall,SA28,1,431,1884
KFall::SA29,KFall,SA29,1,502,1878
KFall::SA30,KFall,SA30,1,519,1659
KFall::SA33,KFall,SA33,1,408,1727
KFall::SA35,KFall,SA35,1,410,1873
KFall::SA36,KFall,SA36,1,455,1636
KFall::SA37,KFall,SA37,1,372,1562
KFall::SA38,KFall,SA38,1,446,1865
SisFall::SA01,SisFall,SA01,0,1207,3879
SisFall::SA02,SisFall,SA02,0,947,4139
SisFall::SA03,SisFall,SA03,0,1045,4041
SisFall::SA04,SisFall,SA04,0,895,4191
SisFall::SA05,SisFall,SA05,0,1135,3951
SisFall::SA06,SisFall,SA06,0,1205,3881
SisFall::SA07,SisFall,SA07,0,849,4237
SisFall::SA08,SisFall,SA08,0,855,4231
SisFall::SA09,SisFall,SA09,0,891,4195
SisFall::SA10,SisFall,SA10,0,1025,4061
SisFall::SA11,SisFall,SA11,0,907,4179
SisFall::SA13,SisFall,SA13,0,1101,3985
SisFall::SA14,SisFall,SA14,0,1011,4074
SisFall::SA17,SisFall,SA17,0,1025,4011
SisFall::SA18,SisFall,SA18,0,875,4211
SisFall::SA19,SisFall,SA19,0,835,4251
SisFall::SA20,SisFall,SA20,0,852,4078
SisFall::SA21,SisFall,SA21,0,893,4193
SisFall::SA22,SisFall,SA22,0,1051,4034
SisFall::SA23,SisFall,SA23,0,1077,4009
SisFall::SE01,SisFall,SE01,2,260,2633
SisFall::SE02,SisFall,SE02,2,256,1550
SisFall::SE04,SisFall,SE04,2,486,1761
SisFall::SE07,SisFall,SE07,2,478,1843
SisFall::SE09,SisFall,SE09,2,302,2019
SisFall::SE11,SisFall,SE11,2,504,1817
SisFall::SE12,SisFall,SE12,2,504,1817
SisFall::SE13,SisFall,SE13,2,380,1941
SisFall::SE14,SisFall,SE14,2,302,2019
SisFall::SE15,SisFall,SE15,2,631,1246
UpFall::S01,UpFall,S01,0,371,1568
UpFall::S03,UpFall,S03,0,532,1409
UpFall::S04,UpFall,S04,0,533,1407
UpFall::S05,UpFall,S05,2,369,1568
UpFall::S06,UpFall,S06,2,413,1529
UpFall::S08,UpFall,S08,2,353,1348
UpFall::S09,UpFall,S09,2,472,1468
UpFall::S10,UpFall,S10,0,532,1410
UpFall::S11,UpFall,S11,2,533,1409
UpFall::S12,UpFall,S12,2,471,1469
UpFall::S13,UpFall,S13,0,431,1508
UpFall::S16,UpFall,S16,0,369,1569
UpFall::S17,UpFall,S17,0,372,1572
