client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,2,498,1681
KFall::SA07,KFall,SA07,2,467,1874
KFall::SA08,KFall,SA08,2,425,1887
KFall::SA09,KFall,SA09,2,488,1713
KFall::SA10,KFall,SA10,2,482,1861
KFall::SA12,KFall,SA12,2,349,1585
KFall::SA13,KFall,SA13,2,436,1974
KFall::SA14,KFall,SA14,2,459,1852
KFall::SA15,KFall,SA15,2,424,1857
KFall::SA18,KFall,SA18,2,431,2060
KFall::SA19,KFall,SA19,2,568,1910
KFall::SA20,KFall,SA20,2,366,1799
KFall::SA22,KFall,SA22,2,411,1837
KFall::SA23,KFall,SA23,2,493,1667
KFall::SA24,KFall,SA24,2,453,1772
KFall::SA25,KFall,SA25,2,511,1868
KFall::SA26,KFall,SA26,2,468,1983
KFall::SA27,KFall,SA27,2,444,1930
KFall::SA28,KFall,SA28,2,427,1888
KFall::SA29,KFall,SA29,2,484,1896
KFall::SA30,KFall,SA30,2,420,1758
KFall::SA33,KFall,SA33,2,377,1758
KFall::SA35,KFall,SA35,2,481,1802
KFall::SA36,KFall,SA36,2,396,1695
KFall::SA37,KFall,SA37,2,455,1479
KFall::SA38,KFall,SA38,2,495,1816
SisFall::SA01,SisFall,SA01,1,1069,4017
SisFall::SA02,SisFall,SA02,1,935,4151
SisFall::SA03,SisFall,SA03,1,893,4193
SisFall::SA04,SisFall,SA04,1,1109,3977
SisFall::SA05,SisFall,SA05,1,1225,3861
SisFall::SA06,SisFall,SA06,1,907,4179
SisFall::SA07,SisFall,SA07,1,1181,3905
SisFall::SA08,SisFall,SA08,1,1133,3953
SisFall::SA09,SisFall,SA09,1,1259,3827
SisFall::SA10,SisFall,SA10,1,933,4153
SisFall::SA11,SisFall,SA11,1,1011,4075
SisFall::SA13,SisFall,SA13,1,829,4257
SisFall::SA14,SisFall,SA14,1,1102,3983
SisFall::SA17,SisFall,SA17,1,905,4131
SisFall::SA18,SisFall,SA18,1,1011,4075
SisFall::SA19,SisFall,SA19,1,1135,3951
SisFall::SA20,SisFall,SA20,1,1048,3882
SisFall::SA21,SisFall,SA21,1,873,4213
SisFall::SA22,SisFall,SA22,1,1175,3910
SisFall::SA23,SisFall,SA23,1,1077,4009
SisFall::SE01,SisFall,SE01,0,316,2577
SisFall::SE02,SisFall,SE02,0,272,1534
SisFall::SE04,SisFall,SE04,0,452,1795
SisFall::SE07,SisFall,SE07,0,354,1967
SisFall::SE09,SisFall,SE09,0,354,1967
SisFall::SE11,SisFall,SE11,0,328,1993
SisFall::SE12,SisFall,SE12,0,452,1869
SisFall::SE13,SisFall,SE13,0,276,2045
SisFall::SE14,SisFall,SE14,0,328,1993
SisFall::SE15,SisFall,SE15,0,429,1448
UpFall::S01,UpFall,S01,1,471,1468
UpFall::S03,UpFall,S03,1,471,1470
UpFall::S04,UpFall,S04,1,570,1370
UpFall::S05,UpFall,S05,0,429,1508
UpFall::S06,UpFall,S06,0,233,1709
UpFall::S08,UpFall,S08,0,353,1348
UpFall::S09,UpFall,S09,0,530,1410
UpFall::S10,UpFall,S10,1,632,1310
UpFall::S11,UpFall,S11,0,373,1569
UpFall::S12,UpFall,S12,0,329,1611
UpFall::S13,UpFall,S13,1,471,1468
UpFall::S16,UpFall,S16,1,511,1427
UpFall::S17,UpFall,S17,1,332,1612
