client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,421,1758
KFall::SA07,KFall,SA07,1,498,1843
KFall::SA08,KFall,SA08,1,438,1874
KFall::SA09,KFall,SA09,1,430,1771
KFall::SA10,KFall,SA10,1,422,1921
KFall::SA12,KFall,SA12,1,332,1602
KFall::SA13,KFall,SA13,1,466,1944
KFall::SA14,KFall,SA14,1,430,1881
KFall::SA15,KFall,SA15,1,470,1811
KFall::SA18,KFall,SA18,1,492,1999
KFall::SA19,KFall,SA19,1,491,1987
KFall::SA20,KFall,SA20,1,421,1744
KFall::SA22,KFall,SA22,1,409,1839
KFall::SA23,KFall,SA23,1,484,1676
KFall::SA24,KFall,SA24,1,522,1703
KFall::SA25,KFall,SA25,1,515,1864
KFall::SA26,KFall,SA26,1,459,1992
KFall::SA27,KFall,SA27,1,419,1955
KFall::SA28,KFall,SA28,1,419,1896
KFall::SA29,KFall,SA29,1,487,1893
KFall::SA30,KFall,SA30,1,401,1777
KFall::SA33,KFall,SA33,1,385,1750
KFall::SA35,KFall,SA35,1,418,1865
KFall::SA36,KFall,SA36,1,452,1639
KFall::SA37,KFall,SA37,1,381,1553
KFall::SA38,KFall,SA38,1,441,1870
SisFall::SA01,SisFall,SA01,0,867,4219
SisFall::SA02,SisFall,SA02,0,1285,3801
SisFall::SA03,SisFall,SA03,0,849,4237
SisFall::SA04,SisFall,SA04,0,1207,3879
SisFall::SA05,SisFall,SA05,0,1397,3689
SisFall::SA06,SisFall,SA06,0,887,4199
SisFall::SA07,SisFall,SA07,0,887,4199
SisFall::SA08,SisFall,SA08,0,1023,4063
SisFall::SA09,SisFall,SA09,0,1037,4049
SisFall::SA10,SisFall,SA10,0,881,4205
SisFall::SA11,SisFall,SA11,0,1215,3871
SisFall::SA13,SisFall,SA13,0,1119,3967
SisFall::SA14,SisFall,SA14,0,880,4205
SisFall::SA17,SisFall,SA17,0,899,4137
SisFall::SA18,SisFall,SA18,0,899,4187
SisFall::SA19,SisFall,SA19,0,879,4207
SisFall::SA20,SisFall,SA20,0,1036,3894
SisFall::SA21,SisFall,SA21,0,1057,4029
SisFall::SA22,SisFall,SA22,0,907,4178
SisFall::SA23,SisFall,SA23,0,959,4127
SisFall::SE01,SisFall,SE01,2,626,2267
SisFall::SE02,SisFall,SE02,2,264,1542
SisFall::SE04,SisFall,SE04,2,662,1585
SisFall::SE07,SisFall,SE07,2,328,1993
SisFall::SE09,SisFall,SE09,2,452,1869
SisFall::SE11,SisFall,SE11,2,478,1843
SisFall::SE12,SisFall,SE12,2,830,1491
SisFall::SE13,SisFall,SE13,2,732,1589
SisFall::SE14,SisFall,SE14,2,530,1791
SisFall::SE15,SisFall,SE15,2,305,1572
UpFall::S01,UpFall,S01,0,472,1467
UpFall::S03,UpFall,S03,0,332,1609
UpFall::S04,UpFall,S04,0,470,1470
UpFall::S05,UpFall,S05,2,272,1665
UpFall::S06,UpFall,S06,2,231,1711
UpFall::S08,UpFall,S08,2,350,1351
UpFall::S09,UpFall,S09,2,511,1429
UpFall::S10,UpFall,S10,0,332,1610
UpFall::S11,UpFall,S11,2,332,1610
UpFall::S12,UpFall,S12,2,531,1409
UpFall::S13,UpFall,S13,0,270,1669
UpFall::S16,UpFall,S16,0,470,1468
UpFall::S17,UpFall,S17,0,473,1471
