client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,418,1761
KFall::SA07,KFall,SA07,1,555,1786
KFall::SA08,KFall,SA08,1,408,1904
KFall::SA09,KFall,SA09,1,432,1769
KFall::SA10,KFall,SA10,1,466,1877
KFall::SA12,KFall,SA12,1,426,1508
KFall::SA13,KFall,SA13,1,438,1972
KFall::SA14,KFall,SA14,1,441,1870
KFall::SA15,KFall,SA15,1,430,1851
KFall::SA18,KFall,SA18,1,467,2024
KFall::SA19,KFall,SA19,1,491,1987
KFall::SA20,KFall,SA20,1,448,1717
KFall::SA22,KFall,SA22,1,407,1841
KFall::SA23,KFall,SA23,1,378,1782
KFall::SA24,KFall,SA24,1,440,1785
KFall::SA25,KFall,SA25,1,495,1884
KFall::SA26,KFall,SA26,1,427,2024
KFall::SA27,KFall,SA27,1,433,1941
KFall::SA28,KFall,SA28,1,526,1789
KFall::SA29,KFall,SA29,1,451,1929
KFall::SA30,KFall,SA30,1,404,1774
KFall::SA33,KFall,SA33,1,445,1690
KFall::SA35,KFall,SA35,1,425,1858
KFall::SA36,KFall,SA36,1,364,1727
KFall::SA37,KFall,SA37,1,406,1528
KFall::SA38,KFall,SA38,1,413,1898
SisFall::SA01,SisFall,SA01,0,905,4181
SisFall::SA02,SisFall,SA02,0,939,4147
SisFall::SA03,SisFall,SA03,0,1285,3801
SisFall::SA04,SisFall,SA04,0,1075,4011
SisFall::SA05,SisFall,SA05,0,841,4245
SisFall::SA06,SisFall,SA06,0,1011,4075
SisFall::SA07,SisFall,SA07,0,1235,3851
SisFall::SA08,SisFall,SA08,0,967,4119
SisFall::SA09,SisFall,SA09,0,887,4199
SisFall::SA10,SisFall,SA10,0,1111,3975
SisFall::SA11,SisFall,SA11,0,1051,4035
SisFall::SA13,SisFall,SA13,0,869,4217
SisFall::SA14,SisFall,SA14,0,909,4176
SisFall::SA17,SisFall,SA17,0,1063,3973
SisFall::SA18,SisFall,SA18,0,847,4239
SisFall::SA19,SisFall,SA19,0,937,4149
SisFall::SA20,SisFall,SA20,0,832,4098
SisFall::SA21,SisFall,SA21,0,1121,3965
SisFall::SA22,SisFall,SA22,0,1051,4034
SisFall::SA23,SisFall,SA23,0,901,4185
SisFall::SE01,SisFall,SE01,2,630,2263
SisFall::SE02,SisFall,SE02,2,452,1354
SisFall::SE04,SisFall,SE04,2,654,1593
SisFall::SE07,SisFall,SE07,2,504,1817
SisFall::SE09,SisFall,SE09,2,582,1739
SisFall::SE11,SisFall,SE11,2,276,2045
SisFall::SE12,SisFall,SE12,2,380,1941
SisFall::SE13,SisFall,SE13,2,556,1765
SisFall::SE14,SisFall,SE14,2,354,1967
SisFall::SE15,SisFall,SE15,2,279,1598
UpFall::S01,UpFall,S01,0,231,1708
UpFall::S03,UpFall,S03,0,233,1708
UpFall::S04,UpFall,S04,0,731,1209
UpFall::S05,UpFall,S05,2,432,1505
UpFall::S06,UpFall,S06,2,373,1569
UpFall::S08,UpFall,S08,2,492,1209
UpFall::S09,UpFall,S09,2,373,1567
UpFall::S10,UpFall,S10,0,331,1611
UpFall::S11,UpFall,S11,2,333,1609
UpFall::S12,UpFall,S12,2,571,1369
UpFall::S13,UpFall,S13,0,332,1607
UpFall::S16,UpFall,S16,0,532,1406
UpFall::S17,UpFall,S17,0,433,1511
