client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,486,1693
KFall::SA07,KFall,SA07,0,466,1875
KFall::SA08,KFall,SA08,0,485,1827
KFall::SA09,KFall,SA09,0,451,1750
KFall::SA10,KFall,SA10,0,457,1886
KFall::SA12,KFall,SA12,0,463,1471
KFall::SA13,KFall,SA13,0,458,1952
KFall::SA14,KFall,SA14,0,420,1891
KFall::SA15,KFall,SA15,0,512,1769
KFall::SA18,KFall,SA18,0,542,1949
KFall::SA19,KFall,SA19,0,469,2009
KFall::SA20,KFall,SA20,0,447,1718
KFall::SA22,KFall,SA22,0,463,1785
KFall::SA23,KFall,SA23,0,429,1731
KFall::SA24,KFall,SA24,0,450,1775
KFall::SA25,KFall,SA25,0,479,1900
KFall::SA26,KFall,SA26,0,465,1986
KFall::SA27,KFall,SA27,0,490,1884
KFall::SA28,KFall,SA28,0,480,1835
KFall::SA29,KFall,SA29,0,467,1913
KFall::SA30,KFall,SA30,0,399,1779
KFall::SA33,KFall,SA33,0,371,1764
KFall::SA35,KFall,SA35,0,513,1770
KFall::SA36,KFall,SA36,0,420,1671
KFall::SA37,KFall,SA37,0,408,1526
KFall::SA38,KFall,SA38,0,433,1878
SisFall::SA01,SisFall,SA01,1,979,4107
SisFall::SA02,SisFall,SA02,1,1241,3845
SisFall::SA03,SisFall,SA03,1,1031,4055
SisFall::SA04,SisFall,SA04,1,1063,4023
SisFall::SA05,SisFall,SA05,1,879,4207
SisFall::SA06,SisFall,SA06,1,1267,3819
SisFall::SA07,SisFall,SA07,1,875,4211
SisFall::SA08,SisFall,SA08,1,863,4223
SisFall::SA09,SisFall,SA09,1,1077,4009
SisFall::SA10,SisFall,SA10,1,869,4217
SisFall::SA11,SisFall,SA11,1,875,4211
SisFall::SA13,SisFall,SA13,1,905,4181
SisFall::SA14,SisFall,SA14,1,881,4204
SisFall::SA17,SisFall,SA17,1,835,4201
SisFall::SA18,SisFall,SA18,1,1125,3961
SisFall::SA19,SisFall,SA19,1,875,4211
SisFall::SA20,SisFall,SA20,1,1014,3916
SisFall::SA21,SisFall,SA21,1,1095,3991
SisFall::SA22,SisFall,SA22,1,918,4167
SisFall::SA23,SisFall,SA23,1,1207,3879
SisFall::SE01,SisFall,SE01,2,664,2229
SisFall::SE02,SisFall,SE02,2,298,1508
SisFall::SE04,SisFall,SE04,2,470,1777
SisFall::SE07,SisFall,SE07,2,354,1967
SisFall::SE09,SisFall,SE09,2,504,1817
SisFall::SE11,SisFall,SE11,2,478,1843
SisFall::SE12,SisFall,SE12,2,302,2019
SisFall::SE13,SisFall,SE13,2,328,1993
SisFall::SE14,SisFall,SE14,2,530,1791
SisFall::SE15,SisFall,SE15,2,279,1598
UpFall::S01,UpFall,S01,1,333,1606
UpFall::S03,UpFall,S03,1,332,1609
UpFall::S04,UpFall,S04,1,412,1528
UpFall::S05,UpFall,S05,2,312,1625
UpFall::S06,UpFall,S06,2,533,1409
UpFall::S08,UpFall,S08,2,152,1549
UpFall::S09,UpFall,S09,2,631,1309
UpFall::S10,UpFall,S10,1,472,1470
UpFall::S11,UpFall,S11,2,432,1510
UpFall::S12,UpFall,S12,2,471,1469
UpFall::S13,UpFall,S13,1,431,1508
UpFall::S16,UpFall,S16,1,332,1606
UpFall::S17,UpFall,S17,1,473,1471
