client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,438,1741
KFall::SA07,KFall,SA07,1,439,1902
KFall::SA08,KFall,SA08,1,516,1796
KFall::SA09,KFall,SA09,1,431,1770
KFall::SA10,KFall,SA10,1,474,1869
KFall::SA12,KFall,SA12,1,388,1546
KFall::SA13,KFall,SA13,1,436,1974
KFall::SA14,KFall,SA14,1,457,1854
KFall::SA15,KFall,SA15,1,471,1810
KFall::SA18,KFall,SA18,1,493,1998
KFall::SA19,KFall,SA19,1,471,2007
KFall::SA20,KFall,SA20,1,389,1776
KFall::SA22,KFall,SA22,1,398,1850
KFall::SA23,KFall,SA23,1,509,1651
KFall::SA24,KFall,SA24,1,471,1754
KFall::SA25,KFall,SA25,1,440,1939
KFall::SA26,KFall,SA26,1,491,1960
KFall::SA27,KFall,SA27,1,516,1858
KFall::SA28,KFall,SA28,1,435,1880
KFall::SA29,KFall,SA29,1,579,1801
KFall::SA30,KFall,SA30,1,396,1782
KFall::SA33,KFall,SA33,1,444,1691
KFall::SA35,KFall,SA35,1,416,1867
KFall::SA36,KFall,SA36,1,463,1628
KFall::SA37,KFall,SA37,1,403,1531
KFall::SA38,KFall,SA38,1,389,1922
SisFall::SA01,SisFall,SA01,0,875,4211
SisFall::SA02,SisFall,SA02,0,905,4181
SisFall::SA03,SisFall,SA03,0,881,4205
SisFall::SA04,SisFall,SA04,0,835,4251
SisFall::SA05,SisFall,SA05,0,1125,3961
SisFall::SA06,SisFall,SA06,0,875,4211
SisFall::SA07,SisFall,SA07,0,1019,4067
SisFall::SA08,SisFall,SA08,0,1095,3991
SisFall::SA09,SisFall,SA09,0,919,4167
SisFall::SA10,SisFall,SA10,0,1207,3879
SisFall::SA11,SisFall,SA11,0,1253,3833
SisFall::SA13,SisFall,SA13,0,873,4213
SisFall::SA14,SisFall,SA14,0,903,4182
SisFall::SA17,SisFall,SA17,0,1123,3913
SisFall::SA18,SisFall,SA18,0,1423,3663
SisFall::SA19,SisFall,SA19,0,1089,3997
SisFall::SA20,SisFall,SA20,0,1188,3742
SisFall::SA21,SisFall,SA21,0,905,4181
SisFall::SA22,SisFall,SA22,0,1389,3696
SisFall::SA23,SisFall,SA23,0,1161,3925
SisFall::SE01,SisFall,SE01,2,350,2543
SisFall::SE02,SisFall,SE02,2,264,1542
SisFall::SE04,SisFall,SE04,2,486,1761
SisFall::SE07,SisFall,SE07,2,432,1889
SisFall::SE09,SisFall,SE09,2,478,1843
SisFall::SE11,SisFall,SE11,2,504,1817
SisFall::SE12,SisFall,SE12,2,504,1817
SisFall::SE13,SisFall,SE13,2,504,1817
SisFall::SE14,SisFall,SE14,2,908,1413
SisFall::SE15,SisFall,SE15,2,429,1448
UpFall::S01,UpFall,S01,0,430,1509
UpFall::S03,UpFall,S03,0,332,1609
UpFall::S04,UpFall,S04,0,472,1468
UpFall::S05,UpFall,S05,2,632,1305
UpFall::S06,UpFall,S06,2,273,1669
UpFall::S08,UpFall,S08,2,293,1408
UpFall::S09,UpFall,S09,2,432,1508
UpFall::S10,UpFall,S10,0,533,1409
UpFall::S11,UpFall,S11,2,332,1610
UpFall::S12,UpFall,S12,2,571,1369
UpFall::S13,UpFall,S13,0,431,1508
UpFall::S16,UpFall,S16,0,471,1467
UpFall::S17,UpFall,S17,0,333,1611
