client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,518,1661
KFall::SA07,KFall,SA07,1,460,1881
KFall::SA08,KFall,SA08,1,471,1841
KFall::SA09,KFall,SA09,1,423,1778
KFall::SA10,KFall,SA10,1,539,1804
KFall::SA12,KFall,SA12,1,338,1596
KFall::SA13,KFall,SA13,1,534,1876
KFall::SA14,KFall,SA14,1,440,1871
KFall::SA15,KFall,SA15,1,457,1824
KFall::SA18,KFall,SA18,1,405,2086
KFall::SA19,KFall,SA19,1,593,1885
KFall::SA20,KFall,SA20,1,473,1692
KFall::SA22,KFall,SA22,1,426,1822
KFall::SA23,KFall,SA23,1,401,1759
KFall::SA24,KFall,SA24,1,474,1751
KFall::SA25,KFall,SA25,1,512,1867
KFall::SA26,KFall,SA26,1,487,1964
KFall::SA27,KFall,SA27,1,507,1867
KFall::SA28,KFall,SA28,1,466,1849
KFall::SA29,KFall,SA29,1,430,1950
KFall::SA30,KFall,SA30,1,405,1773
KFall::SA33,KFall,SA33,1,454,1681
KFall::SA35,KFall,SA35,1,459,1824
KFall::SA36,KFall,SA36,1,419,1672
KFall::SA37,KFall,SA37,1,368,1566
KFall::SA38,KFall,SA38,1,510,1801
SisFall::SA01,SisFall,SA01,0,1101,3985
SisFall::SA02,SisFall,SA02,0,1009,4077
SisFall::SA03,SisFall,SA03,0,1289,3797
SisFall::SA04,SisFall,SA04,0,1273,3813
SisFall::SA05,SisFall,SA05,0,887,4199
SisFall::SA06,SisFall,SA06,0,1077,4009
SisFall::SA07,SisFall,SA07,0,887,4199
SisFall::SA08,SisFall,SA08,0,1071,4015
SisFall::SA09,SisFall,SA09,0,1193,3893
SisFall::SA10,SisFall,SA10,0,1071,4015
SisFall::SA11,SisFall,SA11,0,979,4107
SisFall::SA13,SisFall,SA13,0,1241,3845
SisFall::SA14,SisFall,SA14,0,1031,4054
SisFall::SA17,SisFall,SA17,0,1083,3953
SisFall::SA18,SisFall,SA18,0,879,4207
SisFall::SA19,SisFall,SA19,0,1267,3819
SisFall::SA20,SisFall,SA20,0,840,4090
SisFall::SA21,SisFall,SA21,0,863,4223
SisFall::SA22,SisFall,SA22,0,1077,4008
SisFall::SA23,SisFall,SA23,0,869,4217
SisFall::SE01,SisFall,SE01,2,966,1927
SisFall::SE02,SisFall,SE02,2,230,1576
SisFall::SE04,SisFall,SE04,2,680,1567
SisFall::SE07,SisFall,SE07,2,478,1843
SisFall::SE09,SisFall,SE09,2,478,1843
SisFall::SE11,SisFall,SE11,2,478,1843
SisFall::SE12,SisFall,SE12,2,504,1817
SisFall::SE13,SisFall,SE13,2,302,2019
SisFall::SE14,SisFall,SE14,2,380,1941
SisFall::SE15,SisFall,SE15,2,429,1448
UpFall::S01,UpFall,S01,0,432,1507
UpFall::S03,UpFall,S03,0,510,1431
UpFall::S04,UpFall,S04,0,431,1509
UpFall::S05,UpFall,S05,2,470,1467
UpFall::S06,UpFall,S06,2,632,1310
UpFall::S08,UpFall,S08,2,452,1249
UpFall::S09,UpFall,S09,2,372,1568
UpFall::S10,UpFall,S10,0,432,1510
UpFall::S11,UpFall,S11,2,672,1270
UpFall::S12,UpFall,S12,2,173,1767
UpFall::S13,UpFall,S13,0,332,1607
UpFall::S16,UpFall,S16,0,333,1605
UpFall::S17,UpFall,S17,0,413,1531
