client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,367,1812
KFall::SA07,KFall,SA07,0,495,1846
KFall::SA08,KFall,SA08,0,491,1821
KFall::SA09,KFall,SA09,0,406,1795
KFall::SA10,KFall,SA10,0,439,1904
KFall::SA12,KFall,SA12,0,343,1591
KFall::SA13,KFall,SA13,0,483,1927
KFall::SA14,KFall,SA14,0,501,1810
KFall::SA15,KFall,SA15,0,452,1829
KFall::SA18,KFall,SA18,0,449,2042
KFall::SA19,KFall,SA19,0,504,1974
KFall::SA20,KFall,SA20,0,375,1790
KFall::SA22,KFall,SA22,0,434,1814
KFall::SA23,KFall,SA23,0,458,1702
KFall::SA24,KFall,SA24,0,389,1836
KFall::SA25,KFall,SA25,0,440,1939
KFall::SA26,KFall,SA26,0,516,1935
KFall::SA27,KFall,SA27,0,451,1923
KFall::SA28,KFall,SA28,0,463,1852
KFall::SA29,KFall,SA29,0,428,1952
KFall::SA30,KFall,SA30,0,489,1689
KFall::SA33,KFall,SA33,0,461,1674
KFall::SA35,KFall,SA35,0,474,1809
KFall::SA36,KFall,SA36,0,364,1727
KFall::SA37,KFall,SA37,0,407,1527
KFall::SA38,KFall,SA38,0,456,1855
SisFall::SA01,SisFall,SA01,1,1031,4055
SisFall::SA02,SisFall,SA02,1,823,4263
SisFall::SA03,SisFall,SA03,1,927,4159
SisFall::SA04,SisFall,SA04,1,1095,3991
SisFall::SA05,SisFall,SA05,1,889,4197
SisFall::SA06,SisFall,SA06,1,841,4245
SisFall::SA07,SisFall,SA07,1,1069,4017
SisFall::SA08,SisFall,SA08,1,959,4127
SisFall::SA09,SisFall,SA09,1,905,4181
SisFall::SA10,SisFall,SA10,1,1045,4041
SisFall::SA11,SisFall,SA11,1,1083,4003
SisFall::SA13,SisFall,SA13,1,1245,3841
SisFall::SA14,SisFall,SA14,1,1297,3788
SisFall::SA17,SisFall,SA17,1,907,4129
SisFall::SA18,SisFall,SA18,1,1051,4035
SisFall::SA19,SisFall,SA19,1,1123,3963
SisFall::SA20,SisFall,SA20,1,996,3934
SisFall::SA21,SisFall,SA21,1,1085,4001
SisFall::SA22,SisFall,SA22,1,901,4184
SisFall::SA23,SisFall,SA23,1,897,4189
SisFall::SE01,SisFall,SE01,2,674,2219
SisFall::SE02,SisFall,SE02,2,452,1354
SisFall::SE04,SisFall,SE04,2,830,1417
SisFall::SE07,SisFall,SE07,2,354,1967
SisFall::SE09,SisFall,SE09,2,328,1993
SisFall::SE11,SisFall,SE11,2,530,1791
SisFall::SE12,SisFall,SE12,2,882,1439
SisFall::SE13,SisFall,SE13,2,354,1967
SisFall::SE14,SisFall,SE14,2,328,1993
SisFall::SE15,SisFall,SE15,2,305,1572
UpFall::S01,UpFall,S01,1,373,1566
UpFall::S03,UpFall,S03,1,332,1609
UpFall::S04,UpFall,S04,1,372,1568
UpFall::S05,UpFall,S05,2,233,1704
UpFall::S06,UpFall,S06,2,272,1670
UpFall::S08,UpFall,S08,2,212,1489
UpFall::S09,UpFall,S09,2,330,1610
UpFall::S10,UpFall,S10,1,473,1469
UpFall::S11,UpFall,S11,2,433,1509
UpFall::S12,UpFall,S12,2,572,1368
UpFall::S13,UpFall,S13,1,570,1369
UpFall::S16,UpFall,S16,1,430,1508
UpFall::S17,UpFall,S17,1,573,1371
