client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,439,1740
KFall::SA07,KFall,SA07,1,459,1882
KFall::SA08,KFall,SA08,1,495,1817
KFall::SA09,KFall,SA09,1,518,1683
KFall::SA10,KFall,SA10,1,542,1801
KFall::SA12,KFall,SA12,1,349,1585
KFall::SA13,KFall,SA13,1,488,1922
KFall::SA14,KFall,SA14,1,379,1932
KFall::SA15,KFall,SA15,1,437,1844
KFall::SA18,KFall,SA18,1,507,1984
KFall::SA19,KFall,SA19,1,554,1924
KFall::SA20,KFall,SA20,1,383,1782
KFall::SA22,KFall,SA22,1,407,1841
KFall::SA23,KFall,SA23,1,477,1683
KFall::SA24,KFall,SA24,1,512,1713
KFall::SA25,KFall,SA25,1,466,1913
KFall::SA26,KFall,SA26,1,517,1934
KFall::SA27,KFall,SA27,1,455,1919
KFall::SA28,KFall,SA28,1,438,1877
KFall::SA29,KFall,SA29,1,427,1953
KFall::SA30,KFall,SA30,1,438,1740
KFall::SA33,KFall,SA33,1,449,1686
KFall::SA35,KFall,SA35,1,413,1870
KFall::SA36,KFall,SA36,1,344,1747
KFall::SA37,KFall,SA37,1,353,1581
KFall::SA38,KFall,SA38,1,420,1891
SisFall::SA01,SisFall,SA01,0,1083,4003
SisFall::SA02,SisFall,SA02,0,1245,3841
SisFall::SA03,SisFall,SA03,0,1297,3789
SisFall::SA04,SisFall,SA04,0,901,4185
SisFall::SA05,SisFall,SA05,0,1051,4035
SisFall::SA06,SisFall,SA06,0,1123,3963
SisFall::SA07,SisFall,SA07,0,1019,4067
SisFall::SA08,SisFall,SA08,0,1085,4001
SisFall::SA09,SisFall,SA09,0,901,4185
SisFall::SA10,SisFall,SA10,0,897,4189
SisFall::SA11,SisFall,SA11,0,1209,3877
SisFall::SA13,SisFall,SA13,0,899,4187
SisFall::SA14,SisFall,SA14,0,1025,4060
SisFall::SA17,SisFall,SA17,0,1047,3989
SisFall::SA18,SisFall,SA18,0,951,4135
SisFall::SA19,SisFall,SA19,0,1259,3827
SisFall::SA20,SisFall,SA20,0,1180,3750
SisFall::SA21,SisFall,SA21,0,1201,3885
SisFall::SA22,SisFall,SA22,0,1183,3902
SisFall::SA23,SisFall,SA23,0,861,4225
SisFall::SE01,SisFall,SE01,2,350,2543
SisFall::SE02,SisFall,SE02,2,308,1498
SisFall::SE04,SisFall,SE04,2,478,1769
SisFall::SE07,SisFall,SE07,2,328,1993
SisFall::SE09,SisFall,SE09,2,478,1843
SisFall::SE11,SisFall,SE11,2,732,1589
SisFall::SE12,SisFall,SE12,2,452,1869
SisFall::SE13,SisFall,SE13,2,504,1817
SisFall::SE14,SisFall,SE14,2,654,1667
SisFall::SE15,SisFall,SE15,2,279,1598
UpFall::S01,UpFall,S01,0,570,1369
UpFall::S03,UpFall,S03,0,431,1510
UpFall::S04,UpFall,S04,0,570,1370
UpFall::S05,UpFall,S05,2,532,1405
UpFall::S06,UpFall,S06,2,333,1609
UpFall::S08,UpFall,S08,2,212,1489
UpFall::S09,UpFall,S09,2,572,1368
UpFall::S10,UpFall,S10,0,533,1409
UpFall::S11,UpFall,S11,2,431,1511
UpFall::S12,UpFall,S12,2,670,1270
UpFall::S13,UpFall,S13,0,430,1509
UpFall::S16,UpFall,S16,0,571,1367
UpFall::S17,UpFall,S17,0,373,1571
