client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,518,1661
KFall::SA07,KFall,SA07,0,456,1885
KFall::SA08,KFall,SA08,0,429,1883
KFall::SA09,KFall,SA09,0,548,1653
KFall::SA10,KFall,SA10,0,440,1903
KFall::SA12,KFall,SA12,0,368,1566
KFall::SA13,KFall,SA13,0,501,1909
KFall::SA14,KFall,SA14,0,472,1839
KFall::SA15,KFall,SA15,0,431,1850
KFall::SA18,KFall,SA18,0,464,2027
KFall::SA19,KFall,SA19,0,428,2050
KFall::SA20,KFall,SA20,0,448,1717
KFall::SA22,KFall,SA22,0,406,1842
KFall::SA23,KFall,SA23,0,375,1785
KFall::SA24,KFall,SA24,0,432,1793
KFall::SA25,KFall,SA25,0,452,1927
KFall::SA26,KFall,SA26,0,518,1933
KFall::SA27,KFall,SA27,0,466,1908
KFall::SA28,KFall,SA28,0,483,1832
KFall::SA29,KFall,SA29,0,472,1908
KFall::SA30,KFall,SA30,0,425,1753
KFall::SA33,KFall,SA33,0,461,1674
KFall::SA35,KFall,SA35,0,526,1757
KFall::SA36,KFall,SA36,0,413,1678
KFall::SA37,KFall,SA37,0,389,1545
KFall::SA38,KFall,SA38,0,444,1867
SisFall::SA01,SisFall,SA01,1,1209,3877
SisFall::SA02,SisFall,SA02,1,899,4187
SisFall::SA03,SisFall,SA03,1,1025,4061
SisFall::SA04,SisFall,SA04,1,1047,4039
SisFall::SA05,SisFall,SA05,1,951,4135
SisFall::SA06,SisFall,SA06,1,1259,3827
SisFall::SA07,SisFall,SA07,1,1201,3885
SisFall::SA08,SisFall,SA08,1,1201,3885
SisFall::SA09,SisFall,SA09,1,1183,3903
SisFall::SA10,SisFall,SA10,1,861,4225
SisFall::SA11,SisFall,SA11,1,1397,3689
SisFall::SA13,SisFall,SA13,1,899,4187
SisFall::SA14,SisFall,SA14,1,834,4251
SisFall::SA17,SisFall,SA17,1,849,4187
SisFall::SA18,SisFall,SA18,1,1101,3985
SisFall::SA19,SisFall,SA19,1,1079,4007
SisFall::SA20,SisFall,SA20,1,898,4032
SisFall::SA21,SisFall,SA21,1,835,4251
SisFall::SA22,SisFall,SA22,1,1069,4016
SisFall::SA23,SisFall,SA23,1,1057,4029
SisFall::SE01,SisFall,SE01,2,674,2219
SisFall::SE02,SisFall,SE02,2,466,1340
SisFall::SE04,SisFall,SE04,2,354,1893
SisFall::SE07,SisFall,SE07,2,478,1843
SisFall::SE09,SisFall,SE09,2,680,1641
SisFall::SE11,SisFall,SE11,2,328,1993
SisFall::SE12,SisFall,SE12,2,582,1739
SisFall::SE13,SisFall,SE13,2,452,1869
SisFall::SE14,SisFall,SE14,2,706,1615
SisFall::SE15,SisFall,SE15,2,631,1246
UpFall::S01,UpFall,S01,1,431,1508
UpFall::S03,UpFall,S03,1,570,1371
UpFall::S04,UpFall,S04,1,371,1569
UpFall::S05,UpFall,S05,2,471,1466
UpFall::S06,UpFall,S06,2,371,1571
UpFall::S08,UpFall,S08,2,213,1488
UpFall::S09,UpFall,S09,2,532,1408
UpFall::S10,UpFall,S10,1,412,1530
UpFall::S11,UpFall,S11,2,572,1370
UpFall::S12,UpFall,S12,2,312,1628
UpFall::S13,UpFall,S13,1,472,1467
UpFall::S16,UpFall,S16,1,330,1608
UpFall::S17,UpFall,S17,1,412,1532
