client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,376,1803
KFall::SA07,KFall,SA07,0,498,1843
KFall::SA08,KFall,SA08,0,477,1835
KFall::SA09,KFall,SA09,0,376,1825
KFall::SA10,KFall,SA10,0,469,1874
KFall::SA12,KFall,SA12,0,396,1538
KFall::SA13,KFall,SA13,0,572,1838
KFall::SA14,KFall,SA14,0,426,1885
KFall::SA15,KFall,SA15,0,456,1825
KFall::SA18,KFall,SA18,0,527,1964
KFall::SA19,KFall,SA19,0,516,1962
KFall::SA20,KFall,SA20,0,521,1644
KFall::SA22,KFall,SA22,0,486,1762
KFall::SA23,KFall,SA23,0,382,1778
KFall::SA24,KFall,SA24,0,415,1810
KFall::SA25,KFall,SA25,0,453,1926
KFall::SA26,KFall,SA26,0,496,1955
KFall::SA27,KFall,SA27,0,526,1848
KFall::SA28,KFall,SA28,0,410,1905
KFall::SA29,KFall,SA29,0,457,1923
KFall::SA30,KFall,SA30,0,442,1736
KFall::SA33,KFall,SA33,0,443,1692
KFall::SA35,KFall,SA35,0,407,1876
KFall::SA36,KFall,SA36,0,436,1655
KFall::SA37,KFall,SA37,0,452,1482
KFall::SA38,KFall,SA38,0,454,1857
SisFall::SA01,SisFall,SA01,1,1397,3689
SisFall::SA02,SisFall,SA02,1,899,4187
SisFall::SA03,SisFall,SA03,1,835,4251
SisFall::SA04,SisFall,SA04,1,849,4237
SisFall::SA05,SisFall,SA05,1,1101,3985
SisFall::SA06,SisFall,SA06,1,1079,4007
SisFall::SA07,SisFall,SA07,1,985,4101
SisFall::SA08,SisFall,SA08,1,835,4251
SisFall::SA09,SisFall,SA09,1,1069,4017
SisFall::SA10,SisFall,SA10,1,1057,4029
SisFall::SA11,SisFall,SA11,1,869,4217
SisFall::SA13,SisFall,SA13,1,1103,3983
SisFall::SA14,SisFall,SA14,1,931,4154
SisFall::SA17,SisFall,SA17,1,919,4117
SisFall::SA18,SisFall,SA18,1,1187,3899
SisFall::SA19,SisFall,SA19,1,1351,3735
SisFall::SA20,SisFall,SA20,1,1138,3792
SisFall::SA21,SisFall,SA21,1,1213,3873
SisFall::SA22,SisFall,SA22,1,1409,3676
SisFall::SA23,SisFall,SA23,1,1097,3989
SisFall::SE01,SisFall,SE01,2,286,2607
SisFall::SE02,SisFall,SE02,2,406,1400
SisFall::SE04,SisFall,SE04,2,654,1593
SisFall::SE07,SisFall,SE07,2,328,1993
SisFall::SE09,SisFall,SE09,2,654,1667
SisFall::SE11,SisFall,SE11,2,328,1993
SisFall::SE12,SisFall,SE12,2,504,1817
SisFall::SE13,SisFall,SE13,2,478,1843
SisFall::SE14,SisFall,SE14,2,328,1993
SisFall::SE15,SisFall,SE15,2,455,1422
UpFall::S01,UpFall,S01,1,471,1468
UpFall::S03,UpFall,S03,1,332,1609
UpFall::S04,UpFall,S04,1,412,1528
UpFall::S05,UpFall,S05,2,411,1526
UpFall::S06,UpFall,S06,2,332,1610
UpFall::S08,UpFall,S08,2,512,1189
UpFall::S09,UpFall,S09,2,412,1528
UpFall::S10,UpFall,S10,1,473,1469
UpFall::S11,UpFall,S11,2,572,1370
UpFall::S12,UpFall,S12,2,331,1609
UpFall::S13,UpFall,S13,1,471,1468
UpFall::S16,UpFall,S16,1,431,1507
UpFall::S17,UpFall,S17,1,333,1611
