client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,473,1706
KFall::SA07,KFall,SA07,0,438,1903
KFall::SA08,KFall,SA08,0,460,1852
KFall::SA09,KFall,SA09,0,383,1818
KFall::SA10,KFall,SA10,0,475,1868
KFall::SA12,KFall,SA12,0,400,1534
KFall::SA13,KFall,SA13,0,463,1947
KFall::SA14,KFall,SA14,0,437,1874
KFall::SA15,KFall,SA15,0,489,1792
KFall::SA18,KFall,SA18,0,511,1980
KFall::SA19,KFall,SA19,0,506,1972
KFall::SA20,KFall,SA20,0,369,1796
KFall::SA22,KFall,SA22,0,450,1798
KFall::SA23,KFall,SA23,0,430,1730
KFall::SA24,KFall,SA24,0,556,1669
KFall::SA25,KFall,SA25,0,476,1903
KFall::SA26,KFall,SA26,0,488,1963
KFall::SA27,KFall,SA27,0,428,1946
KFall::SA28,KFall,SA28,0,411,1904
KFall::SA29,KFall,SA29,0,485,1895
KFall::SA30,KFall,SA30,0,493,1685
KFall::SA33,KFall,SA33,0,365,1770
KFall::SA35,KFall,SA35,0,423,1860
KFall::SA36,KFall,SA36,0,378,1713
KFall::SA37,KFall,SA37,0,373,1561
KFall::SA38,KFall,SA38,0,451,1860
SisFall::SA01,SisFall,SA01,1,921,4165
SisFall::SA02,SisFall,SA02,1,1011,4075
SisFall::SA03,SisFall,SA03,1,1109,3977
SisFall::SA04,SisFall,SA04,1,853,4233
SisFall::SA05,SisFall,SA05,1,1409,3677
SisFall::SA06,SisFall,SA06,1,861,4225
SisFall::SA07,SisFall,SA07,1,1037,4049
SisFall::SA08,SisFall,SA08,1,1103,3983
SisFall::SA09,SisFall,SA09,1,1057,4029
SisFall::SA10,SisFall,SA10,1,1011,4075
SisFall::SA11,SisFall,SA11,1,867,4219
SisFall::SA13,SisFall,SA13,1,1057,4029
SisFall::SA14,SisFall,SA14,1,1377,3708
SisFall::SA17,SisFall,SA17,1,1042,3994
SisFall::SA18,SisFall,SA18,1,895,4191
SisFall::SA19,SisFall,SA19,1,1069,4017
SisFall::SA20,SisFall,SA20,1,1192,3738
SisFall::SA21,SisFall,SA21,1,931,4155
SisFall::SA22,SisFall,SA22,1,1037,4048
SisFall::SA23,SisFall,SA23,1,815,4271
SisFall::SE01,SisFall,SE01,2,308,2585
SisFall::SE02,SisFall,SE02,2,452,1354
SisFall::SE04,SisFall,SE04,2,504,1743
SisFall::SE07,SisFall,SE07,2,354,1967
SisFall::SE09,SisFall,SE09,2,302,2019
SisFall::SE11,SisFall,SE11,2,328,1993
SisFall::SE12,SisFall,SE12,2,302,2019
SisFall::SE13,SisFall,SE13,2,354,1967
SisFall::SE14,SisFall,SE14,2,530,1791
SisFall::SE15,SisFall,SE15,2,279,1598
UpFall::S01,UpFall,S01,1,669,1270
UpFall::S03,UpFall,S03,1,571,1370
UpFall::S04,UpFall,S04,1,371,1569
UpFall::S05,UpFall,S05,2,231,1706
UpFall::S06,UpFall,S06,2,472,1470
UpFall::S08,UpFall,S08,2,213,1488
UpFall::S09,UpFall,S09,2,431,1509
UpFall::S10,UpFall,S10,1,372,1570
UpFall::S11,UpFall,S11,2,413,1529
UpFall::S12,UpFall,S12,2,332,1608
UpFall::S13,UpFall,S13,1,371,1568
UpFall::S16,UpFall,S16,1,331,1607
UpFall::S17,UpFall,S17,1,371,1573
