client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,459,1720
KFall::SA07,KFall,SA07,0,434,1907
KFall::SA08,KFall,SA08,0,476,1836
KFall::SA09,KFall,SA09,0,463,1738
KFall::SA10,KFall,SA10,0,559,1784
KFall::SA12,KFall,SA12,0,325,1609
KFall::SA13,KFall,SA13,0,542,1868
KFall::SA14,KFall,SA14,0,442,1869
KFall::SA15,KFall,SA15,0,479,1802
KFall::SA18,KFall,SA18,0,456,2035
KFall::SA19,KFall,SA19,0,483,1995
KFall::SA20,KFall,SA20,0,410,1755
KFall::SA22,KFall,SA22,0,406,1842
KFall::SA23,KFall,SA23,0,449,1711
KFall::SA24,KFall,SA24,0,484,1741
KFall::SA25,KFall,SA25,0,475,1904
KFall::SA26,KFall,SA26,0,485,1966
KFall::SA27,KFall,SA27,0,429,1945
KFall::SA28,KFall,SA28,0,406,1909
KFall::SA29,KFall,SA29,0,431,1949
KFall::SA30,KFall,SA30,0,470,1708
KFall::SA33,KFall,SA33,0,383,1752
KFall::SA35,KFall,SA35,0,435,1848
KFall::SA36,KFall,SA36,0,386,1705
KFall::SA37,KFall,SA37,0,336,1598
KFall::SA38,KFall,SA38,0,449,1862
SisFall::SA01,SisFall,SA01,1,867,4219
SisFall::SA02,SisFall,SA02,1,1057,4029
SisFall::SA03,SisFall,SA03,1,1377,3709
SisFall::SA04,SisFall,SA04,1,1101,3985
SisFall::SA05,SisFall,SA05,1,895,4191
SisFall::SA06,SisFall,SA06,1,1069,4017
SisFall::SA07,SisFall,SA07,1,985,4101
SisFall::SA08,SisFall,SA08,1,931,4155
SisFall::SA09,SisFall,SA09,1,1037,4049
SisFall::SA10,SisFall,SA10,1,815,4271
SisFall::SA11,SisFall,SA11,1,917,4169
SisFall::SA13,SisFall,SA13,1,1435,3651
SisFall::SA14,SisFall,SA14,1,945,4140
SisFall::SA17,SisFall,SA17,1,873,4163
SisFall::SA18,SisFall,SA18,1,919,4167
SisFall::SA19,SisFall,SA19,1,857,4229
SisFall::SA20,SisFall,SA20,1,1028,3902
SisFall::SA21,SisFall,SA21,1,915,4171
SisFall::SA22,SisFall,SA22,1,979,4106
SisFall::SA23,SisFall,SA23,1,1011,4075
SisFall::SE01,SisFall,SE01,2,294,2599
SisFall::SE02,SisFall,SE02,2,414,1392
SisFall::SE04,SisFall,SE04,2,302,1945
SisFall::SE07,SisFall,SE07,2,354,1967
SisFall::SE09,SisFall,SE09,2,680,1641
SisFall::SE11,SisFall,SE11,2,302,2019
SisFall::SE12,SisFall,SE12,2,628,1693
SisFall::SE13,SisFall,SE13,2,654,1667
SisFall::SE14,SisFall,SE14,2,328,1993
SisFall::SE15,SisFall,SE15,2,279,1598
UpFall::S01,UpFall,S01,1,372,1567
UpFall::S03,UpFall,S03,1,331,1610
UpFall::S04,UpFall,S04,1,372,1568
UpFall::S05,UpFall,S05,2,511,1426
UpFall::S06,UpFall,S06,2,372,1570
UpFall::S08,UpFall,S08,2,352,1349
UpFall::S09,UpFall,S09,2,370,1570
UpFall::S10,UpFall,S10,1,332,1610
UpFall::S11,UpFall,S11,2,273,1669
UpFall::S12,UpFall,S12,2,470,1470
UpFall::S13,UpFall,S13,1,472,1467
UpFall::S16,UpFall,S16,1,272,1666
UpFall::S17,UpFall,S17,1,533,1411
