client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,453,1726
KFall::SA07,KFall,SA07,0,453,1888
KFall::SA08,KFall,SA08,0,440,1872
KFall::SA09,KFall,SA09,0,451,1750
KFall::SA10,KFall,SA10,0,504,1839
KFall::SA12,KFall,SA12,0,418,1516
KFall::SA13,KFall,SA13,0,478,1932
KFall::SA14,KFall,SA14,0,445,1866
KFall::SA15,KFall,SA15,0,449,1832
KFall::SA18,KFall,SA18,0,486,2005
KFall::SA19,KFall,SA19,0,478,2000
KFall::SA20,KFall,SA20,0,447,1718
KFall::SA22,KFall,SA22,0,487,1761
KFall::SA23,KFall,SA23,0,421,1739
KFall::SA24,KFall,SA24,0,432,1793
KFall::SA25,KFall,SA25,0,456,1923
KFall::SA26,KFall,SA26,0,512,1939
KFall::SA27,KFall,SA27,0,422,1952
KFall::SA28,KFall,SA28,0,525,1790
KFall::SA29,KFall,SA29,0,542,1838
KFall::SA30,KFall,SA30,0,443,1735
KFall::SA33,KFall,SA33,0,372,1763
KFall::SA35,KFall,SA35,0,421,1862
KFall::SA36,KFall,SA36,0,384,1707
KFall::SA37,KFall,SA37,0,364,1570
KFall::SA38,KFall,SA38,0,479,1832
SisFall::SA01,SisFall,SA01,1,917,4169
SisFall::SA02,SisFall,SA02,1,1435,3651
SisFall::SA03,SisFall,SA03,1,945,4141
SisFall::SA04,SisFall,SA04,1,873,4213
SisFall::SA05,SisFall,SA05,1,919,4167
SisFall::SA06,SisFall,SA06,1,857,4229
SisFall::SA07,SisFall,SA07,1,1019,4067
SisFall::SA08,SisFall,SA08,1,915,4171
SisFall::SA09,SisFall,SA09,1,979,4107
SisFall::SA10,SisFall,SA10,1,1011,4075
SisFall::SA11,SisFall,SA11,1,1253,3833
SisFall::SA13,SisFall,SA13,1,867,4219
SisFall::SA14,SisFall,SA14,1,1075,4010
SisFall::SA17,SisFall,SA17,1,1045,3991
SisFall::SA18,SisFall,SA18,1,1239,3847
SisFall::SA19,SisFall,SA19,1,879,4207
SisFall::SA20,SisFall,SA20,1,940,3990
SisFall::SA21,SisFall,SA21,1,965,4121
SisFall::SA22,SisFall,SA22,1,879,4206
SisFall::SA23,SisFall,SA23,1,933,4153
SisFall::SE01,SisFall,SE01,2,308,2585
SisFall::SE02,SisFall,SE02,2,276,1530
SisFall::SE04,SisFall,SE04,2,320,1927
SisFall::SE07,SisFall,SE07,2,328,1993
SisFall::SE09,SisFall,SE09,2,654,1667
SisFall::SE11,SisFall,SE11,2,478,1843
SisFall::SE12,SisFall,SE12,2,556,1765
SisFall::SE13,SisFall,SE13,2,530,1791
SisFall::SE14,SisFall,SE14,2,732,1589
SisFall::SE15,SisFall,SE15,2,455,1422
UpFall::S01,UpFall,S01,1,473,1466
UpFall::S03,UpFall,S03,1,272,1669
UpFall::S04,UpFall,S04,1,530,1410
UpFall::S05,UpFall,S05,2,330,1607
UpFall::S06,UpFall,S06,2,572,1370
UpFall::S08,UpFall,S08,2,213,1488
UpFall::S09,UpFall,S09,2,372,1568
UpFall::S10,UpFall,S10,1,372,1570
UpFall::S11,UpFall,S11,2,472,1470
UpFall::S12,UpFall,S12,2,411,1529
UpFall::S13,UpFall,S13,1,311,1628
UpFall::S16,UpFall,S16,1,328,1610
UpFall::S17,UpFall,S17,1,271,1673
