client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,476,1703
KFall::SA07,KFall,SA07,0,465,1876
KFall::SA08,KFall,SA08,0,490,1822
KFall::SA09,KFall,SA09,0,432,1769
KFall::SA10,KFall,SA10,0,467,1876
KFall::SA12,KFall,SA12,0,385,1549
KFall::SA13,KFall,SA13,0,476,1934
KFall::SA14,KFall,SA14,0,467,1844
KFall::SA15,KFall,SA15,0,589,1692
KFall::SA18,KFall,SA18,0,506,1985
KFall::SA19,KFall,SA19,0,483,1995
KFall::SA20,KFall,SA20,0,381,1784
KFall::SA22,KFall,SA22,0,416,1832
KFall::SA23,KFall,SA23,0,395,1765
KFall::SA24,KFall,SA24,0,518,1707
KFall::SA25,KFall,SA25,0,489,1890
KFall::SA26,KFall,SA26,0,500,1951
KFall::SA27,KFall,SA27,0,479,1895
KFall::SA28,KFall,SA28,0,443,1872
KFall::SA29,KFall,SA29,0,423,1957
KFall::SA30,KFall,SA30,0,376,1802
KFall::SA33,KFall,SA33,0,395,1740
KFall::SA35,KFall,SA35,0,391,1892
KFall::SA36,KFall,SA36,0,359,1732
KFall::SA37,KFall,SA37,0,322,1612
KFall::SA38,KFall,SA38,0,458,1853
SisFall::SA01,SisFall,SA01,1,1253,3833
SisFall::SA02,SisFall,SA02,1,867,4219
SisFall::SA03,SisFall,SA03,1,1075,4011
SisFall::SA04,SisFall,SA04,1,1065,4021
SisFall::SA05,SisFall,SA05,1,1239,3847
SisFall::SA06,SisFall,SA06,1,879,4207
SisFall::SA07,SisFall,SA07,1,957,4129
SisFall::SA08,SisFall,SA08,1,965,4121
SisFall::SA09,SisFall,SA09,1,879,4207
SisFall::SA10,SisFall,SA10,1,933,4153
SisFall::SA11,SisFall,SA11,1,881,4205
SisFall::SA13,SisFall,SA13,1,1415,3671
SisFall::SA14,SisFall,SA14,1,823,4262
SisFall::SA17,SisFall,SA17,1,861,4175
SisFall::SA18,SisFall,SA18,1,889,4197
SisFall::SA19,SisFall,SA19,1,1037,4049
SisFall::SA20,SisFall,SA20,1,902,4028
SisFall::SA21,SisFall,SA21,1,1057,4029
SisFall::SA22,SisFall,SA22,1,881,4204
SisFall::SA23,SisFall,SA23,1,905,4181
SisFall::SE01,SisFall,SE01,2,308,2585
SisFall::SE02,SisFall,SE02,2,290,1516
SisFall::SE04,SisFall,SE04,2,680,1567
SisFall::SE07,SisFall,SE07,2,478,1843
SisFall::SE09,SisFall,SE09,2,302,2019
SisFall::SE11,SisFall,SE11,2,354,1967
SisFall::SE12,SisFall,SE12,2,504,1817
SisFall::SE13,SisFall,SE13,2,276,2045
SisFall::SE14,SisFall,SE14,2,276,2045
SisFall::SE15,SisFall,SE15,2,429,1448
UpFall::S01,UpFall,S01,1,313,1626
UpFall::S03,UpFall,S03,1,332,1609
UpFall::S04,UpFall,S04,1,271,1669
UpFall::S05,UpFall,S05,2,331,1606
UpFall::S06,UpFall,S06,2,373,1569
UpFall::S08,UpFall,S08,2,414,1287
UpFall::S09,UpFall,S09,2,473,1467
UpFall::S10,UpFall,S10,1,273,1669
UpFall::S11,UpFall,S11,2,332,1610
UpFall::S12,UpFall,S12,2,472,1468
UpFall::S13,UpFall,S13,1,430,1509
UpFall::S16,UpFall,S16,1,431,1507
UpFall::S17,UpFall,S17,1,432,1512
