client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,398,1781
KFall::SA07,KFall,SA07,1,472,1869
KFall::SA08,KFall,SA08,1,488,1824
KFall::SA09,KFall,SA09,1,446,1755
KFall::SA10,KFall,SA10,1,429,1914
KFall::SA12,KFall,SA12,1,399,1535
KFall::SA13,KFall,SA13,1,465,1945
KFall::SA14,KFall,SA14,1,424,1887
KFall::SA15,KFall,SA15,1,478,1803
KFall::SA18,KFall,SA18,1,453,2038
KFall::SA19,KFall,SA19,1,525,1953
KFall::SA20,KFall,SA20,1,466,1699
KFall::SA22,KFall,SA22,1,396,1852
KFall::SA23,KFall,SA23,1,399,1761
KFall::SA24,KFall,SA24,1,403,1822
KFall::SA25,KFall,SA25,1,512,1867
KFall::SA26,KFall,SA26,1,474,1977
KFall::SA27,KFall,SA27,1,471,1903
KFall::SA28,KFall,SA28,1,431,1884
KFall::SA29,KFall,SA29,1,464,1916
KFall::SA30,KFall,SA30,1,479,1699
KFall::SA33,KFall,SA33,1,388,1747
KFall::SA35,KFall,SA35,1,484,1799
KFall::SA36,KFall,SA36,1,395,1696
KFall::SA37,KFall,SA37,1,359,1575
KFall::SA38,KFall,SA38,1,470,1841
SisFall::SA01,SisFall,SA01,0,907,4179
SisFall::SA02,SisFall,SA02,0,875,4211
SisFall::SA03,SisFall,SA03,0,829,4257
SisFall::SA04,SisFall,SA04,0,1103,3983
SisFall::SA05,SisFall,SA05,0,1093,3993
SisFall::SA06,SisFall,SA06,0,913,4173
SisFall::SA07,SisFall,SA07,0,925,4161
SisFall::SA08,SisFall,SA08,0,1241,3845
SisFall::SA09,SisFall,SA09,0,1259,3827
SisFall::SA10,SisFall,SA10,0,1391,3695
SisFall::SA11,SisFall,SA11,0,805,4281
SisFall::SA13,SisFall,SA13,0,1057,4029
SisFall::SA14,SisFall,SA14,0,872,4213
SisFall::SA17,SisFall,SA17,0,901,4135
SisFall::SA18,SisFall,SA18,0,1063,4023
SisFall::SA19,SisFall,SA19,0,1173,3913
SisFall::SA20,SisFall,SA20,0,1002,3928
SisFall::SA21,SisFall,SA21,0,881,4205
SisFall::SA22,SisFall,SA22,0,852,4233
SisFall::SA23,SisFall,SA23,0,993,4093
SisFall::SE01,SisFall,SE01,2,940,1953
SisFall::SE02,SisFall,SE02,2,294,1512
SisFall::SE04,SisFall,SE04,2,478,1769
SisFall::SE07,SisFall,SE07,2,530,1791
SisFall::SE09,SisFall,SE09,2,302,2019
SisFall::SE11,SisFall,SE11,2,354,1967
SisFall::SE12,SisFall,SE12,2,530,1791
SisFall::SE13,SisFall,SE13,2,354,1967
SisFall::SE14,SisFall,SE14,2,478,1843
SisFall::SE15,SisFall,SE15,2,455,1422
UpFall::S01,UpFall,S01,0,433,1506
UpFall::S03,UpFall,S03,0,372,1569
UpFall::S04,UpFall,S04,0,333,1607
UpFall::S05,UpFall,S05,2,330,1607
UpFall::S06,UpFall,S06,2,332,1610
UpFall::S08,UpFall,S08,2,332,1369
UpFall::S09,UpFall,S09,2,372,1568
UpFall::S10,UpFall,S10,0,373,1569
UpFall::S11,UpFall,S11,2,532,1410
UpFall::S12,UpFall,S12,2,570,1370
UpFall::S13,UpFall,S13,0,532,1407
UpFall::S16,UpFall,S16,0,571,1367
UpFall::S17,UpFall,S17,0,433,1511
