client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,439,1740
KFall::SA07,KFall,SA07,0,419,1922
KFall::SA08,KFall,SA08,0,464,1848
KFall::SA09,KFall,SA09,0,413,1788
KFall::SA10,KFall,SA10,0,477,1866
KFall::SA12,KFall,SA12,0,341,1593
KFall::SA13,KFall,SA13,0,464,1946
KFall::SA14,KFall,SA14,0,456,1855
KFall::SA15,KFall,SA15,0,403,1878
KFall::SA18,KFall,SA18,0,498,1993
KFall::SA19,KFall,SA19,0,499,1979
KFall::SA20,KFall,SA20,0,384,1781
KFall::SA22,KFall,SA22,0,464,1784
KFall::SA23,KFall,SA23,0,450,1710
KFall::SA24,KFall,SA24,0,414,1811
KFall::SA25,KFall,SA25,0,476,1903
KFall::SA26,KFall,SA26,0,430,2021
KFall::SA27,KFall,SA27,0,472,1902
KFall::SA28,KFall,SA28,0,497,1818
KFall::SA29,KFall,SA29,0,500,1880
KFall::SA30,KFall,SA30,0,479,1699
KFall::SA33,KFall,SA33,0,420,1715
KFall::SA35,KFall,SA35,0,397,1886
KFall::SA36,KFall,SA36,0,432,1659
KFall::SA37,KFall,SA37,0,369,1565
KFall::SA38,KFall,SA38,0,501,1810
SisFall::SA01,SisFall,SA01,1,805,4281
SisFall::SA02,SisFall,SA02,1,1057,4029
SisFall::SA03,SisFall,SA03,1,873,4213
SisFall::SA04,SisFall,SA04,1,927,4159
SisFall::SA05,SisFall,SA05,1,1063,4023
SisFall::SA06,SisFall,SA06,1,1173,3913
SisFall::SA07,SisFall,SA07,1,1095,3991
SisFall::SA08,SisFall,SA08,1,881,4205
SisFall::SA09,SisFall,SA09,1,853,4233
SisFall::SA10,SisFall,SA10,1,993,4093
SisFall::SA11,SisFall,SA11,1,1063,4023
SisFall::SA13,SisFall,SA13,1,873,4213
SisFall::SA14,SisFall,SA14,1,1030,4055
SisFall::SA17,SisFall,SA17,1,881,4155
SisFall::SA18,SisFall,SA18,1,1193,3893
SisFall::SA19,SisFall,SA19,1,879,4207
SisFall::SA20,SisFall,SA20,1,1178,3752
SisFall::SA21,SisFall,SA21,1,1079,4007
SisFall::SA22,SisFall,SA22,1,1085,4000
SisFall::SA23,SisFall,SA23,1,1037,4049
SisFall::SE01,SisFall,SE01,2,286,2607
SisFall::SE02,SisFall,SE02,2,422,1384
SisFall::SE04,SisFall,SE04,2,310,1937
SisFall::SE07,SisFall,SE07,2,680,1641
SisFall::SE09,SisFall,SE09,2,328,1993
SisFall::SE11,SisFall,SE11,2,302,2019
SisFall::SE12,SisFall,SE12,2,328,1993
SisFall::SE13,SisFall,SE13,2,504,1817
SisFall::SE14,SisFall,SE14,2,354,1967
SisFall::SE15,SisFall,SE15,2,429,1448
UpFall::S01,UpFall,S01,1,529,1410
UpFall::S03,UpFall,S03,1,573,1368
UpFall::S04,UpFall,S04,1,431,1509
UpFall::S05,UpFall,S05,2,371,1566
UpFall::S06,UpFall,S06,2,472,1470
UpFall::S08,UpFall,S08,2,110,1591
UpFall::S09,UpFall,S09,2,230,1710
UpFall::S10,UpFall,S10,1,231,1711
UpFall::S11,UpFall,S11,2,412,1530
UpFall::S12,UpFall,S12,2,232,1708
UpFall::S13,UpFall,S13,1,571,1368
UpFall::S16,UpFall,S16,1,471,1467
UpFall::S17,UpFall,S17,1,332,1612
