client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,454,1725
KFall::SA07,KFall,SA07,1,495,1846
KFall::SA08,KFall,SA08,1,452,1860
KFall::SA09,KFall,SA09,1,412,1789
KFall::SA10,KFall,SA10,1,486,1857
KFall::SA12,KFall,SA12,1,379,1555
KFall::SA13,KFall,SA13,1,482,1928
KFall::SA14,KFall,SA14,1,414,1897
KFall::SA15,KFall,SA15,1,531,1750
KFall::SA18,KFall,SA18,1,489,2002
KFall::SA19,KFall,SA19,1,502,1976
KFall::SA20,KFall,SA20,1,382,1783
KFall::SA22,KFall,SA22,1,379,1869
KFall::SA23,KFall,SA23,1,502,1658
KFall::SA24,KFall,SA24,1,440,1785
KFall::SA25,KFall,SA25,1,525,1854
KFall::SA26,KFall,SA26,1,457,1994
KFall::SA27,KFall,SA27,1,459,1915
KFall::SA28,KFall,SA28,1,411,1904
KFall::SA29,KFall,SA29,1,440,1940
KFall::SA30,KFall,SA30,1,434,1744
KFall::SA33,KFall,SA33,1,422,1713
KFall::SA35,KFall,SA35,1,480,1803
KFall::SA36,KFall,SA36,1,430,1661
KFall::SA37,KFall,SA37,1,435,1499
KFall::SA38,KFall,SA38,1,466,1845
SisFall::SA01,SisFall,SA01,0,1063,4023
SisFall::SA02,SisFall,SA02,0,873,4213
SisFall::SA03,SisFall,SA03,0,1031,4055
SisFall::SA04,SisFall,SA04,0,849,4237
SisFall::SA05,SisFall,SA05,0,1193,3893
SisFall::SA06,SisFall,SA06,0,879,4207
SisFall::SA07,SisFall,SA07,0,1183,3903
SisFall::SA08,SisFall,SA08,0,1079,4007
SisFall::SA09,SisFall,SA09,0,1085,4001
SisFall::SA10,SisFall,SA10,0,1037,4049
SisFall::SA11,SisFall,SA11,0,913,4173
SisFall::SA13,SisFall,SA13,0,861,4225
SisFall::SA14,SisFall,SA14,0,877,4208
SisFall::SA17,SisFall,SA17,0,1025,4011
SisFall::SA18,SisFall,SA18,0,833,4253
SisFall::SA19,SisFall,SA19,0,1193,3893
SisFall::SA20,SisFall,SA20,0,1008,3922
SisFall::SA21,SisFall,SA21,0,919,4167
SisFall::SA22,SisFall,SA22,0,1023,4062
SisFall::SA23,SisFall,SA23,0,981,4105
SisFall::SE01,SisFall,SE01,2,256,2637
SisFall::SE02,SisFall,SE02,2,256,1550
SisFall::SE04,SisFall,SE04,2,316,1931
SisFall::SE07,SisFall,SE07,2,302,2019
SisFall::SE09,SisFall,SE09,2,452,1869
SisFall::SE11,SisFall,SE11,2,504,1817
SisFall::SE12,SisFall,SE12,2,354,1967
SisFall::SE13,SisFall,SE13,2,452,1869
SisFall::SE14,SisFall,SE14,2,530,1791
SisFall::SE15,SisFall,SE15,2,455,1422
UpFall::S01,UpFall,S01,0,571,1368
UpFall::S03,UpFall,S03,0,471,1470
UpFall::S04,UpFall,S04,0,332,1608
UpFall::S05,UpFall,S05,2,431,1506
UpFall::S06,UpFall,S06,2,372,1570
UpFall::S08,UpFall,S08,2,213,1488
UpFall::S09,UpFall,S09,2,333,1607
UpFall::S10,UpFall,S10,0,532,1410
UpFall::S11,UpFall,S11,2,432,1510
UpFall::S12,UpFall,S12,2,529,1411
UpFall::S13,UpFall,S13,0,473,1466
UpFall::S16,UpFall,S16,0,330,1608
UpFall::S17,UpFall,S17,0,433,1511
