client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,2,395,1784
KFall::SA07,KFall,SA07,2,447,1894
KFall::SA08,KFall,SA08,2,469,1843
KFall::SA09,KFall,SA09,2,468,1733
KFall::SA10,KFall,SA10,2,461,1882
KFall::SA12,KFall,SA12,2,384,1550
KFall::SA13,KFall,SA13,2,454,1956
KFall::SA14,KFall,SA14,2,454,1857
KFall::SA15,KFall,SA15,2,467,1814
KFall::SA18,KFall,SA18,2,512,1979
KFall::SA19,KFall,SA19,2,471,2007
KFall::SA20,KFall,SA20,2,502,1663
KFall::SA22,KFall,SA22,2,427,1821
KFall::SA23,KFall,SA23,2,420,1740
KFall::SA24,KFall,SA24,2,472,1753
KFall::SA25,KFall,SA25,2,493,1886
KFall::SA26,KFall,SA26,2,486,1965
KFall::SA27,KFall,SA27,2,419,1955
KFall::SA28,KFall,SA28,2,437,1878
KFall::SA29,KFall,SA29,2,512,1868
KFall::SA30,KFall,SA30,2,464,1714
KFall::SA33,KFall,SA33,2,357,1778
KFall::SA35,KFall,SA35,2,521,1762
KFall::SA36,KFall,SA36,2,378,1713
KFall::SA37,KFall,SA37,2,364,1570
KFall::SA38,KFall,SA38,2,501,1810
SisFall::SA01,SisFall,SA01,1,913,4173
SisFall::SA02,SisFall,SA02,1,861,4225
SisFall::SA03,SisFall,SA03,1,877,4209
SisFall::SA04,SisFall,SA04,1,1025,4061
SisFall::SA05,SisFall,SA05,1,833,4253
SisFall::SA06,SisFall,SA06,1,1193,3893
SisFall::SA07,SisFall,SA07,1,1037,4049
SisFall::SA08,SisFall,SA08,1,919,4167
SisFall::SA09,SisFall,SA09,1,1023,4063
SisFall::SA10,SisFall,SA10,1,981,4105
SisFall::SA11,SisFall,SA11,1,849,4237
SisFall::SA13,SisFall,SA13,1,911,4175
SisFall::SA14,SisFall,SA14,1,881,4204
SisFall::SA17,SisFall,SA17,1,829,4207
SisFall::SA18,SisFall,SA18,1,1099,3987
SisFall::SA19,SisFall,SA19,1,1195,3891
SisFall::SA20,SisFall,SA20,1,1072,3858
SisFall::SA21,SisFall,SA21,1,1089,3997
SisFall::SA22,SisFall,SA22,1,873,4212
SisFall::SA23,SisFall,SA23,1,1223,3863
SisFall::SE01,SisFall,SE01,0,1052,1841
SisFall::SE02,SisFall,SE02,0,230,1576
SisFall::SE04,SisFall,SE04,0,650,1597
SisFall::SE07,SisFall,SE07,0,504,1817
SisFall::SE09,SisFall,SE09,0,302,2019
SisFall::SE11,SisFall,SE11,0,328,1993
SisFall::SE12,SisFall,SE12,0,732,1589
SisFall::SE13,SisFall,SE13,0,530,1791
SisFall::SE14,SisFall,SE14,0,706,1615
SisFall::SE15,SisFall,SE15,0,481,1396
UpFall::S01,UpFall,S01,1,473,1466
UpFall::S03,UpFall,S03,1,333,1608
UpFall::S04,UpFall,S04,1,432,1508
UpFall::S05,UpFall,S05,0,570,1367
UpFall::S06,UpFall,S06,0,431,1511
UpFall::S08,UpFall,S08,0,313,1388
UpFall::S09,UpFall,S09,0,271,1669
UpFall::S10,UpFall,S10,1,171,1771
UpFall::S11,UpFall,S11,0,332,1610
UpFall::S12,UpFall,S12,0,330,1610
UpFall::S13,UpFall,S13,1,272,1667
UpFall::S16,UpFall,S16,1,433,1505
UpFall::S17,UpFall,S17,1,473,1471
