client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,374,1805
KFall::SA07,KFall,SA07,1,480,1861
KFall::SA08,KFall,SA08,1,454,1858
KFall::SA09,KFall,SA09,1,406,1795
KFall::SA10,KFall,SA10,1,447,1896
KFall::SA12,KFall,SA12,1,397,1537
KFall::SA13,KFall,SA13,1,485,1925
KFall::SA14,KFall,SA14,1,427,1884
KFall::SA15,KFall,SA15,1,460,1821
KFall::SA18,KFall,SA18,1,473,2018
KFall::SA19,KFall,SA19,1,502,1976
KFall::SA20,KFall,SA20,1,443,1722
KFall::SA22,KFall,SA22,1,418,1830
KFall::SA23,KFall,SA23,1,490,1670
KFall::SA24,KFall,SA24,1,462,1763
KFall::SA25,KFall,SA25,1,510,1869
KFall::SA26,KFall,SA26,1,457,1994
KFall::SA27,KFall,SA27,1,399,1975
KFall::SA28,KFall,SA28,1,402,1913
KFall::SA29,KFall,SA29,1,450,1930
KFall::SA30,KFall,SA30,1,444,1734
KFall::SA33,KFall,SA33,1,445,1690
KFall::SA35,KFall,SA35,1,407,1876
KFall::SA36,KFall,SA36,1,476,1615
KFall::SA37,KFall,SA37,1,365,1569
KFall::SA38,KFall,SA38,1,496,1815
SisFall::SA01,SisFall,SA01,0,911,4175
SisFall::SA02,SisFall,SA02,0,919,4167
SisFall::SA03,SisFall,SA03,0,1305,3781
SisFall::SA04,SisFall,SA04,0,1059,4027
SisFall::SA05,SisFall,SA05,0,933,4153
SisFall::SA06,SisFall,SA06,0,1071,4015
SisFall::SA07,SisFall,SA07,0,991,4095
SisFall::SA08,SisFall,SA08,0,1067,4019
SisFall::SA09,SisFall,SA09,0,909,4177
SisFall::SA10,SisFall,SA10,0,815,4271
SisFall::SA11,SisFall,SA11,0,1273,3813
SisFall::SA13,SisFall,SA13,0,1123,3963
SisFall::SA14,SisFall,SA14,0,1051,4034
SisFall::SA17,SisFall,SA17,0,1087,3949
SisFall::SA18,SisFall,SA18,0,841,4245
SisFall::SA19,SisFall,SA19,0,843,4243
SisFall::SA20,SisFall,SA20,0,990,3940
SisFall::SA21,SisFall,SA21,0,885,4201
SisFall::SA22,SisFall,SA22,0,843,4242
SisFall::SA23,SisFall,SA23,0,1005,4081
SisFall::SE01,SisFall,SE01,2,686,2207
SisFall::SE02,SisFall,SE02,2,624,1182
SisFall::SE04,SisFall,SE04,2,320,1927
SisFall::SE07,SisFall,SE07,2,530,1791
SisFall::SE09,SisFall,SE09,2,302,2019
SisFall::SE11,SisFall,SE11,2,504,1817
SisFall::SE12,SisFall,SE12,2,328,1993
SisFall::SE13,SisFall,SE13,2,504,1817
SisFall::SE14,SisFall,SE14,2,680,1641
SisFall::SE15,SisFall,SE15,2,455,1422
UpFall::S01,UpFall,S01,0,331,1608
UpFall::S03,UpFall,S03,0,573,1368
UpFall::S04,UpFall,S04,0,171,1769
UpFall::S05,UpFall,S05,2,672,1265
UpFall::S06,UpFall,S06,2,333,1609
UpFall::S08,UpFall,S08,2,312,1389
UpFall::S09,UpFall,S09,2,431,1509
UpFall::S10,UpFall,S10,0,372,1570
UpFall::S11,UpFall,S11,2,331,1611
UpFall::S12,UpFall,S12,2,572,1368
UpFall::S13,UpFall,S13,0,231,1708
UpFall::S16,UpFall,S16,0,331,1607
UpFall::S17,UpFall,S17,0,332,1612
