client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,517,1662
KFall::SA07,KFall,SA07,1,436,1905
KFall::SA08,KFall,SA08,1,427,1885
KFall::SA09,KFall,SA09,1,462,1739
KFall::SA10,KFall,SA10,1,595,1748
KFall::SA12,KFall,SA12,1,334,1600
KFall::SA13,KFall,SA13,1,474,1936
KFall::SA14,KFall,SA14,1,500,1811
KFall::SA15,KFall,SA15,1,506,1775
KFall::SA18,KFall,SA18,1,514,1977
KFall::SA19,KFall,SA19,1,535,1943
KFall::SA20,KFall,SA20,1,414,1751
KFall::SA22,KFall,SA22,1,537,1711
KFall::SA23,KFall,SA23,1,382,1778
KFall::SA24,KFall,SA24,1,484,1741
KFall::SA25,KFall,SA25,1,560,1819
KFall::SA26,KFall,SA26,1,559,1892
KFall::SA27,KFall,SA27,1,473,1901
KFall::SA28,KFall,SA28,1,473,1842
KFall::SA29,KFall,SA29,1,511,1869
KFall::SA30,KFall,SA30,1,412,1766
KFall::SA33,KFall,SA33,1,376,1759
KFall::SA35,KFall,SA35,1,460,1823
KFall::SA36,KFall,SA36,1,389,1702
KFall::SA37,KFall,SA37,1,430,1504
KFall::SA38,KFall,SA38,1,399,1912
SisFall::SA01,SisFall,SA01,0,1083,4003
SisFall::SA02,SisFall,SA02,0,867,4219
SisFall::SA03,SisFall,SA03,0,1285,3801
SisFall::SA04,SisFall,SA04,0,849,4237
SisFall::SA05,SisFall,SA05,0,1207,3879
SisFall::SA06,SisFall,SA06,0,1397,3689
SisFall::SA07,SisFall,SA07,0,887,4199
SisFall::SA08,SisFall,SA08,0,887,4199
SisFall::SA09,SisFall,SA09,0,1023,4063
SisFall::SA10,SisFall,SA10,0,1037,4049
SisFall::SA11,SisFall,SA11,0,881,4205
SisFall::SA13,SisFall,SA13,0,1215,3871
SisFall::SA14,SisFall,SA14,0,1118,3967
SisFall::SA17,SisFall,SA17,0,887,4149
SisFall::SA18,SisFall,SA18,0,899,4187
SisFall::SA19,SisFall,SA19,0,899,4187
SisFall::SA20,SisFall,SA20,0,844,4086
SisFall::SA21,SisFall,SA21,0,1083,4003
SisFall::SA22,SisFall,SA22,0,1057,4028
SisFall::SA23,SisFall,SA23,0,907,4179
SisFall::SE01,SisFall,SE01,2,958,1935
SisFall::SE02,SisFall,SE02,2,616,1190
SisFall::SE04,SisFall,SE04,2,316,1931
SisFall::SE07,SisFall,SE07,2,680,1641
SisFall::SE09,SisFall,SE09,2,328,1993
SisFall::SE11,SisFall,SE11,2,452,1869
SisFall::SE12,SisFall,SE12,2,478,1843
SisFall::SE13,SisFall,SE13,2,830,1491
SisFall::SE14,SisFall,SE14,2,732,1589
SisFall::SE15,SisFall,SE15,2,331,1546
UpFall::S01,UpFall,S01,0,432,1507
UpFall::S03,UpFall,S03,0,473,1468
UpFall::S04,UpFall,S04,0,331,1609
UpFall::S05,UpFall,S05,2,469,1468
UpFall::S06,UpFall,S06,2,272,1670
UpFall::S08,UpFall,S08,2,211,1490
UpFall::S09,UpFall,S09,2,431,1509
UpFall::S10,UpFall,S10,0,511,1431
UpFall::S11,UpFall,S11,2,331,1611
UpFall::S12,UpFall,S12,2,331,1609
UpFall::S13,UpFall,S13,0,532,1407
UpFall::S16,UpFall,S16,0,272,1666
UpFall::S17,UpFall,S17,0,471,1473
