client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,430,1749
KFall::SA07,KFall,SA07,0,401,1940
KFall::SA08,KFall,SA08,0,463,1849
KFall::SA09,KFall,SA09,0,429,1772
KFall::SA10,KFall,SA10,0,508,1835
KFall::SA12,KFall,SA12,0,446,1488
KFall::SA13,KFall,SA13,0,560,1850
KFall::SA14,KFall,SA14,0,506,1805
KFall::SA15,KFall,SA15,0,498,1783
KFall::SA18,KFall,SA18,0,509,1982
KFall::SA19,KFall,SA19,0,529,1949
KFall::SA20,KFall,SA20,0,433,1732
KFall::SA22,KFall,SA22,0,405,1843
KFall::SA23,KFall,SA23,0,449,1711
KFall::SA24,KFall,SA24,0,489,1736
KFall::SA25,KFall,SA25,0,440,1939
KFall::SA26,KFall,SA26,0,449,2002
KFall::SA27,KFall,SA27,0,459,1915
KFall::SA28,KFall,SA28,0,438,1877
KFall::SA29,KFall,SA29,0,434,1946
KFall::SA30,KFall,SA30,0,435,1743
KFall::SA33,KFall,SA33,0,378,1757
KFall::SA35,KFall,SA35,0,451,1832
KFall::SA36,KFall,SA36,0,416,1675
KFall::SA37,KFall,SA37,0,432,1502
KFall::SA38,KFall,SA38,0,558,1753
SisFall::SA01,SisFall,SA01,1,887,4199
SisFall::SA02,SisFall,SA02,1,887,4199
SisFall::SA03,SisFall,SA03,1,1023,4063
SisFall::SA04,SisFall,SA04,1,1037,4049
SisFall::SA05,SisFall,SA05,1,881,4205
SisFall::SA06,SisFall,SA06,1,1215,3871
SisFall::SA07,SisFall,SA07,1,1119,3967
SisFall::SA08,SisFall,SA08,1,881,4205
SisFall::SA09,SisFall,SA09,1,899,4187
SisFall::SA10,SisFall,SA10,1,899,4187
SisFall::SA11,SisFall,SA11,1,879,4207
SisFall::SA13,SisFall,SA13,1,1083,4003
SisFall::SA14,SisFall,SA14,1,1057,4028
SisFall::SA17,SisFall,SA17,1,907,4129
SisFall::SA18,SisFall,SA18,1,959,4127
SisFall::SA19,SisFall,SA19,1,895,4191
SisFall::SA20,SisFall,SA20,1,858,4072
SisFall::SA21,SisFall,SA21,1,1011,4075
SisFall::SA22,SisFall,SA22,1,875,4210
SisFall::SA23,SisFall,SA23,1,879,4207
SisFall::SE01,SisFall,SE01,2,614,2279
SisFall::SE02,SisFall,SE02,2,616,1190
SisFall::SE04,SisFall,SE04,2,706,1541
SisFall::SE07,SisFall,SE07,2,530,1791
SisFall::SE09,SisFall,SE09,2,328,1993
SisFall::SE11,SisFall,SE11,2,354,1967
SisFall::SE12,SisFall,SE12,2,758,1563
SisFall::SE13,SisFall,SE13,2,302,2019
SisFall::SE14,SisFall,SE14,2,556,1765
SisFall::SE15,SisFall,SE15,2,279,1598
UpFall::S01,UpFall,S01,1,431,1508
UpFall::S03,UpFall,S03,1,512,1429
UpFall::S04,UpFall,S04,1,332,1608
UpFall::S05,UpFall,S05,2,330,1607
UpFall::S06,UpFall,S06,2,532,1410
UpFall::S08,UpFall,S08,2,314,1387
UpFall::S09,UpFall,S09,2,473,1467
UpFall::S10,UpFall,S10,1,473,1469
UpFall::S11,UpFall,S11,2,371,1571
UpFall::S12,UpFall,S12,2,273,1667
UpFall::S13,UpFall,S13,1,532,1407
UpFall::S16,UpFall,S16,1,430,1508
UpFall::S17,UpFall,S17,1,373,1571
