client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,448,1731
KFall::SA07,KFall,SA07,1,478,1863
KFall::SA08,KFall,SA08,1,567,1745
KFall::SA09,KFall,SA09,1,455,1746
KFall::SA10,KFall,SA10,1,487,1856
KFall::SA12,KFall,SA12,1,438,1496
KFall::SA13,KFall,SA13,1,513,1897
KFall::SA14,KFall,SA14,1,466,1845
KFall::SA15,KFall,SA15,1,528,1753
KFall::SA18,KFall,SA18,1,519,1972
KFall::SA19,KFall,SA19,1,514,1964
KFall::SA20,KFall,SA20,1,388,1777
KFall::SA22,KFall,SA22,1,434,1814
KFall::SA23,KFall,SA23,1,397,1763
KFall::SA24,KFall,SA24,1,391,1834
KFall::SA25,KFall,SA25,1,490,1889
KFall::SA26,KFall,SA26,1,522,1929
KFall::SA27,KFall,SA27,1,434,1940
KFall::SA28,KFall,SA28,1,483,1832
KFall::SA29,KFall,SA29,1,491,1889
KFall::SA30,KFall,SA30,1,393,1785
KFall::SA33,KFall,SA33,1,477,1658
KFall::SA35,KFall,SA35,1,535,1748
KFall::SA36,KFall,SA36,1,484,1607
KFall::SA37,KFall,SA37,1,389,1545
KFall::SA38,KFall,SA38,1,406,1905
SisFall::SA01,SisFall,SA01,0,1023,4063
SisFall::SA02,SisFall,SA02,0,1037,4049
SisFall::SA03,SisFall,SA03,0,881,4205
SisFall::SA04,SisFall,SA04,0,1215,3871
SisFall::SA05,SisFall,SA05,0,1119,3967
SisFall::SA06,SisFall,SA06,0,881,4205
SisFall::SA07,SisFall,SA07,0,899,4187
SisFall::SA08,SisFall,SA08,0,899,4187
SisFall::SA09,SisFall,SA09,0,879,4207
SisFall::SA10,SisFall,SA10,0,1083,4003
SisFall::SA11,SisFall,SA11,0,1057,4029
SisFall::SA13,SisFall,SA13,0,907,4179
SisFall::SA14,SisFall,SA14,0,959,4126
SisFall::SA17,SisFall,SA17,0,927,4109
SisFall::SA18,SisFall,SA18,0,881,4205
SisFall::SA19,SisFall,SA19,0,1011,4075
SisFall::SA20,SisFall,SA20,0,870,4060
SisFall::SA21,SisFall,SA21,0,879,4207
SisFall::SA22,SisFall,SA22,0,860,4225
SisFall::SA23,SisFall,SA23,0,1189,3897
SisFall::SE01,SisFall,SE01,2,1044,1849
SisFall::SE02,SisFall,SE02,2,316,1490
SisFall::SE04,SisFall,SE04,2,316,1931
SisFall::SE07,SisFall,SE07,2,354,1967
SisFall::SE09,SisFall,SE09,2,758,1563
SisFall::SE11,SisFall,SE11,2,302,2019
SisFall::SE12,SisFall,SE12,2,556,1765
SisFall::SE13,SisFall,SE13,2,302,2019
SisFall::SE14,SisFall,SE14,2,654,1667
SisFall::SE15,SisFall,SE15,2,279,1598
UpFall::S01,UpFall,S01,0,332,1607
UpFall::S03,UpFall,S03,0,333,1608
UpFall::S04,UpFall,S04,0,531,1409
UpFall::S05,UpFall,S05,2,271,1666
UpFall::S06,UpFall,S06,2,473,1469
UpFall::S08,UpFall,S08,2,452,1249
UpFall::S09,UpFall,S09,2,372,1568
UpFall::S10,UpFall,S10,0,273,1669
UpFall::S11,UpFall,S11,2,531,1411
UpFall::S12,UpFall,S12,2,431,1509
UpFall::S13,UpFall,S13,0,372,1567
UpFall::S16,UpFall,S16,0,430,1508
UpFall::S17,UpFall,S17,0,533,1411
