client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,2,411,1506
KFall::SA07,KFall,SA07,2,460,1578
KFall::SA08,KFall,SA08,2,311,1602
KFall::SA09,KFall,SA09,2,368,1570
KFall::SA10,KFall,SA10,2,410,1499
KFall::SA11,KFall,SA11,2,438,1734
KFall::SA12,KFall,SA12,2,336,1375
KFall::SA13,KFall,SA13,2,369,1597
KFall::SA14,KFall,SA14,2,367,1670
KFall::SA15,KFall,SA15,2,335,1527
KFall::SA16,KFall,SA16,2,358,1568
KFall::SA17,KFall,SA17,2,514,1893
KFall::SA18,KFall,SA18,2,471,1722
KFall::SA19,KFall,SA19,2,437,1647
KFall::SA20,KFall,SA20,2,317,1578
KFall::SA21,KFall,SA21,2,387,1618
KFall::SA22,KFall,SA22,2,405,1581
KFall::SA23,KFall,SA23,2,359,1549
KFall::SA24,KFall,SA24,2,381,1495
KFall::SA25,KFall,SA25,2,359,1617
KFall::SA26,KFall,SA26,2,436,1631
KFall::SA27,KFall,SA27,2,363,1732
KFall::SA28,KFall,SA28,2,352,1554
KFall::SA29,KFall,SA29,2,403,1580
KFall::SA30,KFall,SA30,2,384,1291
KFall::SA31,KFall,SA31,2,371,1400
KFall::SA32,KFall,SA32,2,356,1590
KFall::SA33,KFall,SA33,2,439,1384
KFall::SA35,KFall,SA35,2,404,1539
KFall::SA36,KFall,SA36,2,355,1378
KFall::SA37,KFall,SA37,2,348,1301
KFall::SA38,KFall,SA38,2,396,1453
SisFall::SA01,SisFall,SA01,1,1102,3234
SisFall::SA02,SisFall,SA02,1,951,3598
SisFall::SA03,SisFall,SA03,1,685,3621
SisFall::SA04,SisFall,SA04,1,760,3329
SisFall::SA05,SisFall,SA05,1,785,3587
SisFall::SA06,SisFall,SA06,1,726,3551
SisFall::SA07,SisFall,SA07,1,845,3149
SisFall::SA08,SisFall,SA08,1,726,3237
SisFall::SA09,SisFall,SA09,1,939,3546
SisFall::SA10,SisFall,SA10,1,922,3572
SisFall::SA11,SisFall,SA11,1,846,3293
SisFall::SA12,SisFall,SA12,1,789,3382
SisFall::SA13,SisFall,SA13,1,1169,3382
SisFall::SA14,SisFall,SA14,1,1126,3347
SisFall::SA15,SisFall,SA15,1,974,3226
SisFall::SA16,SisFall,SA16,1,719,3578
SisFall::SA17,SisFall,SA17,1,985,3367
SisFall::SA18,SisFall,SA18,1,895,3547
SisFall::SA19,SisFall,SA19,1,898,3488
SisFall::SA20,SisFall,SA20,1,752,3416
SisFall::SA21,SisFall,SA21,1,769,3783
SisFall::SA22,SisFall,SA22,1,786,3454
SisFall::SA23,SisFall,SA23,1,900,3348
SisFall::SE01,SisFall,SE01,0,647,2102
SisFall::SE02,SisFall,SE02,0,282,1179
SisFall::SE03,SisFall,SE03,0,282,1613
SisFall::SE04,SisFall,SE04,0,270,1640
SisFall::SE05,SisFall,SE05,0,650,1446
SisFall::SE06,SisFall,SE06,1,792,3558
SisFall::SE07,SisFall,SE07,0,282,1532
SisFall::SE08,SisFall,SE08,0,256,1607
SisFall::SE09,SisFall,SE09,0,559,1359
SisFall::SE10,SisFall,SE10,0,357,1650
SisFall::SE11,SisFall,SE11,0,256,1702
SisFall::SE12,SisFall,SE12,0,230,1728
SisFall::SE13,SisFall,SE13,0,259,1509
SisFall::SE14,SisFall,SE14,0,458,1431
SisFall::SE15,SisFall,SE15,0,484,1324
