client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,2,461,1718
KFall::SA07,KFall,SA07,2,420,1921
KFall::SA08,KFall,SA08,2,422,1890
KFall::SA09,KFall,SA09,2,440,1761
KFall::SA10,KFall,SA10,2,472,1871
KFall::SA12,KFall,SA12,2,394,1540
KFall::SA13,KFall,SA13,2,486,1924
KFall::SA14,KFall,SA14,2,465,1846
KFall::SA15,KFall,SA15,2,454,1827
KFall::SA18,KFall,SA18,2,609,1882
KFall::SA19,KFall,SA19,2,506,1972
KFall::SA20,KFall,SA20,2,430,1735
KFall::SA22,KFall,SA22,2,462,1786
KFall::SA23,KFall,SA23,2,522,1638
KFall::SA24,KFall,SA24,2,461,1764
KFall::SA25,KFall,SA25,2,515,1864
KFall::SA26,KFall,SA26,2,495,1956
KFall::SA27,KFall,SA27,2,419,1955
KFall::SA28,KFall,SA28,2,465,1850
KFall::SA29,KFall,SA29,2,495,1885
KFall::SA30,KFall,SA30,2,514,1664
KFall::SA33,KFall,SA33,2,434,1701
KFall::SA35,KFall,SA35,2,402,1881
KFall::SA36,KFall,SA36,2,415,1676
KFall::SA37,KFall,SA37,2,362,1572
KFall::SA38,KFall,SA38,2,400,1911
SisFall::SA01,SisFall,SA01,1,849,4237
SisFall::SA02,SisFall,SA02,1,1207,3879
SisFall::SA03,SisFall,SA03,1,1397,3689
SisFall::SA04,SisFall,SA04,1,887,4199
SisFall::SA05,SisFall,SA05,1,887,4199
SisFall::SA06,SisFall,SA06,1,1023,4063
SisFall::SA07,SisFall,SA07,1,1037,4049
SisFall::SA08,SisFall,SA08,1,881,4205
SisFall::SA09,SisFall,SA09,1,1215,3871
SisFall::SA10,SisFall,SA10,1,1119,3967
SisFall::SA11,SisFall,SA11,1,881,4205
SisFall::SA13,SisFall,SA13,1,899,4187
SisFall::SA14,SisFall,SA14,1,899,4186
SisFall::SA17,SisFall,SA17,1,885,4151
SisFall::SA18,SisFall,SA18,1,1083,4003
SisFall::SA19,SisFall,SA19,1,1057,4029
SisFall::SA20,SisFall,SA20,1,884,4046
SisFall::SA21,SisFall,SA21,1,959,4127
SisFall::SA22,SisFall,SA22,1,895,4190
SisFall::SA23,SisFall,SA23,1,881,4205
SisFall::SE01,SisFall,SE01,0,984,1909
SisFall::SE02,SisFall,SE02,0,316,1490
SisFall::SE04,SisFall,SE04,0,452,1795
SisFall::SE07,SisFall,SE07,0,478,1843
SisFall::SE09,SisFall,SE09,0,830,1491
SisFall::SE11,SisFall,SE11,0,732,1589
SisFall::SE12,SisFall,SE12,0,530,1791
SisFall::SE13,SisFall,SE13,0,328,1993
SisFall::SE14,SisFall,SE14,0,354,1967
SisFall::SE15,SisFall,SE15,0,683,1194
UpFall::S01,UpFall,S01,1,471,1468
UpFall::S03,UpFall,S03,1,272,1669
UpFall::S04,UpFall,S04,1,232,1708
UpFall::S05,UpFall,S05,0,431,1506
UpFall::S06,UpFall,S06,0,513,1429
UpFall::S08,UpFall,S08,0,354,1347
UpFall::S09,UpFall,S09,0,331,1609
UpFall::S10,UpFall,S10,1,531,1411
UpFall::S11,UpFall,S11,0,271,1671
UpFall::S12,UpFall,S12,0,472,1468
UpFall::S13,UpFall,S13,1,472,1467
UpFall::S16,UpFall,S16,1,370,1568
UpFall::S17,UpFall,S17,1,273,1671
