client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,2,384,1795
KFall::SA07,KFall,SA07,2,452,1889
KFall::SA08,KFall,SA08,2,452,1860
KFall::SA09,KFall,SA09,2,416,1785
KFall::SA10,KFall,SA10,2,480,1863
KFall::SA12,KFall,SA12,2,389,1545
KFall::SA13,KFall,SA13,2,492,1918
KFall::SA14,KFall,SA14,2,479,1832
KFall::SA15,KFall,SA15,2,515,1766
KFall::SA18,KFall,SA18,2,589,1902
KFall::SA19,KFall,SA19,2,473,2005
KFall::SA20,KFall,SA20,2,437,1728
KFall::SA22,KFall,SA22,2,417,1831
KFall::SA23,KFall,SA23,2,407,1753
KFall::SA24,KFall,SA24,2,417,1808
KFall::SA25,KFall,SA25,2,466,1913
KFall::SA26,KFall,SA26,2,482,1969
KFall::SA27,KFall,SA27,2,531,1843
KFall::SA28,KFall,SA28,2,554,1761
KFall::SA29,KFall,SA29,2,513,1867
KFall::SA30,KFall,SA30,2,505,1673
KFall::SA33,KFall,SA33,2,432,1703
KFall::SA35,KFall,SA35,2,486,1797
KFall::SA36,KFall,SA36,2,504,1587
KFall::SA37,KFall,SA37,2,357,1577
KFall::SA38,KFall,SA38,2,550,1761
SisFall::SA01,SisFall,SA01,1,859,4227
SisFall::SA02,SisFall,SA02,1,835,4251
SisFall::SA03,SisFall,SA03,1,905,4181
SisFall::SA04,SisFall,SA04,1,1069,4017
SisFall::SA05,SisFall,SA05,1,1221,3865
SisFall::SA06,SisFall,SA06,1,1035,4051
SisFall::SA07,SisFall,SA07,1,1233,3853
SisFall::SA08,SisFall,SA08,1,1271,3815
SisFall::SA09,SisFall,SA09,1,1023,4063
SisFall::SA10,SisFall,SA10,1,1207,3879
SisFall::SA11,SisFall,SA11,1,1409,3677
SisFall::SA13,SisFall,SA13,1,841,4245
SisFall::SA14,SisFall,SA14,1,1463,3622
SisFall::SA17,SisFall,SA17,1,845,4191
SisFall::SA18,SisFall,SA18,1,1057,4029
SisFall::SA19,SisFall,SA19,1,1091,3995
SisFall::SA20,SisFall,SA20,1,1002,3928
SisFall::SA21,SisFall,SA21,1,927,4159
SisFall::SA22,SisFall,SA22,1,866,4219
SisFall::SA23,SisFall,SA23,1,1201,3885
SisFall::SE01,SisFall,SE01,0,630,2263
SisFall::SE02,SisFall,SE02,0,492,1314
SisFall::SE04,SisFall,SE04,0,680,1567
SisFall::SE07,SisFall,SE07,0,478,1843
SisFall::SE09,SisFall,SE09,0,758,1563
SisFall::SE11,SisFall,SE11,0,328,1993
SisFall::SE12,SisFall,SE12,0,380,1941
SisFall::SE13,SisFall,SE13,0,556,1765
SisFall::SE14,SisFall,SE14,0,380,1941
SisFall::SE15,SisFall,SE15,0,279,1598
UpFall::S01,UpFall,S01,1,472,1467
UpFall::S03,UpFall,S03,1,633,1308
UpFall::S04,UpFall,S04,1,472,1468
UpFall::S05,UpFall,S05,0,330,1607
UpFall::S06,UpFall,S06,0,430,1512
UpFall::S08,UpFall,S08,0,291,1410
UpFall::S09,UpFall,S09,0,432,1508
UpFall::S10,UpFall,S10,1,473,1469
UpFall::S11,UpFall,S11,0,572,1370
UpFall::S12,UpFall,S12,0,532,1408
UpFall::S13,UpFall,S13,1,331,1608
UpFall::S16,UpFall,S16,1,472,1466
UpFall::S17,UpFall,S17,1,372,1572
