client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,350,1477
KFall::SA07,KFall,SA07,0,378,1618
KFall::SA08,KFall,SA08,0,396,1633
KFall::SA09,KFall,SA09,0,304,1542
KFall::SA10,KFall,SA10,0,435,1471
KFall::SA11,KFall,SA11,0,463,1758
KFall::SA12,KFall,SA12,0,335,1300
KFall::SA13,KFall,SA13,0,406,1606
KFall::SA14,KFall,SA14,0,441,1554
KFall::SA15,KFall,SA15,0,422,1507
KFall::SA16,KFall,SA16,0,406,1592
KFall::SA17,KFall,SA17,0,482,1705
KFall::SA18,KFall,SA18,0,420,1691
KFall::SA19,KFall,SA19,0,464,1749
KFall::SA20,KFall,SA20,0,336,1338
KFall::SA21,KFall,SA21,0,333,1555
KFall::SA22,KFall,SA22,0,365,1560
KFall::SA23,KFall,SA23,0,336,1535
KFall::SA24,KFall,SA24,0,370,1615
KFall::SA25,KFall,SA25,0,363,1620
KFall::SA26,KFall,SA26,0,452,1660
KFall::SA27,KFall,SA27,0,391,1620
KFall::SA28,KFall,SA28,0,409,1589
KFall::SA29,KFall,SA29,0,421,1702
KFall::SA30,KFall,SA30,0,387,1531
KFall::SA31,KFall,SA31,0,377,1422
KFall::SA32,KFall,SA32,0,343,1562
KFall::SA33,KFall,SA33,0,419,1497
KFall::SA35,KFall,SA35,0,408,1506
KFall::SA36,KFall,SA36,0,347,1499
KFall::SA37,KFall,SA37,0,385,1324
KFall::SA38,KFall,SA38,0,365,1585
SisFall::SA01,SisFall,SA01,1,791,3729
SisFall::SA02,SisFall,SA02,1,812,3682
SisFall::SA03,SisFall,SA03,1,1076,3346
SisFall::SA04,SisFall,SA04,1,792,3540
SisFall::SA05,SisFall,SA05,1,976,3431
SisFall::SA06,SisFall,SA06,1,991,3613
SisFall::SA07,SisFall,SA07,1,918,3466
SisFall::SA08,SisFall,SA08,1,786,3642
SisFall::SA09,SisFall,SA09,1,967,3486
SisFall::SA10,SisFall,SA10,1,1120,3287
SisFall::SA11,SisFall,SA11,1,798,2888
SisFall::SA12,SisFall,SA12,1,719,3546
SisFall::SA13,SisFall,SA13,1,968,3234
SisFall::SA14,SisFall,SA14,1,903,3589
SisFall::SA15,SisFall,SA15,1,1068,3317
SisFall::SA16,SisFall,SA16,1,795,3361
SisFall::SA17,SisFall,SA17,1,734,3473
SisFall::SA18,SisFall,SA18,1,723,3560
SisFall::SA19,SisFall,SA19,1,1143,3451
SisFall::SA20,SisFall,SA20,1,664,3290
SisFall::SA21,SisFall,SA21,1,705,3564
SisFall::SA22,SisFall,SA22,1,768,3541
SisFall::SA23,SisFall,SA23,1,748,3359
SisFall::SE01,SisFall,SE01,2,1017,1792
SisFall::SE02,SisFall,SE02,2,244,1375
SisFall::SE03,SisFall,SE03,2,481,1497
SisFall::SE04,SisFall,SE04,2,264,1760
SisFall::SE05,SisFall,SE05,2,582,1426
SisFall::SE06,SisFall,SE06,1,884,3526
SisFall::SE07,SisFall,SE07,2,308,1601
SisFall::SE08,SisFall,SE08,2,455,1702
SisFall::SE09,SisFall,SE09,2,305,1970
SisFall::SE10,SisFall,SE10,2,533,1673
SisFall::SE11,SisFall,SE11,2,510,1555
SisFall::SE12,SisFall,SE12,2,308,1584
SisFall::SE13,SisFall,SE13,1,484,1301
SisFall::SE14,SisFall,SE14,2,432,1578
SisFall::SE15,SisFall,SE15,2,588,1114
