client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,1,482,1697
KFall::SA07,KFall,SA07,1,419,1922
KFall::SA08,KFall,SA08,1,433,1879
KFall::SA09,KFall,SA09,1,390,1811
KFall::SA10,KFall,SA10,1,421,1922
KFall::SA12,KFall,SA12,1,326,1608
KFall::SA13,KFall,SA13,1,517,1893
KFall::SA14,KFall,SA14,1,463,1848
KFall::SA15,KFall,SA15,1,500,1781
KFall::SA18,KFall,SA18,1,459,2032
KFall::SA19,KFall,SA19,1,524,1954
KFall::SA20,KFall,SA20,1,396,1769
KFall::SA22,KFall,SA22,1,534,1714
KFall::SA23,KFall,SA23,1,391,1769
KFall::SA24,KFall,SA24,1,433,1792
KFall::SA25,KFall,SA25,1,461,1918
KFall::SA26,KFall,SA26,1,482,1969
KFall::SA27,KFall,SA27,1,435,1939
KFall::SA28,KFall,SA28,1,417,1898
KFall::SA29,KFall,SA29,1,538,1842
KFall::SA30,KFall,SA30,1,442,1736
KFall::SA33,KFall,SA33,1,380,1755
KFall::SA35,KFall,SA35,1,463,1820
KFall::SA36,KFall,SA36,1,384,1707
KFall::SA37,KFall,SA37,1,327,1607
KFall::SA38,KFall,SA38,1,497,1814
SisFall::SA01,SisFall,SA01,0,1207,3879
SisFall::SA02,SisFall,SA02,0,1397,3689
SisFall::SA03,SisFall,SA03,0,887,4199
SisFall::SA04,SisFall,SA04,0,887,4199
SisFall::SA05,SisFall,SA05,0,1023,4063
SisFall::SA06,SisFall,SA06,0,1037,4049
SisFall::SA07,SisFall,SA07,0,881,4205
SisFall::SA08,SisFall,SA08,0,1215,3871
SisFall::SA09,SisFall,SA09,0,1119,3967
SisFall::SA10,SisFall,SA10,0,881,4205
SisFall::SA11,SisFall,SA11,0,899,4187
SisFall::SA13,SisFall,SA13,0,899,4187
SisFall::SA14,SisFall,SA14,0,879,4206
SisFall::SA17,SisFall,SA17,0,1063,3973
SisFall::SA18,SisFall,SA18,0,1057,4029
SisFall::SA19,SisFall,SA19,0,907,4179
SisFall::SA20,SisFall,SA20,0,930,4000
SisFall::SA21,SisFall,SA21,0,895,4191
SisFall::SA22,SisFall,SA22,0,880,4205
SisFall::SA23,SisFall,SA23,0,1011,4075
SisFall::SE01,SisFall,SE01,2,312,2581
SisFall::SE02,SisFall,SE02,2,406,1400
SisFall::SE04,SisFall,SE04,2,460,1787
SisFall::SE07,SisFall,SE07,2,830,1491
SisFall::SE09,SisFall,SE09,2,732,1589
SisFall::SE11,SisFall,SE11,2,530,1791
SisFall::SE12,SisFall,SE12,2,328,1993
SisFall::SE13,SisFall,SE13,2,354,1967
SisFall::SE14,SisFall,SE14,2,758,1563
SisFall::SE15,SisFall,SE15,2,279,1598
UpFall::S01,UpFall,S01,0,273,1666
UpFall::S03,UpFall,S03,0,232,1709
UpFall::S04,UpFall,S04,0,431,1509
UpFall::S05,UpFall,S05,2,509,1428
UpFall::S06,UpFall,S06,2,331,1611
UpFall::S08,UpFall,S08,2,311,1390
UpFall::S09,UpFall,S09,2,531,1409
UpFall::S10,UpFall,S10,0,272,1670
UpFall::S11,UpFall,S11,2,471,1471
UpFall::S12,UpFall,S12,2,473,1467
UpFall::S13,UpFall,S13,0,371,1568
UpFall::S16,UpFall,S16,0,271,1667
UpFall::S17,UpFall,S17,0,531,1413
