client_id,dataset,client,cluster_id,train_windows,val_windows
KFall::SA06,KFall,SA06,0,403,1776
KFall::SA07,KFall,SA07,0,478,1863
KFall::SA08,KFall,SA08,0,436,1876
KFall::SA09,KFall,SA09,0,415,1786
KFall::SA10,KFall,SA10,0,473,1870
KFall::SA12,KFall,SA12,0,395,1539
KFall::SA13,KFall,SA13,0,435,1975
KFall::SA14,KFall,SA14,0,429,1882
KFall::SA15,KFall,SA15,0,435,1846
KFall::SA18,KFall,SA18,0,498,1993
KFall::SA19,KFall,SA19,0,516,1962
KFall::SA20,KFall,SA20,0,431,1734
KFall::SA22,KFall,SA22,0,449,1799
KFall::SA23,KFall,SA23,0,467,1693
KFall::SA24,KFall,SA24,0,483,1742
KFall::SA25,KFall,SA25,0,484,1895
KFall::SA26,KFall,SA26,0,494,1957
KFall::SA27,KFall,SA27,0,453,1921
KFall::SA28,KFall,SA28,0,452,1863
KFall::SA29,KFall,SA29,0,455,1925
KFall::SA30,KFall,SA30,0,431,1747
KFall::SA33,KFall,SA33,0,394,1741
KFall::SA35,KFall,SA35,0,479,1804
KFall::SA36,KFall,SA36,0,427,1664
KFall::SA37,KFall,SA37,0,347,1587
KFall::SA38,KFall,SA38,0,474,1837
SisFall::SA01,SisFall,SA01,1,1063,4023
SisFall::SA02,SisFall,SA02,1,1083,4003
SisFall::SA03,SisFall,SA03,1,867,4219
SisFall::SA04,SisFall,SA04,1,1285,3801
SisFall::SA05,SisFall,SA05,1,849,4237
SisFall::SA06,SisFall,SA06,1,1207,3879
SisFall::SA07,SisFall,SA07,1,1397,3689
SisFall::SA08,SisFall,SA08,1,887,4199
SisFall::SA09,SisFall,SA09,1,887,4199
SisFall::SA10,SisFall,SA10,1,1023,4063
SisFall::SA11,SisFall,SA11,1,1037,4049
SisFall::SA13,SisFall,SA13,1,881,4205
SisFall::SA14,SisFall,SA14,1,1215,3870
SisFall::SA17,SisFall,SA17,1,1069,3967
SisFall::SA18,SisFall,SA18,1,881,4205
SisFall::SA19,SisFall,SA19,1,899,4187
SisFall::SA20,SisFall,SA20,1,864,4066
SisFall::SA21,SisFall,SA21,1,879,4207
SisFall::SA22,SisFall,SA22,1,1083,4002
SisFall::SA23,SisFall,SA23,1,1057,4029
SisFall::SE01,SisFall,SE01,2,660,2233
SisFall::SE02,SisFall,SE02,2,602,1204
SisFall::SE04,SisFall,SE04,2,478,1769
SisFall::SE07,SisFall,SE07,2,328,1993
SisFall::SE09,SisFall,SE09,2,680,1641
SisFall::SE11,SisFall,SE11,2,328,1993
SisFall::SE12,SisFall,SE12,2,452,1869
SisFall::SE13,SisFall,SE13,2,478,1843
SisFall::SE14,SisFall,SE14,2,830,1491
SisFall::SE15,SisFall,SE15,2,455,1422
UpFall::S01,UpFall,S01,1,273,1666
UpFall::S03,UpFall,S03,1,433,1508
UpFall::S04,UpFall,S04,1,471,1469
UpFall::S05,UpFall,S05,2,330,1607
UpFall::S06,UpFall,S06,2,473,1469
UpFall::S08,UpFall,S08,2,251,1450
UpFall::S09,UpFall,S09,2,231,1709
UpFall::S10,UpFall,S10,1,432,1510
UpFall::S11,UpFall,S11,2,513,1429
UpFall::S12,UpFall,S12,2,330,1610
UpFall::S13,UpFall,S13,1,331,1608
UpFall::S16,UpFall,S16,1,532,1406
UpFall::S17,UpFall,S17,1,272,1672
