model,generator,mixture,seed,run_dir,dev_accuracy,dev_balanced_accuracy,dev_specificity,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_pr_auc,dev_far,dev_miss_rate,dev_tn,dev_fp,dev_fn,dev_tp,dev_round,test_accuracy,test_balanced_accuracy,test_specificity,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_far,test_miss_rate,test_tn,test_fp,test_fn,test_tp,test_round,local_cluster_id,local_train_examples,local_accuracy,local_balanced_accuracy,local_specificity,local_precision,local_recall,local_f1,local_far,local_miss_rate,local_roc_auc,local_pr_auc
fedavg,smote,25_synthetic_75_original,1,gen_syntdata/baseline_smote/full_data_full_results/fedavg/smote/25_synthetic_75_original/seed_01/run_20260825_204855,0.7954991344489325,0.7575830884345566,0.8528036097507291,0.6594959266802444,0.662362567118384,0.6609261385380788,0.8340638462658737,0.6138407464636555,0.1471963902492709,0.3376374328816159,15498,2675,2641,5181,25,0.7938040401690513,0.7628751282648936,0.8447984688133303,0.6647209047792776,0.6809517877164569,0.6727384615384615,0.8470740056351695,0.6612680919571797,0.1552015311866696,0.319048212283543,15007,2757,2561,5466,25,0.0434782608695652,846.0144927536232,0.8358693975716082,0.8506567554041029,0.8028474300138777,0.5875592370449165,0.75376824645246,0.6402897402367632,0.1971525699861223,0.101304217315656,0.8777171839497592,0.7841772117543607
fedavg,smote,25_synthetic_75_original,2,gen_syntdata/baseline_smote/full_data_full_results/fedavg/smote/25_synthetic_75_original/seed_02/run_20260825_205308,0.8135025966532026,0.7520000076539295,0.9064546304957904,0.7332914967053655,0.5975453848120685,0.6584953508030431,0.836656572671957,0.635690445909886,0.0935453695042095,0.4024546151879314,16473,1700,3148,4674,25,0.8267612733123958,0.7858780601060253,0.894167980184643,0.7431343079655691,0.6775881400274075,0.7088492115209175,0.8735478740729434,0.7289122955068081,0.1058320198153569,0.3224118599725925,15884,1880,2588,5439,25,0.0434782608695652,849.4057971014493,0.8401226304123484,0.8493254079226622,0.8198311452058193,0.5868391000117194,0.733990668709875,0.63703189600624,0.1801688547941806,0.121081795058241,0.8738798673790645,0.7703153402950947
fedavg,smote,25_synthetic_75_original,3,gen_syntdata/baseline_smote/full_data_full_results/fedavg/smote/25_synthetic_75_original/seed_03/run_20260825_205726,0.8200423158299673,0.7693839914941206,0.8966048533538766,0.7277600695450595,0.6421631296343646,0.6822874218962238,0.8383285587961709,0.6369403314251509,0.1033951466461233,0.3578368703656354,16294,1879,2799,5023,25,0.8332364002946764,0.7957683076596895,0.8950123845980635,0.7498658798283262,0.6965242307213155,0.7222114577278306,0.8806185942417321,0.7222616730052914,0.1049876154019365,0.3034757692786844,15899,1865,2436,5591,25,0.0434782608695652,854.231884057971,0.8471754527079195,0.854702236159153,0.8257178082799378,0.6095260150515053,0.7387591278064839,0.6499073772215199,0.1742821917200623,0.1163133359616318,0.8754063993260571,0.7747764704097295
fedavg,smote,25_synthetic_75_original,4,gen_syntdata/baseline_smote/full_data_full_results/fedavg/smote/25_synthetic_75_original/seed_04/run_20260825_210145,0.7918830544335449,0.7371564600930659,0.8745941781764156,0.6730272596843615,0.5997187420097162,0.6342617631151974,0.8182892593856625,0.5935203747893216,0.1254058218235844,0.4002812579902838,15894,2279,3131,4691,25,0.8234655499980613,0.7829734365610862,0.8902274262553479,0.7355573637103336,0.6757194468668245,0.7043698461138888,0.8730572141304116,0.7055247902307047,0.1097725737446521,0.3242805531331755,15814,1950,2603,5424,25,0.0434782608695652,849.8985507246376,0.8327708656758057,0.8359524809128068,0.8073228625078902,0.5928883727387866,0.7196691067422599,0.6339470510839746,0.1926771374921099,0.135403357025856,0.8641916121026504,0.78623571309946
fedavg,smote,25_synthetic_75_original,5,gen_syntdata/baseline_smote/full_data_full_results/fedavg/smote/25_synthetic_75_original/seed_05/run_20260825_210637,0.8081938834391229,0.7570869442633398,0.8854344357013152,0.7025714285714286,0.6287394528253644,0.6636081500472271,0.8487099674689708,0.6264557669404235,0.1145655642986848,0.3712605471746356,16091,2082,2904,4918,25,0.8166026908611531,0.7755673004869543,0.8842603017338437,0.7224996625725469,0.6668742992400648,0.693573464628142,0.869656912816789,0.6939471737188889,0.1157396982661562,0.3331257007599352,15708,2056,2674,5353,25,0.0434782608695652,862.1159420289855,0.8406191526274264,0.8452968624524725,0.8151815068533501,0.5957945131623437,0.730484681819711,0.6406825053015162,0.1848184931466499,0.1245877819484048,0.870311435367785,0.7695441820682798
fedavg,smote,25_synthetic_75_original,6,gen_syntdata/baseline_smote/full_data_full_results/fedavg/smote/25_synthetic_75_original/seed_06/run_20260825_211107,0.8034622042700519,0.7479866014868912,0.8873053430913993,0.6992216184461741,0.608667859882383,0.6508099241336888,0.8317943752707279,0.6229536064101552,0.1126946569086006,0.3913321401176169,16125,2048,3061,4761,25,0.819355589159009,0.7707029896593929,0.8995721684305337,0.7427912341407151,0.6418338108882522,0.6886319588317851,0.8670828451443165,0.7006033240316616,0.1004278315694663,0.3581661891117478,15980,1784,2875,5152,25,0.0434782608695652,860.1014492753624,0.8456870044802679,0.8463371730233165,0.8322556939848921,0.6204054319476382,0.7154911158298568,0.643612445112658,0.167744306015108,0.1395813479382591,0.8675739556750699,0.7835824531870286
fedavg,smote,25_synthetic_75_original,7,gen_syntdata/baseline_smote/full_data_full_results/fedavg/smote/25_synthetic_75_original/seed_07/run_20260825_211529,0.8079246008847856,0.7508140601221508,0.8942387057722996,0.7119736250561967,0.607389414472002,0.6555363918592618,0.8426436725928669,0.6376677120866809,0.1057612942277004,0.3926105855279979,16251,1922,3071,4751,25,0.8311426466596875,0.7827763457473114,0.910887187570367,0.7684995612752267,0.6546655039242556,0.7070299360914901,0.8805826173749836,0.7591196955478294,0.0891128124296329,0.3453344960757443,16181,1583,2772,5255,25,0.0434782608695652,860.6231884057971,0.849031045523514,0.8487088407089524,0.8305374587579322,0.6054755238581316,0.7219526864280885,0.6458138452008638,0.1694625412420678,0.1331197773400274,0.8770917078789021,0.7855944501911559
fedavg,smote,25_synthetic_75_original,8,gen_syntdata/baseline_smote/full_data_full_results/fedavg/smote/25_synthetic_75_original/seed_08/run_20260825_212018,0.8033852663973841,0.7493879318608364,0.8849942221977659,0.6967058482078072,0.6137816415239069,0.6526201318561816,0.8348712514088894,0.6082115647708239,0.115005777802234,0.3862183584760931,16083,2090,3021,4801,25,0.8120662246520104,0.7708742619868257,0.8799819860391803,0.7135948414830736,0.6617665379344712,0.686704156163144,0.8670311941455637,0.6857557757874613,0.1200180139608196,0.3382334620655288,15632,2132,2715,5312,25,0.0434782608695652,870.8115942028985,0.8418996951600027,0.8455383880040058,0.8276493830965174,0.6103273443593109,0.7186649549130589,0.641994723883989,0.1723506169034825,0.1364075088550569,0.8705897795390316,0.7902667366189023
fedavg,smote,25_synthetic_75_original,9,gen_syntdata/baseline_smote/full_data_full_results/fedavg/smote/25_synthetic_75_original/seed_09/run_20260825_214131,0.7997307174456626,0.7401113306253713,0.8898365707368073,0.697583081570997,0.5903860905139351,0.6395236116881319,0.826922195400796,0.6233866431930853,0.1101634292631926,0.4096139094860649,16171,2002,3204,4618,25,0.8361831646698461,0.7936737386854157,0.9062711101103356,0.7665451486259114,0.6810763672604958,0.7212876838841612,0.8800859928466488,0.7417353372471424,0.0937288898896644,0.3189236327395042,16099,1665,2560,5467,25,0.0434782608695652,858.2463768115942,0.8479669950640701,0.8490566250649276,0.8271808731270229,0.6086635608651507,0.7260048407709482,0.6439472535436914,0.172819126872977,0.1290676229971677,0.8740957600486169,0.7896395481126443
fedavg,smote,25_synthetic_75_original,10,gen_syntdata/baseline_smote/full_data_full_results/fedavg/smote/25_synthetic_75_original/seed_10/run_20260825_222537,0.808155414502789,0.7544743971345151,0.8892863038573708,0.7066627788307334,0.6196624904116594,0.6603092432395613,0.8423909592572751,0.6284516045370865,0.1107136961426291,0.3803375095883405,16161,2012,2975,4847,25,0.816292505137451,0.7793027091324043,0.8772798919162351,0.7149954242384625,0.6813255263485736,0.6977545292166369,0.8696054511699663,0.7022681120887635,0.1227201080837649,0.3186744736514264,15584,2180,2558,5469,25,0.0434782608695652,856.7391304347826,0.8385005159508414,0.8504418449676832,0.8134103532594615,0.6057702707888524,0.7425458004440206,0.6458157732014159,0.1865896467405384,0.1125266633240952,0.8802465499705884,0.790276320449893
