model,generator,mixture,seed,run_dir,dev_accuracy,dev_balanced_accuracy,dev_specificity,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_pr_auc,dev_far,dev_miss_rate,dev_tn,dev_fp,dev_fn,dev_tp,dev_round,test_accuracy,test_balanced_accuracy,test_specificity,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_far,test_miss_rate,test_tn,test_fp,test_fn,test_tp,test_round,local_cluster_id,local_train_examples,local_accuracy,local_balanced_accuracy,local_specificity,local_precision,local_recall,local_f1,local_roc_auc,local_pr_auc,local_far,local_miss_rate
fedavg,timegan,50_synthetic_50_original,1,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/timegan/50_synthetic_50_original/seed_01/run_20260825_085751,0.8080400076937873,0.7578142961980385,0.8839487151268365,0.7008510638297872,0.6316798772692406,0.664470145239376,0.8400296481430927,0.6264280547323222,0.1160512848731634,0.3683201227307593,16064,2109,2881,4941,25,0.7958590205885774,0.7585967494529202,0.8572956541319523,0.6763278855975485,0.6598978447738881,0.6680118544674948,0.8560413413612193,0.7012748797816802,0.1427043458680477,0.3401021552261118,15229,2535,2730,5297,25,0.0434782608695652,1347.7391304347825,0.8358626570550985,0.8512169840567928,0.8136715620878532,0.5889382555844518,0.7440286807635494,0.6366464181170799,0.8746145772192063,0.7778808846458412,0.1863284379121468,0.1110437830045666
fedavg,timegan,50_synthetic_50_original,2,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/timegan/50_synthetic_50_original/seed_02/run_20260825_092942,0.8129640315445278,0.746226299709335,0.91382820668024,0.7429415627051871,0.57862439273843,0.6505677734655743,0.8406819275515333,0.6487499307782879,0.08617179331976,0.4213756072615699,16607,1566,3296,4526,25,0.8295917180411772,0.7797043245764752,0.91184417923891,0.7684801892371378,0.6475644699140402,0.702859847204381,0.8692172411412541,0.7625642156156491,0.0881558207610898,0.3524355300859599,16198,1566,2829,5198,25,0.0434782608695652,1351.8115942028985,0.8446029838060368,0.8496219190960266,0.8241659957841982,0.5994257363866906,0.7301913621352433,0.642470312601364,0.875751348469307,0.7846835682129074,0.1758340042158017,0.1248811016328727
fedavg,timegan,50_synthetic_50_original,3,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/timegan/50_synthetic_50_original/seed_03/run_20260825_094747,0.819311406039623,0.7583754671130558,0.9114070324107192,0.7462568951930654,0.6053439018153924,0.6684548598856498,0.827273333485943,0.6358703565950292,0.0885929675892808,0.3946560981846075,16563,1610,3087,4735,25,0.8430072505912916,0.7985592919943378,0.9162913758162576,0.7861047180667434,0.680827208172418,0.7296882301889311,0.88825195263217,0.7698083246879526,0.0837086241837424,0.3191727918275819,16277,1487,2562,5465,25,0.0434782608695652,1354.2463768115942,0.8487562172962131,0.8562138559773167,0.8286913510946283,0.6042556616630005,0.7388088246281209,0.6486072537948333,0.8768879715851005,0.776943583906547,0.1713086489053716,0.1162636391399949
fedavg,timegan,50_synthetic_50_original,4,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/timegan/50_synthetic_50_original/seed_04/run_20260825_100320,0.7965377957299481,0.7368082731323874,0.8868101028999065,0.690537084398977,0.5868064433648683,0.6344598797428986,0.8343433589069783,0.6094560642957569,0.1131898971000935,0.4131935566351317,16116,2057,3232,4590,25,0.8392074754759412,0.797644623988724,0.9077347444269308,0.771025426096675,0.6875545035505171,0.7269015475798485,0.8833481093293921,0.7315988015028052,0.0922652555730691,0.312445496449483,16125,1639,2508,5519,25,0.0434782608695652,1354.1884057971015,0.8332205878346546,0.8386836092775041,0.8115775575819739,0.5897873586708823,0.7208621247411502,0.6328811087954589,0.8563947047947686,0.7738679909822901,0.1884224424180261,0.1342103390269657
fedavg,timegan,50_synthetic_50_original,5,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/timegan/50_synthetic_50_original/seed_05/run_20260825_101840,0.8085401038661281,0.7496522808576223,0.8975403070489187,0.7165474196985843,0.6017642546663258,0.6541588492808005,0.8390735963730954,0.6182105991117808,0.1024596929510812,0.3982357453336742,16311,1862,3115,4707,25,0.8278856965608158,0.7836897373806546,0.9007543346093222,0.7521788023615407,0.666625140151987,0.7068225348391783,0.8701846857376507,0.7150683179548658,0.0992456653906777,0.3333748598480129,16001,1763,2676,5351,25,0.0434782608695652,1362.3333333333333,0.8476429021321111,0.8481024423254064,0.8299282593328069,0.6085393506079989,0.7213490890861217,0.6424505614199345,0.8714340061577768,0.778868477678626,0.1700717406671929,0.1337233746819942
fedavg,timegan,50_synthetic_50_original,6,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/timegan/50_synthetic_50_original/seed_06/run_20260825_103815,0.7777264858626659,0.706278461379517,0.8857095691410334,0.664891900613101,0.5268473536180005,0.5878744650499287,0.819475446102738,0.6077138211954829,0.1142904308589666,0.4731526463819995,16096,2077,3701,4121,25,0.8192780427280835,0.7606086663096377,0.9160099076784508,0.7650393700787401,0.6052074249408247,0.6758016275996384,0.8644391099875792,0.7290478242518825,0.0839900923215492,0.3947925750591753,16272,1492,3169,4858,25,0.0434782608695652,1359.0144927536232,0.8416807229425095,0.8466979446552262,0.8251625160870056,0.6142434609707103,0.7233058369915624,0.6427330671089294,0.8718236369332084,0.7881978351582045,0.1748374839129942,0.1317666267765535
fedavg,timegan,50_synthetic_50_original,7,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/timegan/50_synthetic_50_original/seed_07/run_20260825_105050,0.8037699557607232,0.7341892715179852,0.9089308314532548,0.7255844801857072,0.5594477115827154,0.6317765105031401,0.8392814695004346,0.6278656356457348,0.0910691685467451,0.4405522884172845,16518,1655,3446,4376,25,0.8167190105075414,0.760116694929663,0.9100427831569466,0.7540024630541872,0.6101906067023795,0.6745162845142189,0.8664311659307236,0.7302805514587143,0.0899572168430533,0.3898093932976205,16166,1598,3129,4898,25,0.0434782608695652,1361.6521739130435,0.8542233705667974,0.8463916940229109,0.843116643123073,0.6209600105250035,0.7047392086908648,0.6460425047940166,0.873711937238566,0.7855522379070007,0.156883356876927,0.1503332550772511
fedavg,timegan,50_synthetic_50_original,8,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/timegan/50_synthetic_50_original/seed_08/run_20260825_110004,0.7882285054818234,0.7309382086875673,0.8748142849281901,0.6687054026503568,0.5870621324469445,0.6252297637688066,0.8176916584395132,0.6004781344857623,0.1251857150718098,0.4129378675530555,15898,2275,3230,4592,25,0.7962079795277422,0.7680345265431712,0.8426593109659987,0.665709843320177,0.6934097421203438,0.6792775201366854,0.8581505009536745,0.7144523282141898,0.1573406890340013,0.3065902578796561,14969,2795,2461,5566,25,0.0434782608695652,1370.3623188405795,0.8281386040568396,0.839293367015213,0.8088499740216999,0.593585945208731,0.7248738274334087,0.6316439455192083,0.8657744457762799,0.7809499926427216,0.1911500259783,0.1301986363347072
fedavg,timegan,50_synthetic_50_original,9,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/timegan/50_synthetic_50_original/seed_09/run_20260825_110914,0.7929601846508944,0.7270769736132048,0.8925328784460463,0.6922470847778128,0.5616210687803631,0.6201298701298701,0.8225442180802615,0.6404993911055005,0.1074671215539536,0.4383789312196369,16220,1953,3429,4393,25,0.8440929006242488,0.7994156886966743,0.917755010132853,0.7891166281755196,0.6810763672604958,0.7311267134737546,0.8811144683753803,0.7764903246238795,0.082244989867147,0.3189236327395042,16303,1461,2560,5467,25,0.0434782608695652,1358.5797101449275,0.8552477219346579,0.8552401620881069,0.8431513162430136,0.6236127226330124,0.7224014717013162,0.6517622992165101,0.8784314756965517,0.7926473162377813,0.1568486837569864,0.1326709920667998
fedavg,timegan,50_synthetic_50_original,10,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/timegan/50_synthetic_50_original/seed_10/run_20260825_111930,0.7874206578188113,0.7295958410066673,0.8748142849281901,0.6676891615541922,0.5843773970851445,0.6232615216798473,0.8102221443291073,0.5962539558606457,0.1251857150718098,0.4156226029148555,15898,2275,3251,4571,25,0.8223798999651041,0.7822194687334659,0.8885949110560685,0.7327120475418692,0.6758440264108634,0.7031300628604756,0.8674587823627344,0.6986825958797478,0.1114050889439315,0.3241559735891366,15785,1979,2602,5425,25,0.0434782608695652,1361.6666666666667,0.8468775341010235,0.8502445389932188,0.8291835893432217,0.6014647077092343,0.7269306113553169,0.640315096316571,0.8723461659176236,0.7750329331300323,0.1708164106567783,0.1281418524127991
